K,row_type,run_id,run_count,period_count,ready_span_mean_ms,ready_span_median_ms,ready_span_p95_ms,ready_span_period_mean_pct,ready_span_period_p95_pct,first_ready_lag_mean_ms,ready_span_after_first_1s_mean_ms,ready_span_after_first_1s_p95_ms
1,run,run01,1,1800,0.0,0.0,0.0,0.0,0.0,9.993464675555556,0.0,0.0
1,run,run02,1,1800,0.0,0.0,0.0,0.0,0.0,10.004233614444445,0.0,0.0
1,run,run03,1,1800,0.0,0.0,0.0,0.0,0.0,9.98499239,0.0,0.0
1,run,run04,1,1800,0.0,0.0,0.0,0.0,0.0,9.894033132222223,0.0,0.0
1,run,run05,1,1800,0.0,0.0,0.0,0.0,0.0,10.080617428888889,0.0,0.0
1,mean,ALL,5,1800.0,0.0,0.0,0.0,0.0,0.0,9.991468248222223,0.0,0.0
1,sample_sd,ALL,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0664267553024954,0.0,0.0
1,min,ALL,5,1800.0,0.0,0.0,0.0,0.0,0.0,9.894033132222223,0.0,0.0
1,max,ALL,5,1800.0,0.0,0.0,0.0,0.0,0.0,10.080617428888889,0.0,0.0
2,run,run01,1,1800,0.48276763166666664,0.371056,1.0533903,1.4483028934590236,3.1601709268558693,10.395507862777777,0.4476919559322034,1.0403806499999997
2,run,run02,1,1800,0.4232317838888889,0.3329865,0.8222712,1.2696953512831932,2.4668135506637285,10.316357917777779,0.37118845254237287,0.8124404999999998
2,run,run03,1,1800,0.4836097272222222,0.5625575,0.82865675,1.4508291814713086,2.485970204011496,10.261190993888889,0.45464766158192094,0.82496985
2,run,run04,1,1800,0.4525945894444445,0.4827035,0.8518850499999999,1.3577837683258505,2.555655171717764,10.215095624444444,0.42115350960451975,0.8487172
2,run,run05,1,1800,0.4571593077777778,0.497703,0.8415979499999999,1.3714779248197495,2.524793875247939,10.312032022777776,0.425265702259887,0.8377143499999999
2,mean,ALL,5,1800.0,0.45987260800000007,0.4494013,0.8795602499999999,1.379617823871825,2.638680745699359,10.300036884333334,0.42398945638418084,0.8728445099999999
2,sample_sd,ALL,5,0.0,0.024952527333917094,0.09478503051286633,0.09784827637915373,0.07485758170272573,0.2935448502830776,0.06754440768869953,0.03278471989794062,0.09463778438044305
2,min,ALL,5,1800.0,0.4232317838888889,0.3329865,0.8222712,1.2696953512831932,2.4668135506637285,10.215095624444444,0.37118845254237287,0.8124404999999998
2,max,ALL,5,1800.0,0.4836097272222222,0.5625575,1.0533903,1.4508291814713086,3.1601709268558693,10.395507862777777,0.45464766158192094,1.0403806499999997
3,run,run01,1,1800,1.5320315111111111,1.483311,1.8290350999999998,4.596094533619109,5.487105190257896,10.158519748333333,1.435846950282486,1.82036855
3,run,run02,1,1800,1.2046037622222223,1.187706,1.6243253,3.6138112861196445,4.872975948729759,10.403593131111112,1.1725831937853106,1.61220265
3,run,run03,1,1800,1.30613376,1.260457,1.65262555,3.9184012790029694,4.957876699578767,10.079980936666667,1.2810565937853107,1.6425268499999999
3,run,run04,1,1800,1.3592756566666668,1.2820765,1.7457561,4.077826971104362,5.237268203113625,10.125564223888889,1.2933487,1.7346501
3,run,run05,1,1800,1.308272397777778,1.2546525,1.6242648499999999,3.9248171938655863,4.872794598727945,10.343241367777777,1.2817548960451977,1.604743
3,mean,ALL,5,1800.0,1.3420634175555555,1.2936406,1.6952013799999999,4.026190252742334,5.085604128081599,10.222179881555556,1.292918066779661,1.68289823
3,sample_sd,ALL,5,0.0,0.12011668066758131,0.11174966641191823,0.08991017132131514,0.36035004234892376,0.2697304344221109,0.14245559690337428,0.09377452181342155,0.09261789549054898
3,min,ALL,5,1800.0,1.2046037622222223,1.187706,1.6242648499999999,3.6138112861196445,4.872794598727945,10.079980936666667,1.1725831937853106,1.604743
3,max,ALL,5,1800.0,1.5320315111111111,1.483311,1.8290350999999998,4.596094533619109,5.487105190257896,10.403593131111112,1.435846950282486,1.82036855
4,run,run01,1,1800,2.0440754766666664,2.0564285,2.3729440499999996,6.132226430942759,7.118832221188322,10.110660793333333,1.99195084519774,2.35451725
4,run,run02,1,1800,1.9326467166666665,1.925661,2.302412,5.797940149339134,6.90723606907236,10.247614095000001,1.8294065446327683,2.27621945
4,run,run03,1,1800,1.850812415,1.8710415,2.25797905,5.552437245314953,6.773937217739372,10.213435653888888,1.7748440576271187,2.2433699
4,run,run04,1,1800,3.4330055394444443,3.881813,6.317772699999999,10.299016621428706,18.953318261071423,11.470905451666667,3.401289022033898,6.257966
