K,scope,row_type,run_id,run_count,period_count,periods_with_waiting_carryover,waiting_carryover_period_pct,periods_with_inservice_carryover,inservice_carryover_period_pct,periods_with_inference_unfinished_carryover,inference_unfinished_carryover_period_pct,mean_waiting_carryover_depth,p95_waiting_carryover_depth,max_waiting_carryover_depth,mean_inservice_carryover_depth,max_inservice_carryover_depth,mean_inference_unfinished_depth,p95_inference_unfinished_depth,max_inference_unfinished_depth,maximum_consecutive_inference_unfinished_carryover_periods,pre_ready_carryover_period_pct,mean_pre_ready_carryover_depth,max_pre_ready_carryover_depth
1,all_60s,run,run01,1,1800,1,0.05555555555555555,2,0.1111111111111111,2,0.1111111111111111,0.0005555555555555556,0.0,1,0.0011111111111111111,1,0.0016666666666666668,0.0,2,2,0.1111111111111111,0.0011111111111111111,1
1,all_60s,run,run02,1,1800,1,0.05555555555555555,2,0.1111111111111111,2,0.1111111111111111,0.0005555555555555556,0.0,1,0.0011111111111111111,1,0.0016666666666666668,0.0,2,2,0.1111111111111111,0.0011111111111111111,1
1,all_60s,run,run03,1,1800,1,0.05555555555555555,2,0.1111111111111111,2,0.1111111111111111,0.0005555555555555556,0.0,1,0.0011111111111111111,1,0.0016666666666666668,0.0,2,2,0.1111111111111111,0.0011111111111111111,1
1,all_60s,run,run04,1,1800,0,0.0,2,0.1111111111111111,2,0.1111111111111111,0.0,0.0,0,0.0011111111111111111,1,0.0011111111111111111,0.0,1,2,0.1111111111111111,0.0011111111111111111,1
1,all_60s,run,run05,1,1800,2,0.1111111111111111,2,0.1111111111111111,2,0.1111111111111111,0.0016666666666666668,0.0,2,0.0011111111111111111,1,0.002777777777777778,0.0,3,2,0.1111111111111111,0.0016666666666666668,2
1,all_60s,mean,ALL,5,1800.0,1.0,0.05555555555555556,2.0,0.11111111111111112,2.0,0.11111111111111112,0.0006666666666666666,0.0,1.0,0.0011111111111111111,1.0,0.0017777777777777779,0.0,2.0,2.0,0.11111111111111112,0.0012222222222222222,1.2
1,all_60s,sample_sd,ALL,5,0.0,0.7071067811865476,0.039283710065919304,0.0,1.5515838457795457e-17,0.0,1.5515838457795457e-17,0.0006085806194501846,0.0,0.7071067811865476,0.0,0.0,0.0006085806194501846,0.0,0.7071067811865476,0.0,1.5515838457795457e-17,0.00024845199749997667,0.4472135954999579
1,all_60s,min,ALL,5,1800.0,0.0,0.0,2.0,0.1111111111111111,2.0,0.1111111111111111,0.0,0.0,0.0,0.0011111111111111111,1.0,0.0011111111111111111,0.0,1.0,2.0,0.1111111111111111,0.0011111111111111111,1.0
1,all_60s,max,ALL,5,1800.0,2.0,0.1111111111111111,2.0,0.1111111111111111,2.0,0.1111111111111111,0.0016666666666666668,0.0,2.0,0.0011111111111111111,1.0,0.002777777777777778,0.0,3.0,2.0,0.1111111111111111,0.0016666666666666668,2.0
1,first_1s_excluded,run,run01,1,1770,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0
1,first_1s_excluded,run,run02,1,1770,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0
1,first_1s_excluded,run,run03,1,1770,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0
1,first_1s_excluded,run,run04,1,1770,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0
1,first_1s_excluded,run,run05,1,1770,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0
1,first_1s_excluded,mean,ALL,5,1770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,first_1s_excluded,sample_sd,ALL,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,first_1s_excluded,min,ALL,5,1770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,first_1s_excluded,max,ALL,5,1770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,all_60s,run,run01,1,1800,3,0.16666666666666669,3,0.16666666666666669,3,0.16666666666666669,0.005,0.0,5,0.0016666666666666668,1,0.006666666666666667,0.0,6,3,0.33333333333333337,0.012222222222222223,6
2,all_60s,run,run02,1,1800,3,0.16666666666666669,3,0.16666666666666669,3,0.16666666666666669,0.005,0.0,4,0.0016666666666666668,1,0.006666666666666667,0.0,5,3,0.33333333333333337,0.011111111111111112,6
2,all_60s,run,run03,1,1800,3,0.16666666666666669,4,0.2222222222222222,4,0.2222222222222222,0.007222222222222222,0.0,7,0.0022222222222222222,1,0.009444444444444445,0.0,8,4,0.33333333333333337,0.013333333333333334,7
2,all_60s,run,run04,1,1800,3,0.16666666666666669,3,0.16666666666666669,3,0.16666666666666669,0.0044444444444444444,0.0,5,0.0016666666666666668,1,0.006111111111111111,0.0,6,3,0.2777777777777778,0.006666666666666667,4
2,all_60s,run,run05,1,1800,3,0.16666666666666669,4,0.2222222222222222,4,0.2222222222222222,0.0044444444444444444,0.0,5,0.0022222222222222222,1,0.006666666666666667,0.0,6,4,0.33333333333333337,0.013333333333333334,6
2,all_60s,mean,ALL,5,1800.0,3.0,0.16666666666666669,3.4,0.1888888888888889,3.4,0.1888888888888889,0.005222222222222223,0.0,5.2,0.001888888888888889,1.0,0.0071111111111111115,0.0,6.2,3.4,0.32222222222222224,0.011333333333333334,5.8
2,all_60s,sample_sd,ALL,5,0.0,0.0,0.0,0.5477225575051661,0.030429030972509215,0.5477225575051661,0.030429030972509215,0.0011520245196293174,0.0,1.0954451150103321,0.00030429030972509223,0.0,0.001326370709590369,0.0,1.0954451150103321,0.5477225575051661,0.024845199749997677,0.0027666443551086074,1.0954451150103321
2,all_60s,min,ALL,5,1800.0,3.0,0.16666666666666669,3.0,0.16666666666666669,3.0,0.16666666666666669,0.0044444444444444444,0.0,4.0,0.0016666666666666668,1.0,0.006111111111111111,0.0,5.0,3.0,0.2777777777777778,0.006666666666666667,4.0
2,all_60s,max,ALL,5,1800.0,3.0,0.16666666666666669,4.0,0.2222222222222222,4.0,0.2222222222222222,0.007222222222222222,0.0,7.0,0.0022222222222222222,1.0,0.009444444444444445,0.0,8.0,4.0,0.33333333333333337,0.013333333333333334,7.0
2,first_1s_excluded,run,run01,1,1770,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0
2,first_1s_excluded,run,run02,1,1770,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0
2,first_1s_excluded,run,run03,1,1770,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0
2,first_1s_excluded,run,run04,1,1770,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0
2,first_1s_excluded,run,run05,1,1770,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0
2,first_1s_excluded,mean,ALL,5,1770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,first_1s_excluded,sample_sd,ALL,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,first_1s_excluded,min,ALL,5,1770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,first_1s_excluded,max,ALL,5,1770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,all_60s,run,run01,1,1800,6,0.33333333333333337,7,0.3888888888888889,7,0.3888888888888889,0.027777777777777776,0.0,14,0.0038888888888888888,1,0.03166666666666667,0.0,15,7,0.3888888888888889,0.03111111111111111,14
3,all_60s,run,run02,1,1800,6,0.33333333333333337,6,0.33333333333333337,7,0.3888888888888889,0.024444444444444446,0.0,13,0.0033333333333333335,1,0.027777777777777776,0.0,13,7,0.3888888888888889,0.03166666666666667,13
3,all_60s,run,run03,1,1800,5,0.2777777777777778,5,0.2777777777777778,5,0.2777777777777778,0.017777777777777778,0.0,11,0.002777777777777778,1,0.020555555555555556,0.0,12,5,0.33333333333333337,0.02666666666666667,12
3,all_60s,run,run04,1,1800,6,0.33333333333333337,7,0.3888888888888889,7,0.3888888888888889,0.026111111111111113,0.0,13,0.0038888888888888888,1,0.03,0.0,14,7,0.3888888888888889,0.02666666666666667,12
3,all_60s,run,run05,1,1800,6,0.33333333333333337,6,0.33333333333333337,6,0.33333333333333337,0.020555555555555556,0.0,10,0.0033333333333333335,1,0.02388888888888889,0.0,11,6,0.3888888888888889,0.030555555555555555,12
3,all_60s,mean,ALL,5,1800.0,5.8,0.32222222222222224,6.2,0.34444444444444444,6.4,0.3555555555555555,0.023333333333333334,0.0,12.2,0.0034444444444444444,1.0,0.02677777777777778,0.0,13.0,6.4,0.37777777777777777,0.029333333333333333,12.6
3,all_60s,sample_sd,ALL,5,0.0,0.4472135954999579,0.024845199749997677,0.8366600265340756,0.046481112585226414,0.8944271909999159,0.04969039949999532,0.004101339738953722,0.0,1.6431676725154984,0.0004648111258522641,0.0,0.00453722599757676,0.0,1.5811388300841898,0.8944271909999159,0.02484519974999765,0.002465815669019127,0.8944271909999159
3,all_60s,min,ALL,5,1800.0,5.0,0.2777777777777778,5.0,0.2777777777777778,5.0,0.2777777777777778,0.017777777777777778,0.0,10.0,0.002777777777777778,1.0,0.020555555555555556,0.0,11.0,5.0,0.33333333333333337,0.02666666666666667,12.0
3,all_60s,max,ALL,5,1800.0,6.0,0.33333333333333337,7.0,0.3888888888888889,7.0,0.3888888888888889,0.027777777777777776,0.0,14.0,0.0038888888888888888,1.0,0.03166666666666667,0.0,15.0,7.0,0.3888888888888889,0.03166666666666667,14.0
3,first_1s_excluded,run,run01,1,1770,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0
3,first_1s_excluded,run,run02,1,1770,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0
3,first_1s_excluded,run,run03,1,1770,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0
3,first_1s_excluded,run,run04,1,1770,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0
3,first_1s_excluded,run,run05,1,1770,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0
3,first_1s_excluded,mean,ALL,5,1770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,first_1s_excluded,sample_sd,ALL,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,first_1s_excluded,min,ALL,5,1770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,first_1s_excluded,max,ALL,5,1770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,all_60s,run,run01,1,1800,10,0.5555555555555556,12,0.6666666666666667,12,0.6666666666666667,0.057777777777777775,0.0,20,0.006666666666666667,1,0.06444444444444444,0.0,21,11,0.33333333333333337,0.03388888888888889,16
4,all_60s,run,run02,1,1800,11,0.6111111111111112,13,0.7222222222222222,13,0.7222222222222222,0.056666666666666664,0.0,18,0.007222222222222222,1,0.06388888888888888,0.0,19,11,0.3888888888888889,0.03944444444444444,16
4,all_60s,run,run03,1,1800,10,0.5555555555555556,11,0.6111111111111112,11,0.6111111111111112,0.058333333333333334,0.0,19,0.006111111111111111,1,0.06444444444444444,0.0,20,10,0.33333333333333337,0.028888888888888888,16
4,all_60s,run,run04,1,1800,11,0.6111111111111112,13,0.7222222222222222,13,0.7222222222222222,0.0661111111111111,0.0,21,0.007222222222222222,1,0.07333333333333333,0.0,22,11,0.3888888888888889,0.03388888888888889,16
4,all_60s,run,run05,1,1800,12,0.6666666666666667,16,0.8888888888888888,16,0.8888888888888888,0.07611111111111112,0.0,21,0.008888888888888889,1,0.085,0.0,22,13,0.5,0.06166666666666667,21
