C,K6_mean_DMR_percent,K7_mean_DMR_percent,S_percent
1,63.20185185185185,100.0,83.01623931623932
2,32.2962962962963,82.77936507936508,59.47948717948718
3,37.79259259259259,58.87460317460317,49.14444444444444
4,34.09814814814815,47.39047619047619,41.25555555555556
5,43.90185185185185,68.66825396825396,57.23760683760683
6,86.83148148148148,93.13333333333334,90.22478632478632
7,89.55,97.26190476190476,93.7025641025641
8,89.02592592592593,96.61111111111111,93.11025641025641
