stream_id,frame_id,scheduled_arrival_s,actual_arrival_enqueue_s,front_end_start_s,ready_s,inference_start_s,completion_s,scheduler_lag_ms,arrival_queue_wait_ms,scheduled_to_front_end_ms,front_end_observed_ms,ready_queue_wait_ms,inference_ms,local_e2e_ms
0,0,26747.116795034,26747.116888343,26747.116960308,26747.226394719,26747.267893888,26747.290031931,0.09330900138593279,0.07196500155259855,0.16527400293853134,109.43441099880147,41.49916900132666,22.138042997539742,173.2368970006064
0,1,26747.15012836733,26747.150199537,26747.226447628,26747.243990921,26747.321957563,26747.326905728,0.07116967026377097,76.24809099797858,76.31926066824235,17.543293000926496,77.96664199850056,4.948165002133464,176.77736066980287
0,2,26747.183461700664,26747.183553592,26747.24404295,26747.257690802,26747.340637749,26747.345029321,0.09189133561449125,60.48935799844912,60.581249334063614,13.647851999849081,82.94694700089167,4.39157200162299,161.56762033642735
0,3,26747.216795033997,26747.218403934,26747.257728506,26747.271334025,26747.35916346,26747.364017188,1.6089000018837396,39.32457200062345,40.93347200250719,13.605519001430366,87.82943500045803,4.853727998124668,147.22215400252026
0,4,26747.250128367334,26747.25021372,26747.271371126,26747.282261382,26747.372954028,26747.377325265,0.08535266533726826,21.157406001293566,21.242758666630834,10.890255998674547,90.69264600111637,4.371236998849781,127.19689766527154
0,5,26747.283461700667,26747.283543284,26747.283603342,26747.294372539,26747.381792125,26747.388010248,0.0815833336673677,0.06005799878039397,0.14164133244776167,10.769197000627173,87.41958600148791,6.2181229986890685,104.54854733325192
0,6,26747.316795034,26747.316879164,26747.316945341,26747.329101157,26747.403693453,26747.408121729,0.08412999886786565,0.06617700273636729,0.15030700160423294,12.155815998994512,74.59229600135586,4.428275999089237,91.32669500104384
0,7,26747.350128367332,26747.350216045,26747.350280232,26747.360185042,26747.423873879,26747.428723339,0.08767766848905012,0.06418699922505766,0.15186466771410778,9.904809998261044,63.68883700270089,4.849459997785743,78.59497166646179
0,8,26747.383461700665,26747.383535972,26747.384350209,26747.398758575,26747.459780982,26747.464682081,0.07427133459714241,0.8142369988490827,0.8885083334462252,14.408366001589457,61.02240700056427,4.901099000562681,81.22038033616263
0,9,26747.416795033998,26747.416870722,26747.417551532,26747.428852618,26747.480965334,26747.491362794,0.0756880035623908,0.6808099969930481,0.7564980005554389,11.301086000457872,52.112716002739035,10.397459998785052,74.5677600025374
0,10,26747.45012836733,26747.450205538,26747.450852263,26747.462533089,26747.499982684,26747.504640843,0.07717066910117865,0.64672499865992,0.7238956677610986,11.680826002702815,37.449594998179236,4.658158999518491,54.51247566816164
0,11,26747.483461700664,26747.483537604,26747.483768284,26747.496829135,26747.519548599,26747.524021153,0.07590333552798256,0.23068000155035406,0.3065833370783366,13.060851000773255,22.719463999237632,4.472553999221418,40.55945233631064
0,12,26747.516795034,26747.516867624,26747.517639443,26747.527977743,26747.542838443,26747.547381591,0.07258999903569929,0.7718189990555402,0.8444089980912395,10.33830000233138,14.860700001008809,4.543147999356734,30.58655700078816
0,13,26747.550128367333,26747.550203541,26747.551041167,26747.561910756,26747.573631369,26747.578132091,0.07517366611864418,0.8376260011573322,0.9127996672759764,10.869589001231361,11.720612998033175,4.500721999647794,28.003723666188307
0,14,26747.583461700666,26747.583537837,26747.583931484,26747.594323443,26747.594384666,26747.59916368,0.07613633351866156,0.39364700205624104,0.4697833355749026,10.391959000116913,0.061222999647725374,4.779013997904258,15.701979333243798
0,15,26747.616795034,26747.616869302,26747.617092972,26747.62775602,26747.627819457,26747.632460449,0.07426800220855512,0.22366999837686308,0.2979380005854182,10.663048000424169,0.06343700079014525,4.6409919996222015,15.665415001421934
0,16,26747.65012836733,26747.65019945,26747.650974836,26747.661710097,26747.669250328,26747.673879617,0.07108266800059937,0.7753860008961055,0.8464686688967049,10.735260999354068,7.540230999438791,4.629289000149583,23.751249667839147
0,17,26747.683461700664,26747.683540896,26747.683619509,26747.693705971,26747.698016069,26747.702608024,0.07919533527456224,0.07861300036893226,0.1578083356434945,10.086461999890162,4.310098000132712,4.591954999341397,19.146323335007764
0,18,26747.716795033997,26747.716871036,26747.71708979,26747.727772976,26747.728027796,26747.733117695,0.0760020011512097,0.21875400125281885,0.29475600240402855,10.683185999369016,0.2548200027376879,5.0898989975394215,16.322661002050154
0,19,26747.750128367334,26747.750200527,26747.750994088,26747.761800582,26747.774151152,26747.778568761,0.07215966616058722,0.7935610010463279,0.8657206672069151,10.806493999552913,12.35056999939843,4.41760900139343,28.44039366755169
0,20,26747.783461700667,26747.783540001,26747.783772116,26747.795469025,26747.808483292,26747.812919382,0.07830033428035676,0.23211499865283258,0.31041533293318935,11.696909001329914,13.014266998652602,4.436089999217074,29.45768133213278
0,21,26747.816795034,26747.816869427,26747.81709294,26747.827813404,26747.82787573,26747.83250086,0.07439299952238798,0.22351300140144303,0.297906000923831,10.720464000769425,0.06232599844224751,4.6251300009316765,15.70582600106718
