acquisition_id,round,trace,policy,window,phase,arrival_start_s,arrival_end_s,n,miss_count,DMR_percent,start_lag_mean_ms,start_lag_p95_ms,start_lag_p99_ms,front_end_mean_ms,front_end_p95_ms,front_end_p99_ms,queue_mean_ms,queue_p95_ms,queue_p99_ms,service_mean_ms,service_p95_ms,service_p99_ms,local_mean_ms,local_p95_ms,local_p99_ms
primary_01,1,B,FIXED_C4,startup,0,0,1,210,210,100.0,51.876095304761904,194.9274208,203.25054077000001,25.3701959,33.1146269,236.03944816,157.89622482380955,201.5818,205.84201516,17.837795333333332,21.8349823,55.556322759999986,252.98031136190477,311.04786484999994,326.70145412
primary_01,1,B,FIXED_C4,phase_remainder,0,1,15,2940,1477,50.23809523809524,0.9840995438775509,3.5971502499999994,5.830957420000003,13.369902585034012,17.4451479,19.593800250000037,14.0693249,88.09038404999983,150.44021058,14.99630760340136,19.015829649999997,21.922151080000006,43.41963463231292,122.75053524999997,184.55934673000013
primary_01,1,B,FIXED_C4,transition,1,15,16,180,66,36.666666666666664,0.672616588888889,2.291100349999999,3.8268839900000025,12.408478944444443,15.420519249999998,17.375056860000004,4.490225027777778,16.296444899999994,18.063913550000006,14.525958305555555,19.950848,23.392102120000004,32.09727886666667,40.418470949999985,43.66836121000004
primary_01,1,B,FIXED_C4,phase_remainder,1,16,30,2520,819,32.5,0.5751942920634922,1.9558097999999995,3.5161873599999964,12.156219775396826,14.891850199999999,16.596783339999998,4.221628208333333,14.734922549999997,16.31990848,14.096510580555556,18.504829649999994,19.859232099999996,31.04955285634921,38.673764850000005,40.44713071
primary_01,1,B,FIXED_C4,transition,2,30,31,210,102,48.57142857142857,1.0642220285714286,3.924139899999997,5.970738669999999,13.51270917142857,17.9527586,19.90548642,5.371734685714286,15.581690499999992,18.136130379999997,14.976316666666666,19.71230055,22.59919385,34.924982552380946,45.71953155,47.76801244999999
primary_01,1,B,FIXED_C4,phase_remainder,2,31,45,2940,1331,45.27210884353742,0.9197156700680272,3.2665034,5.109139140000006,13.27740859489796,16.8777919,18.947735580000007,5.42736520510204,15.02212719999999,16.85513531,14.904984376190477,18.792708299999997,21.185930180000017,34.529473846258504,45.48313039999999,48.20546074
primary_01,1,B,FIXED_C4,transition,3,45,46,180,59,32.77777777777778,0.5499423444444445,2.05367055,2.7663476200000012,11.996784844444445,15.20007495,17.530235140000002,4.225864444444444,15.030365799999998,15.714763240000002,14.205525155555556,18.311590299999995,19.97511225,30.97811678888889,38.5884479,40.43973355000001
primary_01,1,B,FIXED_C4,phase_remainder,3,46,60,2520,794,31.50793650793651,0.5547629769841269,1.8647268999999986,3.184279339999999,12.096020571428571,14.746964749999998,16.35316778,4.170331501984127,14.604698299999988,16.35268949,14.05933448888889,18.3956977,19.74945771,30.880449539285717,38.7384522,40.17912516999999
primary_01,1,B,FIXED_C4,K6_arrival_cohort,,,,5400,1738,32.18518518518518,0.5680653566666667,1.94023475,3.3378117800000022,12.131220954814815,14.877977099999999,16.66802002,4.206784180555556,14.84403065,16.388996730000006,14.09711048111111,18.4834334,19.86602753,31.003180973148147,38.771129200000004,40.4143582
primary_01,1,B,FIXED_C4,K7_arrival_cohort,,,,6300,3120,49.523809523809526,2.6531243442857146,4.014989449999999,66.96951381000119,13.73150871968254,17.6616853,23.065970240000027,14.54072069936508,92.72682414999979,193.68610026000002,15.047739990476192,19.036823349999995,21.948035510000018,45.97309375380953,145.32955479999958,277.02660966
primary_02,1,A,FIXED_C2,startup,0,0,1,180,180,100.0,25.616635833333333,135.64118019999998,158.39199526000007,20.158231355555557,42.5772321999999,169.63309625000002,109.18146242777779,147.58117804999998,155.28843188000002,10.254251416666666,14.74229205,24.024352590000166,165.21058103333334,243.51701914999995,258.21622496000003
primary_02,1,A,FIXED_C2,phase_remainder,0,1,15,2520,864,34.285714285714285,0.565636246031746,1.8255067499999997,3.38129898,12.037489872619048,14.864318499999996,16.840050729999994,8.78608614047619,16.35481145,66.60987996,8.663361827380951,10.101942949999998,11.401625319999999,30.052574086507935,39.2420519,89.72162884999996
primary_02,1,A,FIXED_C2,transition,1,15,16,210,93,44.285714285714285,0.7719502761904762,2.711962849999999,4.7124374499999995,12.897613885714286,17.19203365,18.867170849999997,10.284768323809523,22.545500549999996,25.05280137,8.696903371428572,11.215949499999997,13.09172961,32.65123585714286,47.7326266,50.322128479999996
primary_02,1,A,FIXED_C2,phase_remainder,1,16,30,2940,1325,45.06802721088435,0.7354207023809525,2.6017336499999986,4.419155720000001,12.97053016632653,16.736358099999997,18.81453000000001,10.235906212925169,22.92813335,26.495792820000034,8.578830508503401,10.706265349999999,12.611692950000004,32.520687590136056,46.47425664999999,52.06412044000002
primary_02,1,A,FIXED_C2,transition,2,30,31,180,55,30.555555555555557,0.57268005,1.8010872999999914,3.2135350600000048,11.349119616666668,13.96126425,14.857430690000003,7.415636127777778,15.709770999999998,16.661791660000002,8.686610077777777,9.90158595,10.78710728,28.02404587222222,37.71688025,38.41524897000001
primary_02,1,A,FIXED_C2,phase_remainder,2,31,45,2520,797,31.626984126984127,0.6136220388888889,1.9823132999999993,3.637178269999998,12.004446158333334,14.655865249999996,16.573425629999996,7.3016818174603175,15.855677899999996,16.82215732,8.615542406349206,9.9396065,11.02098515,28.53529242103175,38.5980617,40.117466449999995
primary_02,1,A,FIXED_C2,transition,3,45,46,210,88,41.904761904761905,0.7669102571428572,3.024309149999996,4.346365570000001,13.198163547619048,17.502771649999993,19.7044038,9.396513971428572,21.933068099999993,23.282382690000002,8.467524866666666,10.83252815,13.974417319999993,31.82911264285714,45.88148135,47.0540658
primary_02,1,A,FIXED_C2,phase_remainder,3,46,60,2940,1260,42.857142857142854,0.7140672282312925,2.5397373999999995,4.477942340000001,12.691129376870748,16.135241999999995,18.12562786,9.751955608503401,22.474235799999995,24.40313017,8.521362689455783,10.469528449999999,12.065964480000002,31.678514903061227,44.673096099999995,47.31408786
