trace,fixed,n_pairs,mean_improvement_pp,sample_SD,improving_rounds,mean_at_least_1pp,relative_reduction_percent,paired_values
A,FIXED_C2,5,-1.0529914529914535,0.73428205521178,1,False,-2.618602278524069,"[-1.7264957264957275, -1.478632478632484, -0.6666666666666643, -1.4444444444444429, 0.0512820512820511]"
A,FIXED_C4,5,-0.6068376068376082,0.45788359781124455,1,False,-1.4925373134328392,"[-1.0769230769230802, -0.9658119658119659, 0.06837606837606813, -0.6324786324786373, -0.42735042735042583]"
B,FIXED_C2,5,10.441025641025641,2.5710276853626635,5,True,19.391707409994282,"[6.957264957264961, 12.059829059829056, 12.82905982905983, 8.470085470085472, 11.888888888888886]"
B,FIXED_C4,5,-1.292307692307692,2.7902638508512463,2,False,-3.068929122351228,"[-0.2820512820512775, -1.512820512820511, 0.7350427350427324, -6.017094017094017, 0.6153846153846132]"
