trace,policy,n,DMR_percent_mean,DMR_percent_SD,local_mean_ms_mean,local_mean_ms_SD,local_p95_ms_mean,local_p95_ms_SD,local_p99_ms_mean,local_p99_ms_SD,queue_mean_ms_mean,queue_mean_ms_SD,queue_p95_ms_mean,queue_p95_ms_SD,service_mean_ms_mean,service_mean_ms_SD,service_p95_ms_mean,service_p95_ms_SD,front_end_mean_ms_mean,front_end_mean_ms_SD,front_end_p95_ms_mean,front_end_p95_ms_SD,start_lag_mean_ms_mean,start_lag_mean_ms_SD,start_lag_p95_ms_mean,start_lag_p95_ms_SD,drain_duration_mean,drain_duration_SD,completed_FPS_mean,completed_FPS_SD,observed_max_A_mean,observed_max_A_SD,peak_generated_backlog_mean,peak_generated_backlog_SD,peak_due_not_generated_mean,peak_due_not_generated_SD,peak_ready_waiting_mean,peak_ready_waiting_SD,time_weighted_mean_A_mean,time_weighted_mean_A_SD,fraction_A_eq_C_mean,fraction_A_eq_C_SD,fraction_A_gt_C_mean,fraction_A_gt_C_SD,fraction_A_ge_C_and_waiting_mean,fraction_A_ge_C_and_waiting_SD
A,FIXED_C2,5,40.21196581196581,0.42294308510699963,33.65877608902564,0.724322112764031,45.60859572999999,0.9052234493675595,170.96613435600017,28.01148572107053,11.11713336076923,0.48915647359876935,22.488660999999997,0.1280742442324324,8.61250240105983,0.024519540672531343,10.458933469999998,0.1284168818948787,12.74065763148718,0.15399072746653375,16.314825229999997,0.3478104485552202,1.1884826957094017,0.15507168412384503,2.449252749999998,0.030659669296366026,0.016188278,0.00337794933952857,194.9474027816776,0.010972730952272178,2,0.0,48.6,6.542170893518451,7,0.0,42.2,7.496665925596525,1.6790479630533333,0.004759846852694936,0.7806623493433333,0.0033985821849973007,0.0,0.0,0.6338095314000001,0.0025020248344518863
A,FIXED_C4,5,40.65811965811966,0.29047257210198846,35.67418325825641,1.4470383676344116,45.053549909999994,0.3194263888548776,154.98851913600006,72.01036022292666,6.349177879367521,0.6124393610179801,15.640807779999998,0.2732276547713017,14.693078914854702,0.08626180678128294,18.871141209999998,0.11979649168653338,12.900782792034189,0.07361359708024816,16.43924494,0.11344097794407287,1.731143672,0.8209251536848777,3.061824749999998,0.14467112088600645,0.0101319638,0.003595084890653168,194.96707723705381,0.011679831207673443,4,0.0,55.2,13.535139452550904,7,0.0,33.2,6.058052492344384,2.8647429098166666,0.016764160642825782,0.4878100383433333,0.00446863302967733,0.0,0.0,0.43506386877,0.006179546210553051
A,K_LOOKUP_C2_C4,5,41.26495726495727,0.3534371474894954,35.90256144307693,1.0253782412126449,45.728044919999995,0.31102014371782,201.9038020380001,34.97768251036187,9.490510649521367,0.8018506761931097,16.36160705,0.18284732972988327,12.110773372188033,0.03553281340243969,18.24134844,0.09690513313745691,12.825880336547009,0.10812913166284666,16.33009101,0.14925340601769127,1.475397084820513,0.21302753553210582,2.959523739999999,0.07657045677140632,0.0087369536,0.003929940143152476,194.97160970389635,0.012767713880248907,4,0.0,53.6,4.827007354458868,7,0.0,47.4,6.107372593840988,2.361260725363333,0.006897791124861507,0.62873668789,0.0020424330455584986,8.781721e-05,7.559952747752701e-05,0.48438496326999997,0.002626058223128802
B,FIXED_C2,5,53.84273504273504,2.944321012633724,95.25728806153846,23.508690468054656,313.64684486,66.93962155936892,337.83739969,56.32577237910362,71.83159629432478,23.151513558050354,286.1843724399999,70.08821652831288,8.822549166017094,0.07257380787255044,11.121216709999999,0.3676161444781745,13.073977380529914,0.2955532854945623,17.103722689999998,0.5523556098667396,1.5291652206666666,0.3695363714004011,2.6027372799999986,0.1524953887626373,0.0075880092,0.004399116220668158,194.97534292675942,0.014293060315204649,2,0.0,75.2,12.13260071048248,7,0.0,70.2,12.13260071048248,1.7201717517133333,0.014059751457787916,0.8184062660566667,0.008851910812526016,0.0,0.0,0.683126014,0.012861296187373781
B,FIXED_C4,5,42.10940170940171,0.7329875860977207,39.17396587900855,2.7575185653936636,54.80913761999996,16.08810872036755,230.99613588000003,62.434425428491394,9.724146435452992,2.173573456717677,22.660178819999846,12.932038632656027,14.707243372666666,0.09578035092107406,18.906106859999998,0.1294172357748976,13.037626231247865,0.11527091281806646,16.842201799999998,0.18314951276710748,1.7049498396410256,0.462948195134996,3.0818399599999973,0.15933587374973218,0.0065379602,0.0029336602624688325,194.97875431726033,0.009532116041802069,4,0.0,62.6,12.77888884058391,7,0.0,46.2,9.444575162494075,2.86773001342,0.018662978923493643,0.49672829665333335,0.005474788941601004,0.0,0.0,0.4447729380366667,0.0060443553944663116
B,K_LOOKUP_C2_C4,5,43.401709401709404,2.5214978960932957,37.89651023370941,1.5221498256586643,51.29846537999998,6.486648536890948,215.6717621440001,40.597745547994876,10.646087221623931,1.2682174083155096,19.294016299999925,4.799132551545024,12.257835374410256,0.1689840114090239,18.651066869999998,0.4668192671967429,13.379883539641027,0.708819922709655,17.424105649999998,0.9511424964498553,1.612704098034188,0.3417090990918348,3.1848964099999972,0.3845769969529965,0.008976512800000001,0.005333919020958765,194.97083192960238,0.017328859163357867,4,0.0,59,8.154753215150045,7,0.0,44.2,4.658325879540846,2.3900355031533334,0.032989305614654636,0.64851331674,0.014542825523897542,0.00017774045333333334,7.658137237736751e-05,0.49244548931666665,0.004650524160157912
