stream_id,frame_id,scheduled_arrival_s,actual_arrival_enqueue_s,front_end_start_s,ready_s,inference_start_s,completion_s,scheduler_lag_ms,arrival_queue_wait_ms,scheduled_to_front_end_ms,front_end_observed_ms,ready_queue_wait_ms,inference_ms,local_e2e_ms
0,0,25504.304903283,25504.305167156,25504.305357351,25504.415116933,25504.455767981,25504.478356431,0.2638730002217926,0.19019500177819282,0.4540680019999854,109.75958199924207,40.651047998835566,22.588449999602744,173.45314799968037
0,1,25504.33823661633,25504.338503626,25504.415147887,25504.432483823,25504.509329418,25504.51732625,0.2670096691872459,76.64426100018318,76.91127066937042,17.335935997834895,76.84559500194155,7.996831998752896,179.08963366789976
0,2,25504.371569949664,25504.371645141,25504.432510388,25504.445575065,25504.527932194,25504.532280463,0.07519133578171022,60.865247000037925,60.940438335819636,13.064677001239033,82.35712899841019,4.3482690016389824,160.71051333710784
0,3,25504.404903282997,25504.404995259,25504.44559914,25504.457588424,25504.541187762,25504.546143051,0.0919760022952687,40.60388099969714,40.69585700199241,11.989284001174383,83.59933799874852,4.955289001372876,141.2397680032882
0,4,25504.438236616334,25504.439436178,25504.457604656,25504.469561689,25504.555359767,25504.559653916,1.1995616659987718,18.16847800000687,19.368039666005643,11.95703299890738,85.79807800197159,4.294148999179015,121.41729966606363
0,5,25504.471569949666,25504.4716518,25504.471736874,25504.482469033,25504.559667333,25504.563951583,0.08185033220797777,0.08507399979862384,0.16692433200660162,10.732159000326646,77.19830000132788,4.2842500006372575,92.38163333429839
0,6,25504.504903283,25504.505017603,25504.505675347,25504.517270267,25504.587112554,25504.591644639,0.11432000246713869,0.6577439999091439,0.7720640023762826,11.59491999715101,69.84228700093809,4.532085000391817,86.7413560008572
0,7,25504.538236616332,25504.538333341,25504.538412276,25504.54818944,25504.591658065,25504.59595713,0.09672466694610193,0.07893500151112676,0.1756596684572287,9.777163999387994,43.46862500096904,4.299064999941038,57.7205136687553
0,8,25504.571569949665,25504.571648431,25504.572291342,25504.586329532,25504.611492356,25504.616341044,0.078481334639946,0.6429109998862259,0.7213923345261719,14.038190001883777,25.16282400029013,4.848687996855006,44.771094333555084
0,9,25504.604903282998,25504.604977438,25504.605641932,25504.61649309,25504.629546416,25504.633833564,0.07415500294882804,0.6644940003752708,0.7386490033240989,10.851158000150463,13.053325998043874,4.2871480000030715,28.930281001521507
0,10,25504.63823661633,25504.638307611,25504.638910947,25504.652048847,25504.652299163,25504.656844461,0.07099466893123463,0.6033360004948918,0.6743306694261264,13.137900001311209,0.2503159994375892,4.545297997538,18.607844667712925
0,11,25504.671569949664,25504.671650395,25504.671699656,25504.684884925,25504.692404208,25504.696908199,0.08044533751672134,0.04926099791191518,0.12970633542863652,13.185268999222899,7.519283000874566,4.5039910000923555,25.338249335618457
0,12,25504.704903283,25504.704977938,25504.705588496,25504.716175338,25504.723576759,25504.728209075,0.07465499948011711,0.6105579996074084,0.6852129990875255,10.586841999611352,7.401421000395203,4.632316002243897,23.305792001337977
0,13,25504.738236616333,25504.738314472,25504.738924789,25504.749402658,25504.75700596,25504.761397154,0.07785566776874475,0.6103169980633538,0.6881726658320986,10.477869000169449,7.603302001371048,4.391194001073018,23.160537668445613
0,14,25504.771569949666,25504.771643792,25504.772289933,25504.783572084,25504.785789825,25504.790266983,0.07384233322227374,0.6461410011979751,0.7199833344202489,11.282151001068996,2.21774099918548,4.477157999644987,18.697033334319713
0,15,25504.804903283,25504.804978436,25504.805025269,25504.814670663,25504.814724431,25504.819348229,0.0751530023990199,0.04683299994212575,0.12198600234114565,9.645393998653162,0.05376799890655093,4.623798002285184,14.444946002186043
0,16,25504.83823661633,25504.83830995,25504.838924379,25504.851948037,25504.856956642,25504.861402189,0.07333366738748737,0.6144290018710308,0.6877626692585181,13.023658000747673,5.0086049996025395,4.445546997885685,23.165572667494416
0,17,25504.871569949664,25504.871644641,25504.872277107,25504.882784217,25504.890226379,25504.894614527,0.07469133561244234,0.6324659989331849,0.7071573345456272,10.507110000617104,7.4421620010980405,4.388147997815395,23.044577334076166
0,18,25504.904903282997,25504.904979378,25504.905045553,25504.915457553,25504.919871238,25504.924398407,0.07609500244143419,0.06617500184802338,0.14227000428945757,10.411999999632826,4.413684997416567,4.5271690032677725,19.495124004606623
0,19,25504.938236616334,25504.93831605,25504.938375949,25504.948834596,25504.952962225,25504.957472246,0.07943366654217243,0.05989900091663003,0.13933266745880246,10.458647000632482,4.127628999412991,4.5100209972588345,19.23562966476311
0,20,25504.971569949666,25504.971645353,25504.972273199,25504.982103547,25504.985737184,25504.990203064,0.07540333535871468,0.6278459986788221,0.7032493340375368,9.8303480008326,3.6336369994387496,4.46587999977055,18.633114334079437
0,21,25505.004903283,25505.004979804,25505.005078444,25505.015953315,25505.023829026,25505.028305731,0.07652100248378702,0.09863999730441719,0.1751609997882042,10.874871000851272,7.875710998632712,4.476705002161907,23.402448001434095
0,22,25505.038236616332,25505.03830896,25505.038924601,25505.049462749,25505.056985041,25505.061522895,0.0723436678526923,0.615641001786571,0.6879846696392633,10.538147998886416,7.522291998611763,4.537854001682717,23.28627866882016
