split_point,aggregation,round,metric,term,count,mean,sample_standard_deviation,p50,p95,p99,min,max,provenance,interpretation
0,round,7,device_inference_ms,device-side inference,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,measured,descriptive samples; no independent-environment tail guarantee or confidence interval
0,round,7,e2e_inference_ms,E2E inference latency,300,45.59501349666667,5.763284889979088,45.005932,55.3472487,59.74286234999999,35.157159,85.634983,measured,descriptive samples; no independent-environment tail guarantee or confidence interval
0,round,7,device_inference_cuda_ms,device-side inference (CUDA Event auxiliary),300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,measured,descriptive samples; no independent-environment tail guarantee or confidence interval
0,round,7,remote_roundtrip_ms,activation-ready to CPU logits roundtrip,300,45.59501349666667,5.763284889979088,45.005932,55.3472487,59.74286234999999,35.157159,85.634983,measured,descriptive samples; no independent-environment tail guarantee or confidence interval
0,round,8,device_inference_ms,device-side inference,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,measured,descriptive samples; no independent-environment tail guarantee or confidence interval
0,round,8,e2e_inference_ms,E2E inference latency,300,48.530608556666664,13.226994211910435,45.7870055,64.69019195000001,100.52759972999984,35.292762,164.158163,measured,descriptive samples; no independent-environment tail guarantee or confidence interval
0,round,8,device_inference_cuda_ms,device-side inference (CUDA Event auxiliary),300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,measured,descriptive samples; no independent-environment tail guarantee or confidence interval
0,round,8,remote_roundtrip_ms,activation-ready to CPU logits roundtrip,300,48.530608556666664,13.226994211910435,45.7870055,64.69019195000001,100.52759972999984,35.292762,164.158163,measured,descriptive samples; no independent-environment tail guarantee or confidence interval
0,round,9,device_inference_ms,device-side inference,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,measured,descriptive samples; no independent-environment tail guarantee or confidence interval
0,round,9,e2e_inference_ms,E2E inference latency,300,46.18710080333334,6.429463576221493,45.1707425,56.352618400000004,70.36883515,34.612379,81.016891,measured,descriptive samples; no independent-environment tail guarantee or confidence interval
0,round,9,device_inference_cuda_ms,device-side inference (CUDA Event auxiliary),300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,measured,descriptive samples; no independent-environment tail guarantee or confidence interval
0,round,9,remote_roundtrip_ms,activation-ready to CPU logits roundtrip,300,46.18710080333334,6.429463576221493,45.1707425,56.352618400000004,70.36883515,34.612379,81.016891,measured,descriptive samples; no independent-environment tail guarantee or confidence interval
0,round,10,device_inference_ms,device-side inference,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,measured,descriptive samples; no independent-environment tail guarantee or confidence interval
0,round,10,e2e_inference_ms,E2E inference latency,300,49.064159073333336,17.018881882585326,46.6124765,62.8349505,79.50405083999993,36.142258,307.884508,measured,descriptive samples; no independent-environment tail guarantee or confidence interval
0,round,10,device_inference_cuda_ms,device-side inference (CUDA Event auxiliary),300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,measured,descriptive samples; no independent-environment tail guarantee or confidence interval
0,round,10,remote_roundtrip_ms,activation-ready to CPU logits roundtrip,300,49.064159073333336,17.018881882585326,46.6124765,62.8349505,79.50405083999993,36.142258,307.884508,measured,descriptive samples; no independent-environment tail guarantee or confidence interval
1,pooled,NA,device_inference_ms,device-side inference,3000,0.4339565596666667,0.05998329110441517,0.4277525,0.53991925,0.5838457599999995,0.285862,1.433582,measured,descriptive samples; no independent-environment tail guarantee or confidence interval
1,pooled,NA,e2e_inference_ms,E2E inference latency,3000,89.209674294,12.037924725801622,88.125485,105.7594455,128.97371947999983,67.532861,267.747273,measured,descriptive samples; no independent-environment tail guarantee or confidence interval
1,pooled,NA,device_inference_cuda_ms,device-side inference (CUDA Event auxiliary),3000,0.15803319480270148,0.06720917165267873,0.12942399829626083,0.29741601347923274,0.3661785691976547,0.0721919983625412,0.45974400639533997,measured,descriptive samples; no independent-environment tail guarantee or confidence interval
1,pooled,NA,remote_roundtrip_ms,activation-ready to CPU logits roundtrip,3000,88.77571773433333,12.036713694501465,87.6911905,105.27549395,128.57530300999986,67.061822,267.286409,measured,descriptive samples; no independent-environment tail guarantee or confidence interval
1,round,1,device_inference_ms,device-side inference,300,0.4435337266666667,0.05933439292415106,0.4416825,0.5402271,0.5811084199999998,0.307352,0.670837,measured,descriptive samples; no independent-environment tail guarantee or confidence interval
1,round,1,e2e_inference_ms,E2E inference latency,300,91.03044507333334,11.07313255760397,90.387246,109.29887285,126.73845490999997,71.961679,158.248005,measured,descriptive samples; no independent-environment tail guarantee or confidence interval
