C,K,run_id,frames,local_latency_mean_ms,local_latency_median_ms,local_latency_p95_ms,local_latency_p99_ms,start_lag_mean_ms,front_end_mean_ms,queue_wait_mean_ms,queue_wait_p95_ms,inference_mean_ms,inference_p95_ms,deadline_miss_pct,peak_waiting_queue,time_weighted_waiting_queue,max_active_inferences,service_overlap_pair_count,service_overlap_time_ms
1,5,run01,9000,28.310250911666667,25.6114925,39.45152085,139.2332833,1.0711341825555556,12.833619309333333,9.292512527,16.00433945,5.112984892777778,7.91413785,19.31111111111111,37,1.3970616905300062,1,0,0.0
2,5,run01,9000,25.78785614811111,26.750245,32.13598085,37.15328655,0.822121425,11.067578577777779,6.215502940666667,14.9691656,7.682653204666667,9.07139255,1.3333333333333333,26,0.9344931962188564,2,7218,30496.817139
1,6,run01,10800,47.05027575444444,29.1587335,187.4224533,238.12376298,1.0142140141666667,11.959182629166667,28.957121097685185,162.57375045,5.119758013425926,7.21331105,38.97222222222222,45,5.227472540072192,1,0,0.0
2,6,run01,10800,31.30728892435185,28.214125,38.15064455,188.70903602,1.1336097590740741,11.764685785925925,9.86493789824074,16.19106925,8.54405548111111,9.7940552,32.97222222222222,46,1.7812241284807453,2,9044,44082.345992
1,7,run01,12600,4982.688273198572,5161.918048,8265.7091757,8337.15117127,1.2125900455555556,13.429405358095238,4962.697218402381,8247.6729916,5.349059392539682,8.40510215,100.0,1755,928.025966916188,1,0,0.0
2,7,run01,12600,110.03616795007936,118.0822725,214.2485235,294.10030048,1.5214323115079365,13.783199711825397,85.68196162484126,184.7345709,9.049574301904762,12.58334595,79.88095238095238,67,18.066615444364654,2,12135,54983.633055
2,6,run02,10800,30.403840851203704,28.116776,38.08972095,142.89071486,0.9007019757407407,11.638611499722222,9.307620504074075,16.22864115,8.556906871666667,9.7809605,32.47222222222222,38,1.6795353173496326,2,9044,44141.564917
1,6,run02,10800,110.56924260527778,42.3562365,231.41839435,248.55070997,0.9471373292592593,12.686667402685185,91.67467074111111,211.42280685,5.260767132222222,8.00510915,64.79629629629629,44,16.542179628260236,1,0,0.0
2,7,run02,12600,58.22225734698413,35.233113,244.39903835,288.99633172,1.284633381904762,12.798345703253968,35.59833296690476,215.29860935,8.540945294920634,10.56197915,51.388888888888886,62,7.504230645581501,2,11447,49557.121224
1,7,run02,12600,4651.179967289682,4710.710659,7908.6211982,7994.5796017,0.9171535211904762,13.480648734603175,4631.457994838651,7888.78147705,5.3241701952380955,8.3780691,100.0,1682,867.8354442465019,1,0,0.0
2,5,run02,9000,25.453442342,26.822964,32.1368495,33.31180332,0.7104390237777778,10.969283601555556,6.068810014666667,15.06276765,7.704909702,9.07504115,1.0,21,0.9119371814576506,2,7214,30555.312398
1,5,run02,9000,26.067761998555557,24.4182215,34.9551509,101.05463966,0.7402506252222222,10.966447290666666,9.548823425555556,16.826228,4.812240657111111,5.42201795,15.122222222222222,32,1.4348460206836795,1,0,0.0
1,7,run03,12600,4891.931969038413,5056.930082,8237.76171295,8323.45390978,1.0777768862698414,13.368168717619048,4872.137055544285,8218.6986483,5.348967890238095,8.4361764,100.0,1752,909.1671066749003,1,0,0.0
2,7,run03,12600,52.40866285222222,35.7303205,188.0515625,288.57157809,1.2397561963492063,12.66674897484127,29.936201800079367,158.59231715,8.56595588095238,10.6002663,51.96031746031746,62,6.307127855814872,2,11465,49835.922511
1,5,run03,9000,25.95634485088889,24.327076,34.87433265,106.06303243,0.8288615277777778,10.95672403188889,9.398410967111111,16.8065346,4.772348324111111,5.27127395,12.122222222222222,31,1.4130409191746094,1,0,0.0
