K,metric,old_source,old_C1_mean,old_C1_sample_sd,old_C1_min,old_C1_max,new_C1_mean,new_C1_sample_sd,new_C1_min,new_C1_max,new_minus_old,difference_unit,comparison_role
5,local_latency_mean_ms,results/local_latency_breakdown/per_run_summary.csv,25.730042962066666,0.3213473515911843,25.40845436488889,26.232913596666666,26.588796921822222,0.9752545808531184,25.95634485088889,28.310250911666667,0.8587539597555569,ms,implementation sensitivity reference only
5,local_latency_p95_ms,results/local_latency_breakdown/per_run_summary.csv,33.82236192,1.3430217490785485,33.16940275,36.22308575,35.79245941,2.0461158230998993,34.81157195,39.45152085,1.9700974900000006,ms,implementation sensitivity reference only
5,local_latency_p99_ms,results/local_latency_breakdown/per_run_summary.csv,104.084340776,10.091783941281959,90.48142369,112.13286628,116.44257265600001,14.826398811830796,101.05463966,139.2332833,12.358231880000005,ms,implementation sensitivity reference only
5,deadline_miss_pct,results/local_latency_breakdown/per_run_summary.csv,4.906666666666666,1.2940652758928375,4.088888888888889,7.166666666666667,13.975555555555555,3.3349755214086745,11.133333333333333,19.31111111111111,9.068888888888889,percentage points,implementation sensitivity reference only
5,start_lag_mean_ms,results/local_latency_breakdown/per_run_summary.csv,0.9679646914,0.08193645386440762,0.9048834507777778,1.1060782085555556,0.8970974370888889,0.12403632762367092,0.7402506252222222,1.0711341825555556,-0.07086725431111107,ms,implementation sensitivity reference only
5,front_end_mean_ms,results/local_latency_breakdown/per_run_summary.csv,11.162738469244445,0.4328091244278933,10.888720786444445,11.93154301188889,11.323309018311111,0.8469932208817574,10.837030850222222,12.833619309333333,0.1605705490666658,ms,implementation sensitivity reference only
5,queue_wait_mean_ms,results/local_latency_breakdown/per_run_summary.csv,8.975442342933333,0.3107285123368431,8.487047637555555,9.274723362,9.53069532051111,0.18883896865447225,9.292512527,9.761684558,0.5552529775777781,ms,implementation sensitivity reference only
5,queue_wait_p95_ms,results/local_latency_breakdown/per_run_summary.csv,16.23764735,0.18439929114374995,15.92046535,16.3853522,16.70899982,0.4028180970078221,16.00433945,17.02194935,0.47135246999999936,ms,implementation sensitivity reference only
5,inference_mean_ms,results/local_latency_breakdown/per_run_summary.csv,4.623897458488889,0.048574864471427844,4.589247311444445,4.708244738666667,4.837695145911112,0.1564003140189387,4.737587770222222,5.112984892777778,0.21379768742222272,ms,implementation sensitivity reference only
5,inference_p95_ms,results/local_latency_breakdown/per_run_summary.csv,5.0830221799999995,0.2152159309594658,4.94903645,5.46534485,5.80578678,1.1818626624709243,5.18909455,7.91413785,0.7227646000000005,ms,implementation sensitivity reference only
5,peak_waiting_queue,results/local_latency_breakdown/k5/runNN/validation.json,33.6,2.3021728866442674,30,36,33.4,3.361547262794322,30,37,-0.20000000000000284,frames,implementation sensitivity reference only
5,time_weighted_waiting_queue,results/local_latency_breakdown/k5/runNN/validation.json,1.3497388637451444,0.04650174981593714,1.27665937612943,1.3943624003133632,1.4329078913424032,0.028529120578160108,1.3970616905300062,1.4677440666178594,0.08316902759725875,frames,implementation sensitivity reference only
6,local_latency_mean_ms,results/local_latency_breakdown/per_run_summary.csv,43.62081068418519,17.25683764157834,34.073199762037035,74.36577836796296,81.68173027555555,56.57915531964263,40.51923977935185,168.28761844842592,38.060919591370364,ms,implementation sensitivity reference only
6,local_latency_p95_ms,results/local_latency_breakdown/per_run_summary.csv,109.43330299,49.44348627026132,43.1500006,165.46659685,195.45272991000002,40.96882102473179,147.2806438,243.1905618,86.01942692000002,ms,implementation sensitivity reference only
6,local_latency_p99_ms,results/local_latency_breakdown/per_run_summary.csv,221.504809594,23.36860384508965,193.02067422,251.52784037,253.193261048,14.193373142852185,238.12376298,275.87352507,31.688451454000017,ms,implementation sensitivity reference only
6,deadline_miss_pct,results/local_latency_breakdown/per_run_summary.csv,35.048148148148144,12.093683306831128,26.64814814814815,56.388888888888886,53.05555555555555,21.86493742692001,36.666666666666664,86.21296296296296,18.007407407407406,percentage points,implementation sensitivity reference only
6,start_lag_mean_ms,results/local_latency_breakdown/per_run_summary.csv,1.0224259367592592,0.12413711043867513,0.9103556589814815,1.2058633726851853,1.0595006102407407,0.10260065028180305,0.9471373292592593,1.2070797,0.037074673481481524,ms,implementation sensitivity reference only
6,front_end_mean_ms,results/local_latency_breakdown/per_run_summary.csv,11.917328987888888,0.45687444761155355,11.617031178148148,12.7249896275,12.32910972437037,0.7452223887525958,11.753425459814816,13.475314993333333,0.4117807364814823,ms,implementation sensitivity reference only
6,queue_wait_mean_ms,results/local_latency_breakdown/per_run_summary.csv,25.777952383537038,16.746321461598377,16.449789640092593,55.60545011759259,63.07640952014815,55.68503289763181,22.634961871944444,148.2248405960185,37.298457136611106,ms,implementation sensitivity reference only
6,queue_wait_p95_ms,results/local_latency_breakdown/per_run_summary.csv,87.65415889,48.409052959510696,24.32370195,144.5818731,172.2902712,41.79024924787744,123.74495735,219.40702495,84.63611231,ms,implementation sensitivity reference only
6,inference_mean_ms,results/local_latency_breakdown/per_run_summary.csv,4.903103376,0.09154085090449365,4.800515571111111,5.052107809722222,5.216710420796296,0.10932497799835365,5.119235688518518,5.380383159074074,0.31360704479629664,ms,implementation sensitivity reference only
6,inference_p95_ms,results/local_latency_breakdown/per_run_summary.csv,6.77511418,0.5296231549216345,6.2394006,7.66444765,7.73945017,0.9005341443340924,7.09416385,9.2096458,0.9643359899999995,ms,implementation sensitivity reference only
6,peak_waiting_queue,results/local_latency_breakdown/k6/runNN/validation.json,44.6,4.878524367060187,40,52,47.4,3.4351128074635335,44,52,2.799999999999997,frames,implementation sensitivity reference only
6,time_weighted_waiting_queue,results/local_latency_breakdown/k6/runNN/validation.json,4.6527809649839025,3.022192664516918,2.9705893929186247,10.03585218322141,11.386668227259943,10.053380544130738,4.086530835165036,26.763509332680986,6.73388726227604,frames,implementation sensitivity reference only
7,local_latency_mean_ms,results/local_latency_breakdown/per_run_summary.csv,4294.06354468719,146.87085493583308,4127.44478072873,4475.070635011667,5002.334504564762,354.048325275485,4651.179967289682,5596.304486613333,708.2709598775718,ms,implementation sensitivity reference only
7,local_latency_p95_ms,results/local_latency_breakdown/per_run_summary.csv,7213.38352883,275.28268317620194,6837.9692601,7532.5745973,8335.64656833,455.6757052469631,7908.6211982,9110.9909767,1122.2630394999996,ms,implementation sensitivity reference only
7,local_latency_p99_ms,results/local_latency_breakdown/per_run_summary.csv,7337.789498366,277.3636380701044,6965.45758505,7663.02877914,8419.83003282,453.5514441647155,7994.5796017,9192.7698751,1082.0405344540004,ms,implementation sensitivity reference only
7,deadline_miss_pct,results/local_latency_breakdown/per_run_summary.csv,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,percentage points,implementation sensitivity reference only
7,start_lag_mean_ms,results/local_latency_breakdown/per_run_summary.csv,0.9893734525555555,0.2626568470074416,0.7641556903174603,1.2811499482539683,1.0970316184761906,0.1584362546397571,0.9171535211904762,1.2982478353968254,0.10765816592063504,ms,implementation sensitivity reference only
7,front_end_mean_ms,results/local_latency_breakdown/per_run_summary.csv,13.446460126984126,0.0839780190997545,13.350808775714286,13.565817415396825,13.468620068047619,0.09037032615180891,13.368168717619048,13.612277900555556,0.022159941063492283,ms,implementation sensitivity reference only
7,queue_wait_mean_ms,results/local_latency_breakdown/per_run_summary.csv,4274.372473500397,146.86000015674293,4107.452012083175,4455.096520262857,4982.414996073635,353.81112356968174,4631.457994838651,5575.985290772461,708.0425225732379,ms,implementation sensitivity reference only
7,queue_wait_p95_ms,results/local_latency_breakdown/per_run_summary.csv,7194.64576389,276.3523514060979,6818.00564075,7515.1440901,8316.80291645,455.4123369693928,7888.78147705,9091.31185315,1122.1571525600002,ms,implementation sensitivity reference only
7,inference_mean_ms,results/local_latency_breakdown/per_run_summary.csv,5.255237607253968,0.02193973868488765,5.220978701666667,5.274132145079365,5.353856804603175,0.03229208173101807,5.3241701952380955,5.408670104920635,0.09861919734920654,ms,implementation sensitivity reference only
7,inference_p95_ms,results/local_latency_breakdown/per_run_summary.csv,8.5816802,0.032467686596695446,8.53605645,8.61521735,8.46805645,0.11169770542421627,8.3780691,8.659837,-0.11362374999999858,ms,implementation sensitivity reference only
7,peak_waiting_queue,results/local_latency_breakdown/k7/runNN/validation.json,1546.4,58.252038590936884,1468,1615,1771.8,95.30057712312134,1682,1934,225.39999999999986,frames,implementation sensitivity reference only
7,time_weighted_waiting_queue,results/local_latency_breakdown/k7/runNN/validation.json,813.0127454743161,24.410811242469936,787.7842424763114,844.1619195498938,929.8287828396664,61.61078513403743,867.8354442465019,1032.653340600049,116.81603736535021,frames,implementation sensitivity reference only
