K,run_id,pre_enqueue_depth,frames,queue_wait_mean_ms,queue_wait_p95_ms,deadline_miss_pct
5,run05,5,3,38.271607,62.222124400000006,100.0
5,run05,6,4,41.327982999999996,66.17036215,100.0
5,run05,7,3,44.178443,66.84136679999999,100.0
5,run05,8,3,56.159747333333335,76.0891163,100.0
5,run05,9,3,53.275424666666666,72.1089537,100.0
5,run05,10,3,61.852365666666664,80.4982758,100.0
5,run05,11,4,58.356094999999996,77.5594604,100.0
5,run05,12,5,67.7666158,83.4447344,100.0
5,run05,13,9,73.935701,90.9443658,100.0
5,run05,14,7,81.379143,91.31364250000001,100.0
5,run05,15,4,83.9592845,90.09487299999999,100.0
5,run05,16,2,96.2022075,97.76167575,100.0
5,run05,17,3,89.60923666666666,94.5694573,100.0
5,run05,18,4,97.12237625,102.433574,100.0
5,run05,19,5,97.926863,104.0635552,100.0
5,run05,20,2,104.439249,104.9717952,100.0
5,run05,21,4,100.99043725,105.85253399999999,100.0
5,run05,22,5,109.4504694,112.182316,100.0
5,run05,23,3,107.96161233333333,110.88813590000001,100.0
5,run05,24,3,115.19459366666666,118.3590457,100.0
5,run05,25,5,116.2595818,120.2049554,100.0
5,run05,26,5,123.5088554,126.774753,100.0
5,run05,27,4,121.73220775,123.70284185,100.0
5,run05,28,3,130.85977699999998,131.6549162,100.0
5,run05,29,2,130.8872465,131.91089795000002,100.0
5,run05,30,2,138.0098335,138.66705445,100.0
5,run05,31,1,137.103715,137.103715,100.0
6,run01,0,4857,2.173312038912909,7.888597999999999,0.04117768169652049
6,run01,1,2088,6.860460508141762,8.77251235,0.09578544061302682
6,run01,2,1799,13.298616158421344,15.619648399999999,75.81989994441356
6,run01,3,1763,14.834729971072036,16.640162600000004,99.37606352807714
6,run01,4,11,21.91986572727273,40.544671,100.0
6,run01,5,5,31.294471,53.46883439999999,100.0
6,run01,6,8,35.635658625,56.051741350000015,100.0
6,run01,7,12,36.856102166666666,51.37497059999998,100.0
6,run01,8,9,47.15152366666667,67.45252119999999,100.0
6,run01,9,10,47.6704813,65.56530035000003,100.0
6,run01,10,6,54.218247,73.67824549999999,100.0
6,run01,11,8,57.703033500000004,77.208517,100.0
6,run01,12,5,66.2808618,83.371669,100.0
6,run01,13,7,66.34511457142857,87.0168045,100.0
6,run01,14,10,73.1857101,89.46578630000002,100.0
6,run01,15,12,74.85357450000001,89.42815314999999,100.0
6,run01,16,12,87.21691033333333,102.93429155000001,100.0
6,run01,17,9,87.26915022222222,100.6407408,100.0
6,run01,18,6,92.31783516666667,97.8299605,100.0
6,run01,19,10,95.8954828,104.21386755,100.0
6,run01,20,9,103.12241255555556,107.69839060000001,100.0
6,run01,21,9,104.911665,110.3003726,100.0
6,run01,22,11,112.1672200909091,117.7218845,100.0
6,run01,23,7,114.93553828571429,121.3926165,100.0
6,run01,24,4,121.53252,126.3261363,100.0
6,run01,25,10,120.5374801,126.8211501,100.0
6,run01,26,9,128.04472777777778,137.7226468,100.0
6,run01,27,9,130.42399722222223,136.5415438,100.0
6,run01,28,10,136.617431,141.69676220000002,100.0
6,run01,29,8,141.56890625,145.9204537,100.0
6,run01,30,11,144.75532763636363,152.8388235,100.0
6,run01,31,7,152.22357114285714,161.33746280000003,100.0
6,run01,32,5,154.314752,161.11260000000001,100.0
6,run01,33,5,159.8607536,167.7443568,100.0
6,run01,34,5,158.2370948,164.977402,100.0
6,run01,35,6,164.847424,172.84214500000002,100.0
6,run01,36,6,168.52389266666665,174.59200149999998,100.0
6,run01,37,7,171.98534842857143,180.7492726,100.0
6,run01,38,6,173.85336633333333,180.5896405,100.0
6,run01,39,5,175.3005156,177.691553,100.0
6,run01,40,3,178.20018233333334,179.79797680000001,100.0
6,run01,41,1,181.832073,181.832073,100.0
6,run02,0,4773,2.2374958552273205,8.183356799999999,0.04190236748376283
6,run02,1,2186,6.6385911500457455,8.795812999999999,0.22872827081427263
6,run02,2,1846,13.532351299024919,16.08887425,86.24052004333694
6,run02,3,1766,14.526721576443942,16.58079325,99.43374858437146
6,run02,4,10,21.2394869,31.802287600000007,100.0
6,run02,5,5,24.8233346,35.5730244,100.0
6,run02,6,8,32.643619125,41.026295,100.0
6,run02,7,7,33.81872714285714,41.5953803,100.0
6,run02,8,8,39.854398,44.46294555,100.0
6,run02,9,9,47.93107211111111,54.2380874,100.0
6,run02,10,9,52.03229688888889,56.862669999999994,100.0
6,run02,11,9,55.82004,62.8578936,100.0
6,run02,12,6,60.42141216666667,69.32170525000001,100.0
6,run02,13,9,64.99087522222221,71.2666828,100.0
6,run02,14,6,68.09861183333334,72.71440025000001,100.0
6,run02,15,10,74.1354967,82.09081195,100.0
6,run02,16,12,77.6861855,83.74966,100.0
6,run02,17,10,83.6327726,89.13793485,100.0
6,run02,18,11,90.58063309090909,96.04324700000001,100.0
6,run02,19,6,93.91767466666667,98.869931,100.0
6,run02,20,4,100.157195,104.8336001,100.0
6,run02,21,4,98.03662875,103.84927375000001,100.0
6,run02,22,5,107.4590714,111.17682359999999,100.0
6,run02,23,8,105.19968287500001,108.9596584,100.0
6,run02,24,6,111.724717,116.16616725,100.0
6,run02,25,8,116.350443125,122.78540190000001,100.0
6,run02,26,10,122.7074207,130.31234619999998,100.0
6,run02,27,5,128.2158832,133.1545958,100.0
6,run02,28,4,135.66438725,140.2948525,100.0
6,run02,29,6,133.416058,139.30928675,100.0
6,run02,30,7,142.46612042857143,147.8116856,100.0
6,run02,31,9,143.50089755555555,149.296745,100.0
6,run02,32,6,150.48132516666666,156.55469775,100.0
6,run02,33,5,151.5732678,154.24297900000002,100.0
6,run02,34,4,161.8094965,163.31721105,100.0
6,run02,35,2,160.731015,161.1505104,100.0
6,run02,36,1,168.787941,168.787941,100.0
6,run03,0,4837,2.154132947694852,7.9131262,0.062021914409758114
6,run03,1,2102,6.862393285442436,8.6969631,0.047573739295908656
6,run03,2,1799,13.317347518065592,15.638128899999998,77.3763201778766
6,run03,3,1759,14.877249567367823,16.602129399999995,99.48834565093803
6,run03,4,14,19.371471785714284,30.933881699999993,100.0
6,run03,5,6,27.483581666666666,46.33808525,100.0
6,run03,6,5,35.8873472,52.1461116,100.0
6,run03,7,6,36.065685,55.12736575,100.0
6,run03,8,5,43.3574554,58.1194248,100.0
6,run03,9,8,45.449756375,59.55336215000001,100.0
6,run03,10,8,52.286841,65.7209361,100.0
6,run03,11,11,54.82927927272727,64.526331,100.0
6,run03,12,5,65.4167666,73.84056939999999,100.0
6,run03,13,4,66.2112205,73.42953100000001,100.0
6,run03,14,5,69.572238,79.0529356,100.0
6,run03,15,8,75.8767975,85.54300275,100.0
6,run03,16,9,78.30224977777777,90.31778080000001,100.0
6,run03,17,6,83.62818483333334,90.2530745,100.0
6,run03,18,7,88.10219142857143,95.5681898,100.0
6,run03,19,3,91.33110266666667,96.60962500000001,100.0
6,run03,20,6,95.179191,101.3635065,100.0
6,run03,21,10,100.6086411,110.40333725,100.0
6,run03,22,5,102.0898352,111.01157419999998,100.0
6,run03,23,6,109.14657916666667,118.61208449999998,100.0
6,run03,24,10,115.6732425,122.56013395000001,100.0
6,run03,25,7,117.59332057142858,126.55883119999999,100.0
6,run03,26,9,128.407854,135.054947,100.0
6,run03,27,12,131.10166491666666,138.23600140000002,100.0
6,run03,28,8,140.4080715,146.7511222,100.0
6,run03,29,10,144.6414663,153.13487885,100.0
6,run03,30,11,147.63211863636363,153.9384005,100.0
6,run03,31,7,150.188963,159.7000175,100.0
6,run03,32,9,158.0422597777778,163.4005058,100.0
6,run03,33,7,159.39364985714286,166.4013706,100.0
6,run03,34,7,164.73639542857143,169.35844170000001,100.0
6,run03,35,7,168.311453,175.10206140000003,100.0
6,run03,36,5,171.81268219999998,174.38790719999997,100.0
6,run03,37,5,173.2131916,177.5673076,100.0
6,run03,38,5,176.4668438,181.5799846,100.0
6,run03,39,6,179.345159,185.44723575,100.0
6,run03,40,4,181.9549965,188.9205971,100.0
6,run03,41,7,186.21664242857142,194.0931933,100.0
6,run03,42,4,187.46529425,189.49409385,100.0
6,run03,43,6,192.647963,196.28981149999998,100.0
6,run03,44,5,196.0620248,199.5630576,100.0
6,run03,45,7,200.69190485714287,204.3424483,100.0
6,run03,46,2,200.41479900000002,201.20764499999999,100.0
6,run03,47,2,206.3146365,207.69849405,100.0
6,run03,48,2,208.1626025,208.39808075000002,100.0
6,run03,49,1,211.674637,211.674637,100.0
6,run03,50,1,214.481119,214.481119,100.0
6,run04,0,4785,2.0882428821316616,7.839365000000001,0.45977011494252873
6,run04,1,2134,6.631954246954077,8.863533749999998,3.936269915651359
6,run04,2,1870,12.774913809625668,15.654532,72.7807486631016
6,run04,3,1643,14.56805969446135,16.7515253,97.32197200243458
6,run04,4,30,18.5245376,20.0010154,100.0
6,run04,5,6,28.715836166666666,37.695527999999996,100.0
6,run04,6,8,30.236393375,42.4960231,100.0
6,run04,7,7,35.58304485714286,43.7023648,100.0
6,run04,8,5,43.0487042,54.616790800000004,100.0
6,run04,9,7,45.37543614285715,53.2626186,100.0
6,run04,10,7,51.64157071428571,64.2863461,100.0
6,run04,11,8,54.330252125,65.30035755,100.0
6,run04,12,6,59.096003333333336,70.9033735,100.0
6,run04,13,6,65.38924033333333,72.97074025,100.0
6,run04,14,6,80.23748716666667,97.64417975,100.0
6,run04,15,9,83.89975688888889,99.0640688,100.0
6,run04,16,9,83.01469688888889,102.18933859999999,100.0
6,run04,17,5,84.3302766,101.09261599999999,100.0
6,run04,18,6,87.75198316666666,103.89771350000001,100.0
6,run04,19,7,90.91174985714285,104.86138340000001,100.0
6,run04,20,6,99.90332649999999,114.094673,100.0
6,run04,21,8,103.584884875,120.02532440000002,100.0
6,run04,22,6,105.938288,115.02442875,100.0
6,run04,23,11,115.4084949090909,129.456235,100.0
6,run04,24,12,121.89903633333333,136.01395845,100.0
6,run04,25,14,127.85679428571429,142.32561944999998,100.0
6,run04,26,12,136.84502566666666,151.83542734999997,100.0
6,run04,27,18,138.54774644444444,151.91619699999998,100.0
6,run04,28,15,146.1949294,160.27553699999999,100.0
6,run04,29,13,148.17485846153846,163.0019292,100.0
6,run04,30,12,153.28320175,169.96191844999998,100.0
6,run04,31,10,159.0207034,172.9356575,100.0
6,run04,32,9,158.86283566666665,164.7899286,100.0
6,run04,33,7,164.58109228571428,169.5225002,100.0
6,run04,34,10,167.1451908,173.60022220000002,100.0
6,run04,35,6,172.3775345,177.97820124999998,100.0
6,run04,36,7,173.262803,180.6758432,100.0
6,run04,37,8,177.636425125,183.9154641,100.0
6,run04,38,6,180.57238833333335,186.4414895,100.0
6,run04,39,8,185.8608835,190.79019015,100.0
6,run04,40,7,192.42015971428572,196.807457,100.0
6,run04,41,7,197.45342585714286,202.0761245,100.0
6,run04,42,8,202.3299145,206.56668009999999,100.0
6,run04,43,6,207.57590366666668,210.04713475,100.0
6,run04,44,4,212.594661,215.0498495,100.0
6,run04,45,3,215.62085333333334,218.8017519,100.0
6,run04,46,2,220.6171235,221.28405005,100.0
6,run04,47,1,221.357338,221.357338,100.0
6,run05,0,4805,2.2790511026014566,8.1914848,0.08324661810613944
6,run05,1,2161,6.951147593243869,8.881708,0.13882461823229986
6,run05,2,1833,13.930843895253682,16.1589828,83.08783415166394
6,run05,3,1777,15.088633113111987,16.8426334,98.25548677546426
6,run05,4,10,19.9835683,29.510021300000012,100.0
6,run05,5,8,26.675825875,39.940471450000004,100.0
6,run05,6,8,32.48961775,41.718214200000006,100.0
6,run05,7,5,38.172831,49.751759199999995,100.0
6,run05,8,6,41.6911025,51.785587250000006,100.0
6,run05,9,6,45.493485666666665,59.8557585,100.0
6,run05,10,6,52.046249833333334,61.7256615,100.0
6,run05,11,4,54.322534250000004,69.6910897,100.0
6,run05,12,7,59.813243428571425,69.2411001,100.0
6,run05,13,8,64.154190875,80.89873595,100.0
6,run05,14,7,73.06180571428571,85.8624208,100.0
6,run05,15,5,75.96389860000001,86.0485858,100.0
6,run05,16,9,82.15974166666666,95.2201356,100.0
6,run05,17,9,84.32983755555556,91.86946499999999,100.0
6,run05,18,7,89.64812528571429,96.2850354,100.0
6,run05,19,7,93.53587657142857,101.9216335,100.0
6,run05,20,9,96.96930633333334,104.0028264,100.0
6,run05,21,8,103.41653425,109.5326058,100.0
6,run05,22,6,108.36092533333334,111.71359375,100.0
6,run05,23,8,110.51577362500001,116.67622415,100.0
6,run05,24,7,114.36491514285714,122.77266829999999,100.0
6,run05,25,9,118.82584922222222,125.67881799999999,100.0
6,run05,26,10,127.1640814,136.7381899,100.0
6,run05,27,9,130.11090255555555,137.990107,100.0
6,run05,28,12,137.08719175,145.1271893,100.0
6,run05,29,8,141.531808875,150.86090375,100.0
6,run05,30,4,144.58696075,150.9226637,100.0
6,run05,31,6,148.13553716666667,158.22068074999999,100.0
6,run05,32,6,150.68229250000002,163.260948,100.0
6,run05,33,4,157.05287325,166.55350575,100.0
6,run05,34,3,154.70313366666667,158.89885920000003,100.0
6,run05,35,2,159.429733,160.3456828,100.0
6,run05,36,1,169.994917,169.994917,100.0
7,run01,0,1765,2.3692484407932013,8.464405600000001,0.33994334277620397
7,run01,1,887,6.767456399098084,9.2131149,0.5636978579481398
7,run01,2,725,13.72923476137931,16.235060999999998,86.20689655172414
7,run01,3,711,15.06405229535865,17.178302,98.59353023909986
7,run01,4,696,21.437106199712645,24.11280625,100.0
7,run01,5,23,23.291391652173914,27.8721246,100.0
7,run01,6,17,30.27697782352941,36.955439399999996,100.0
7,run01,7,14,33.08396857142857,41.11429784999999,100.0
7,run01,8,13,38.59066161538461,45.075433000000004,100.0
7,run01,9,18,42.75105816666667,56.92900475,100.0
7,run01,10,17,48.116229764705885,65.0941082,100.0
7,run01,11,17,50.905754882352944,59.679684399999985,100.0
7,run01,12,23,55.961809869565215,61.8122207,100.0
7,run01,13,22,61.23766031818182,76.86491904999998,100.0
7,run01,14,20,68.2267889,86.52823810000001,100.0
7,run01,15,23,71.37853234782608,83.73475929999998,100.0
7,run01,16,18,75.2893935,83.91668004999998,100.0
7,run01,17,19,77.88502310526316,87.64712830000002,100.0
7,run01,18,24,84.79709375,95.2679224,100.0
7,run01,19,35,88.45772422857144,100.60023279999999,100.0
7,run01,20,45,95.2391166,104.14681379999999,100.0
7,run01,21,51,99.00396582352941,107.637628,100.0
7,run01,22,57,104.83182342105263,112.3191722,100.0
7,run01,23,88,109.54562311363637,116.8952581,100.0
7,run01,24,137,115.40344993430656,124.5602098,100.0
7,run01,25,181,120.60244159116021,131.611405,100.0
7,run01,26,196,125.77224143367347,138.72770050000003,100.0
7,run01,27,247,130.44095397165992,141.86042170000002,100.0
7,run01,28,280,135.23972099642856,146.66940065,100.0
7,run01,29,272,138.95386654044117,150.44880275,100.0
7,run01,30,227,142.68640127753304,156.58112069999999,100.0
7,run01,31,196,146.65235820408162,159.48263325,100.0
7,run01,32,205,151.74608746829267,164.0003064,100.0
7,run01,33,200,156.67538,169.7032716,100.0
7,run01,34,200,162.382916955,175.679687,100.0
7,run01,35,218,167.24057485779815,179.91698194999998,100.0
7,run01,36,237,172.84990156118144,185.6920818,100.0
7,run01,37,283,177.1856011024735,189.7763191,100.0
7,run01,38,290,181.47189843448277,195.6319107,100.0
7,run01,39,319,186.11572304075236,201.3730657,100.0
7,run01,40,308,192.03725722077922,206.94752069999998,100.0
7,run01,41,346,196.82821172254336,209.63636725,100.0
7,run01,42,392,201.62324127806122,213.71235375,100.0
7,run01,43,420,206.1537198,219.07812769999998,100.0
7,run01,44,419,210.83859164916467,224.7971708,100.0
7,run01,45,391,214.56481616368288,227.1766165,100.0
7,run01,46,372,218.57675313978496,232.762337,100.0
7,run01,47,333,223.27133105405406,237.86369779999998,100.0
7,run01,48,256,228.040676234375,241.26165849999998,100.0
7,run01,49,189,231.9503833015873,243.996687,100.0
7,run01,50,101,234.83112265346534,244.462281,100.0
7,run01,51,46,236.905366,245.74078725,100.0
7,run01,52,10,239.7276564,243.12582494999998,100.0
7,run01,53,1,244.417762,244.417762,100.0
7,run02,0,2284,2.3547158318739054,8.5385531,0.13134851138353765
7,run02,1,1156,6.823025442906574,9.1135645,0.25951557093425603
7,run02,2,940,13.865342970212765,16.452865999999997,86.48936170212765
7,run02,3,925,15.067746465945946,16.863166399999997,98.70270270270271
7,run02,4,906,21.63887759933775,24.1192755,100.0
7,run02,5,24,23.560429125,24.917373050000002,100.0
7,run02,6,16,29.1312211875,37.347809,100.0
7,run02,7,15,32.69647593333333,43.64373330000002,100.0
7,run02,8,17,39.169158,49.168257199999985,100.0
7,run02,9,25,42.49258936,46.0372738,100.0
7,run02,10,19,47.89430447368421,55.04996070000003,100.0
7,run02,11,19,53.20553778947369,76.4407493,100.0
7,run02,12,21,58.77810157142857,73.898182,100.0
7,run02,13,29,62.25229562068966,74.2568532,100.0
7,run02,14,36,68.59775791666667,83.45103599999999,100.0
7,run02,15,50,72.28112494,82.56045495,100.0
7,run02,16,62,77.71751264516129,88.065776,100.0
7,run02,17,83,82.20319910843374,93.6740061,100.0
7,run02,18,95,86.96090050526315,99.42343869999999,100.0
7,run02,19,100,90.42162279,102.3304462,100.0
7,run02,20,103,95.57525946601942,106.42800260000001,100.0
7,run02,21,95,100.26555955789473,111.3684931,100.0
7,run02,22,77,104.23249336363637,115.2842478,100.0
7,run02,23,47,107.02041034042553,115.31076630000001,100.0
7,run02,24,43,111.94976183720931,122.49336410000001,100.0
7,run02,25,46,117.00904743478262,125.91674024999999,100.0
7,run02,26,50,123.29002396,132.78425665,100.0
7,run02,27,67,129.05431401492538,138.79594429999997,100.0
7,run02,28,84,134.33555989285713,143.45207255000003,100.0
7,run02,29,104,138.43866210576923,148.07607520000002,100.0
7,run02,30,115,143.48785235652173,152.3785038,100.0
7,run02,31,114,147.48019620175438,157.54176705,100.0
7,run02,32,106,151.8266622264151,163.15863675000003,100.0
7,run02,33,104,155.82089323076923,165.75389869999998,100.0
7,run02,34,102,161.30503132352942,172.5313527,100.0
7,run02,35,102,164.96202287254903,173.28597605,100.0
7,run02,36,101,171.63407541584158,180.64918,100.0
7,run02,37,110,177.89123107272727,192.6628049,100.0
7,run02,38,132,182.26565965909091,198.08003,100.0
7,run02,39,144,187.41111205555555,206.06482089999997,100.0
7,run02,40,171,192.94010083040936,211.1958275,100.0
7,run02,41,219,198.32359739726027,214.7850702,100.0
7,run02,42,281,202.15925983629893,215.561708,100.0
7,run02,43,345,206.92231557101448,225.343318,100.0
7,run02,44,368,210.58548452717392,227.586762,100.0
7,run02,45,365,215.57686469863015,234.66098159999999,100.0
7,run02,46,360,219.01826071944444,238.7409814,100.0
7,run02,47,305,223.90095939016393,244.92522,100.0
7,run02,48,266,227.8115847330827,248.30232125,100.0
7,run02,49,246,232.28910395528456,252.6848585,100.0
7,run02,50,208,236.17832182692308,256.1192295,100.0
7,run02,51,190,241.11292152105264,262.0643113,100.0
7,run02,52,189,244.84734375132274,265.7862308,100.0
7,run02,53,163,248.27344360736197,267.98419,100.0
7,run02,54,92,250.1458670869565,264.2844939,100.0
7,run02,55,67,257.15012897014924,271.6522109,100.0
7,run02,56,52,260.7243542307692,274.6188748,100.0
7,run02,57,34,267.73294944117646,278.7582013,100.0
7,run02,58,8,268.435773625,272.94678135,100.0
7,run02,59,3,274.433313,280.059882,100.0
7,run03,0,1996,2.32851375501002,8.40284075,0.15030060120240482
7,run03,1,984,6.941705197154471,9.1022921,0.3048780487804878
7,run03,2,818,13.942446674816626,16.448912999999997,84.47432762836186
7,run03,3,808,15.112529476485149,16.96845345,99.00990099009901
7,run03,4,779,21.72916220924262,24.1706968,100.0
7,run03,5,28,23.083778535714284,25.7210331,100.0
7,run03,6,15,30.2159032,39.39733570000001,100.0
7,run03,7,14,32.129570214285714,39.7515772,100.0
7,run03,8,14,38.56187085714286,49.058196949999996,100.0
7,run03,9,13,41.57056176923077,50.555009000000005,100.0
7,run03,10,17,47.001305529411766,54.7852256,100.0
7,run03,11,14,51.105088214285715,68.6415607,100.0
7,run03,12,17,58.15983723529412,66.0222396,100.0
7,run03,13,29,61.31564255172414,71.34877,100.0
7,run03,14,39,68.66776687179487,78.16208980000002,100.0
7,run03,15,42,71.05965054761904,80.22421380000002,100.0
7,run03,16,40,76.51593805,85.3984175,100.0
7,run03,17,42,80.78105897619048,93.91874755,100.0
7,run03,18,46,86.05041852173913,97.1781725,100.0
7,run03,19,52,89.04820817307693,101.1619368,100.0
7,run03,20,50,95.40593098,106.7613485,100.0
7,run03,21,58,100.32167275862069,108.90245315000001,100.0
7,run03,22,58,106.38958703448276,117.38996279999999,100.0
7,run03,23,59,109.63659147457628,122.37850040000001,100.0
7,run03,24,56,113.63649880357143,124.9430605,100.0
7,run03,25,49,117.58019363265306,132.11023039999998,100.0
7,run03,26,54,123.75796894444444,138.98649515,100.0
7,run03,27,60,127.80125181666666,141.0758675,100.0
7,run03,28,60,133.00163198333334,143.83370474999998,100.0
7,run03,29,53,136.61345856603774,146.6515334,100.0
7,run03,30,46,140.96515919565218,152.91412,100.0
7,run03,31,45,147.13557877777777,162.432434,100.0
7,run03,32,56,152.87137914285714,170.19029725000001,100.0
7,run03,33,58,159.2889922413793,175.32066805,100.0
7,run03,34,84,164.11505541666668,179.5830295,100.0
7,run03,35,145,169.28468064827587,183.987567,100.0
7,run03,36,212,174.04522228301886,186.36478634999997,100.0
7,run03,37,300,177.96773912666666,192.48213875,100.0
7,run03,38,390,181.7065523102564,194.3318309,100.0
7,run03,39,447,186.69999490604027,200.1126545,100.0
7,run03,40,498,191.39273344176706,204.69405849999998,100.0
7,run03,41,507,196.1984475147929,209.56349870000003,100.0
7,run03,42,489,200.92076524335377,213.74072460000002,100.0
7,run03,43,436,205.94043838302753,223.32278200000002,100.0
7,run03,44,400,210.564353475,228.51938149999998,100.0
7,run03,45,384,215.42066989583333,234.03659380000002,100.0
7,run03,46,366,219.44658592076502,236.9194015,100.0
