K,run_id,periods,ready_span_ms_mean,ready_span_ms_p95,first_ready_lag_ms_mean,first_ready_lag_ms_p95,boundary_prior_unfinished_mean,boundary_prior_unfinished_p95,boundary_prior_unfinished_positive_pct,boundary_prior_pre_ready_mean,boundary_prior_pre_ready_p95,boundary_prior_pre_ready_positive_pct,boundary_prior_ready_unfinished_mean,boundary_prior_ready_unfinished_p95,boundary_prior_ready_unfinished_positive_pct,boundary_prior_waiting_mean,boundary_prior_waiting_p95,boundary_prior_waiting_positive_pct,boundary_prior_active_mean,boundary_prior_active_p95,boundary_prior_active_positive_pct,next_first_ready_prior_unfinished_mean,next_first_ready_prior_unfinished_p95,next_first_ready_prior_unfinished_positive_pct,next_first_ready_prior_pre_ready_mean,next_first_ready_prior_pre_ready_p95,next_first_ready_prior_pre_ready_positive_pct,next_first_ready_prior_ready_unfinished_mean,next_first_ready_prior_ready_unfinished_p95,next_first_ready_prior_ready_unfinished_positive_pct,next_first_ready_prior_waiting_mean,next_first_ready_prior_waiting_p95,next_first_ready_prior_waiting_positive_pct,next_first_ready_prior_active_mean,next_first_ready_prior_active_p95,next_first_ready_prior_active_positive_pct
5,run01,1800,4.365044221111111,6.8153885,11.142769162777778,12.758113649999999,0.4127777777777778,1.0,24.333333333333332,0.05611111111111111,0.0,0.4444444444444444,0.3566666666666667,1.0,24.11111111111111,0.10777777777777778,0.0,0.7777777777777778,0.24888888888888888,1.0,24.11111111111111,0.15953307392996108,0.0,1.056142301278488,0.007226236798221234,0.0,0.33351862145636463,0.15230683713173984,0.0,1.056142301278488,0.1311839911061701,0.0,1.000555864369094,0.021122846025569762,0.0,1.056142301278488
5,run02,1800,2.5529116594444443,3.6472829,10.368745143888889,10.939425299999998,0.16,0.0,2.7777777777777777,0.04666666666666667,0.0,0.3888888888888889,0.11333333333333333,0.0,2.5555555555555554,0.0811111111111111,0.0,0.7222222222222222,0.03222222222222222,0.0,2.5555555555555554,0.12284602556976097,0.0,0.8893829905503057,0.0033351862145636463,0.0,0.27793218454697055,0.11951083935519734,0.0,0.8893829905503057,0.10172317954419122,0.0,0.8337965536409117,0.017787659811006114,0.0,0.8893829905503057
5,run03,1800,2.778799543888889,3.9058122999999996,10.465365241666667,11.0253054,0.21333333333333335,0.0,3.388888888888889,0.06055555555555556,0.0,0.5,0.1527777777777778,0.0,3.111111111111111,0.11388888888888889,0.0,0.7777777777777778,0.03888888888888889,0.0,3.111111111111111,0.16731517509727625,0.0,1.056142301278488,0.012229016120066704,0.0,0.38910505836575876,0.15508615897720957,0.0,1.056142301278488,0.1339633129516398,0.0,1.056142301278488,0.021122846025569762,0.0,1.056142301278488
5,run04,1800,5.304186600555555,10.228843249999999,7.994266293333333,10.6797083,0.135,0.0,3.7777777777777777,0.03333333333333333,0.0,0.3333333333333333,0.10166666666666667,0.0,3.611111111111111,0.05611111111111111,0.0,0.6666666666666666,0.04555555555555556,0.0,3.611111111111111,0.08727070594774874,0.0,0.7782101167315175,0.006114508060033352,0.0,0.27793218454697055,0.0811561978877154,0.0,0.7782101167315175,0.06614785992217899,0.0,0.7226236798221234,0.01500833796553641,0.0,0.7782101167315175
5,run05,1800,2.6505539944444445,4.351760849999998,10.38260166,11.1063999,0.25555555555555554,0.0,3.888888888888889,0.05611111111111111,0.0,0.4444444444444444,0.19944444444444445,0.0,3.6666666666666665,0.1527777777777778,0.0,1.1111111111111112,0.04666666666666667,0.0,3.6666666666666665,0.2084491384102279,0.0,1.2229016120066705,0.016675931072818232,0.0,0.38910505836575876,0.19177320733740968,0.0,1.2229016120066705,0.16731517509727625,0.0,1.2229016120066705,0.024458032240133407,0.0,1.2229016120066705
6,run01,1800,3.749581407777778,5.528897049999999,10.81577921,11.5387895,2.3594444444444442,2.0,99.94444444444444,0.09055555555555556,0.0,0.5,2.2688888888888887,2.0,99.66666666666667,0.48833333333333334,0.0,2.5555555555555554,1.7805555555555554,2.0,99.66666666666667,0.5669816564758199,0.0,2.7237354085603114,0.009449694274596998,0.0,0.38910505836575876,0.5575319622012229,0.0,2.7237354085603114,0.5030572540300167,0.0,2.7237354085603114,0.054474708171206226,0.0,2.7237354085603114
6,run02,1800,3.96429298,6.424401149999999,11.285345814444444,12.64947535,2.328333333333333,2.0,99.83333333333333,0.10444444444444445,0.0,0.5555555555555556,2.223888888888889,2.0,99.55555555555556,0.32611111111111113,0.0,2.0555555555555554,1.8977777777777778,2.0,99.55555555555556,0.3913285158421345,0.0,2.2790439132851583,0.005002779321845469,0.0,0.44469149527515284,0.38632573652028906,0.0,2.2790439132851583,0.34185658699277377,0.0,2.16787103946637,0.04446914952751529,0.0,2.2790439132851583
6,run03,1800,3.7270613394444445,5.535825849999999,11.212451076666667,11.517507549999998,2.54,2.0,99.83333333333333,0.16333333333333333,0.0,0.7222222222222222,2.3766666666666665,2.0,99.44444444444444,0.5794444444444444,0.0,2.4444444444444446,1.7972222222222223,2.0,99.44444444444444,0.6914952751528627,0.0,2.8349082823790996,0.012229016120066704,0.0,0.6114508060033352,0.679266259032796,0.0,2.8349082823790996,0.623123957754308,0.0,2.7793218454697053,0.05614230127848805,0.0,2.8349082823790996
6,run04,1800,4.757604308333334,8.82256415,10.980038216111112,13.73834085,2.6033333333333335,3.0,96.33333333333333,0.125,0.0,0.6111111111111112,2.4783333333333335,3.0,96.0,0.7566666666666667,1.0,6.777777777777778,1.7216666666666667,2.0,96.0,0.8604780433574208,1.0,7.448582545858811,0.017231795441912175,0.0,0.5558643690939411,0.8432462479155086,1.0,7.448582545858811,0.7254030016675931,0.0,3.3351862145636466,0.1178432462479155,1.0,7.448582545858811
6,run05,1800,3.409048316111111,5.167813499999998,10.777140093888889,11.65747965,2.2655555555555558,2.0,98.72222222222223,0.07166666666666667,0.0,0.4444444444444444,2.193888888888889,2.0,98.5,0.34055555555555556,0.0,1.9444444444444444,1.8533333333333333,2.0,98.5,0.39744302390216785,0.0,2.16787103946637,0.007226236798221234,0.0,0.33351862145636463,0.39021678710394664,0.0,2.16787103946637,0.34741523068371316,0.0,2.112284602556976,0.042801556420233464,0.0,2.16787103946637
