K,run_id,second,waiting_time_mean,active_time_mean,logical_frame_deadline_miss_pct,boundary_prior_waiting_mean,boundary_prior_active_mean
5,run01,0,6.988609238,1.380889458,65.33333333333333,6.466666666666667,1.0666666666666667
5,run01,1,0.853131134,1.160749322,3.3333333333333335,0,0.16666666666666666
5,run01,2,0.871916328,1.159730308,0.0,0,0
5,run01,3,0.878078852,1.161416281,1.3333333333333333,0,0.06666666666666667
5,run01,4,0.863002886,1.165300946,0.0,0,0
5,run01,5,0.755214767,1.160248403,4.0,0,0.2
5,run01,6,0.713566125,1.159959614,7.333333333333333,0,0.36666666666666664
5,run01,7,0.714784006,1.158051637,1.3333333333333333,0,0.06666666666666667
5,run01,8,0.753607796,1.162507112,6.0,0,0.3
5,run01,9,0.737968505,1.150051619,2.0,0,0.1
5,run01,10,0.69984236,1.157584362,2.6666666666666665,0,0.13333333333333333
5,run01,11,0.720102222,1.152945145,4.0,0,0.2
5,run01,12,0.8127911,1.190634782,9.333333333333334,0,0.4666666666666667
5,run01,13,0.759131916,1.163230545,3.3333333333333335,0,0.16666666666666666
5,run01,14,0.76754073,1.173510487,2.6666666666666665,0,0.13333333333333333
5,run01,15,0.735240809,1.175510723,3.3333333333333335,0,0.16666666666666666
5,run01,16,0.721790571,1.149199131,2.6666666666666665,0,0.13333333333333333
5,run01,17,0.737099459,1.157753008,2.0,0,0.1
5,run01,18,0.725658428,1.176465964,2.0,0,0.1
5,run01,19,0.776264291,1.178040107,7.333333333333333,0,0.36666666666666664
5,run01,20,0.763381716,1.175908604,8.0,0,0.4
5,run01,21,0.718208263,1.157955911,4.0,0,0.2
5,run01,22,0.759919351,1.156814009,4.666666666666667,0,0.23333333333333334
5,run01,23,0.728920695,1.154716267,4.0,0,0.2
5,run01,24,0.748560128,1.167701556,9.333333333333334,0,0.4666666666666667
5,run01,25,0.767388957,1.188673591,10.666666666666666,0,0.5333333333333333
5,run01,26,0.718622377,1.141893204,3.3333333333333335,0,0.16666666666666666
5,run01,27,0.697445239,1.12557125,4.0,0,0.2
5,run01,28,0.713418474,1.14187935,2.0,0,0.1
