C,K,run_id,frames,local_latency_mean_ms,local_latency_median_ms,local_latency_p95_ms,local_latency_p99_ms,start_lag_mean_ms,front_end_mean_ms,queue_wait_mean_ms,queue_wait_p95_ms,inference_mean_ms,inference_p95_ms,deadline_miss_pct,peak_waiting_queue,time_weighted_waiting_queue,max_active_inferences,service_overlap_pair_count,service_overlap_time_ms,n_runs,offered_duration_s,wall_clock_duration_s,completion_elapsed_s,drain_after_offered_end_s,workers_actually_used,natural_EOS_count
3,5,run01,9000,29.360434432111113,27.811733,38.45182075,41.20382317,0.9223114772222222,14.364685394,3.150023576666667,10.2428321,10.923413984222222,13.8947682,18.2,23,0.4731996535650032,3,12637,35129.827122,1,60,63.108943509,60.010025676,0.010025676,3,5
5,5,run01,9000,34.808895879666665,31.9281635,36.12082275,184.4897245,2.989433218111111,11.559946971777778,0.4519573878888889,0.7188441,19.80755830188889,23.31531335,16.58888888888889,20,0.06818804135419747,5,18176,38703.479321,1,60,63.932615095,60.002002463,0.002002463,5,5
6,5,run01,9000,36.61886287111111,32.0515145,36.40212975,272.40458556,4.693311808555555,11.882632489222223,0.3647635798888889,0.81559935,19.678154993444444,23.3369229,19.133333333333333,16,0.05503920115514541,6,18247,38659.120961,1,60,63.682851911,60.00141642,0.00141642,6,5
6,6,run01,10800,46.47539434962963,37.716108,40.8473909,403.24183447,9.318975108888889,12.535898307592593,0.3400100236111111,0.90713795,24.280510909537036,27.2823136,89.95370370370371,15,0.06171621338290902,6,27420,48224.992901,1,60,63.952865069,60.007933241,0.007933241,6,6
5,6,run01,10800,43.15667116638889,33.0968035,41.15887835,407.8638611,9.07847360138889,12.69558429462963,3.0322285987962965,17.1852718,18.350384671574073,24.11534345,45.833333333333336,21,0.5503015494253021,5,25644,42107.76744,1,60,63.953281635,60.001237394,0.001237394,5,6
3,6,run01,10800,32.92090935351852,30.134206,39.4855512,177.3732682,1.0800091462962964,12.127993435462963,7.5621877082407405,12.7077038,12.150719063518519,14.45169285,39.638888888888886,44,1.3654786789176512,3,16337,44451.236694,1,60,63.650109507,60.0067739,0.0067739,3,6
3,7,run01,12600,38.483780671666665,35.8452185,54.16737555,199.65288175,1.2074461652380952,12.594539013809523,12.640194574444445,25.3640769,12.041600918174604,14.96151725,53.92857142857143,46,2.662013726593801,3,20489,49779.879053,1,60,63.614336269,60.008424701,0.008424701,3,7
5,7,run01,12600,58.81419826142857,36.959089,245.6528178,507.69818535,20.543619057936507,14.536821489047618,5.459744607619047,19.03372355,18.274013106825397,24.96133855,69.22222222222223,33,1.156090889776018,5,35564,53766.235967,1,60,63.996933057,60.010261772,0.010261772,5,7
6,7,run01,12600,75.33885515420634,39.0350805,406.61614625,625.53959312,34.89243967031746,14.940106429285715,3.287571590238095,18.54049615,22.21873746436508,27.8290978,88.86507936507937,38,0.6972602275371889,6,38682,51639.777923,1,60,64.226781467,60.013434821,0.013434821,6,7
