model,Brier_mean,Brier_std,logloss_mean,logloss_std
B1,0.15172860902939372,0.007373802174043302,0.2730003247467571,0.012835873970396799
P-old,0.10511854943821128,0.005931879387101995,0.1704050980649347,0.010754686408243022
P-joint,0.09370132754016254,0.006674945889456121,0.15382969532266333,0.011875361044492471
