scope,K,C,model,stage,n_runs,n_frames,observed_rate,observed_run_SD,predicted_rate,predicted_run_SD,signed_error,absolute_error,mean_run_absolute_error,run_absolute_error_SD
K5/C1,5.0,1.0,B1,Queue,5,44809,0.014350149557259873,0.0011665781761620955,0.012912671520256847,0.0018157027610872908,-0.0014374780370030264,0.0014374780370030264,0.0021906532162450387,0.001344518116854822
K5/C1,5.0,1.0,B1,Service,5,44809,0.11383073749364359,0.03333875101202773,0.019537742934363368,0.0019154334909681737,-0.09429299455928022,0.09429299455928022,0.09429299455928022,0.03470540215019443
K5/C1,5.0,1.0,B1,On_time,5,44809,0.8718191129490964,0.03323690594200117,0.9675495855453798,0.003385532222444355,0.09573047259628342,0.09573047259628342,0.09573047259628324,0.03473647341240639
K5/C1,5.0,1.0,P-old,Queue,5,44809,0.014350149557259873,0.0011665781761620955,0.0010785425858037228,0.0001979936997026033,-0.01327160697145615,0.01327160697145615,0.013271606971456152,0.0010912669173033177
K5/C1,5.0,1.0,P-old,Service,5,44809,0.11383073749364359,0.03333875101202773,0.13943916166364004,0.01514840098378475,0.025608424169996452,0.025608424169996452,0.04024958260156123,0.02382068375070129
K5/C1,5.0,1.0,P-old,On_time,5,44809,0.8718191129490964,0.03323690594200117,0.8594822957505563,0.015258894185311386,-0.012336817198540073,0.012336817198540073,0.037683198584165,0.013695910599736672
K5/C1,5.0,1.0,P-joint,Queue,5,44809,0.014350149557259873,0.0011665781761620955,0.0010785425858037254,0.00019799369970260118,-0.013271606971456148,0.013271606971456148,0.013271606971456148,0.0010912669173033186
K5/C1,5.0,1.0,P-joint,Service,5,44809,0.11383073749364359,0.03333875101202773,0.12475206553865166,0.015281309247223901,0.010921328045008075,0.010921328045008075,0.03829388820437337,0.01313422000568983
K5/C1,5.0,1.0,P-joint,On_time,5,44809,0.8718191129490964,0.03323690594200117,0.8741693918755449,0.015383281035299314,0.002350278926448457,0.002350278926448457,0.03572750418697708,0.016339644254692618
K5/C2,5.0,2.0,B1,Queue,5,44806,0.0064501406933235835,0.00127637979581692,0.03309450901535756,0.04099785825148796,0.026644368322033974,0.026644368322033974,0.026644368322033967,0.04039423054249919
K5/C2,5.0,2.0,B1,Service,5,44806,0.010780811653439894,0.016066760660658153,0.02203861377524733,0.014114932768759561,0.011257802121807436,0.011257802121807436,0.01125780212180744,0.0022966866105904723
K5/C2,5.0,2.0,B1,On_time,5,44806,0.9827690476532366,0.01675157652290844,0.9448668772093951,0.055087322510237055,-0.037902170443841476,0.037902170443841476,0.037902170443841365,0.03846239961053957
K5/C2,5.0,2.0,P-old,Queue,5,44806,0.0064501406933235835,0.00127637979581692,0.0005847596055998967,0.0004273524825943942,-0.005865381087723687,0.005865381087723687,0.005865381087723687,0.0012056874671978655
K5/C2,5.0,2.0,P-old,Service,5,44806,0.010780811653439894,0.016066760660658153,0.13449590000107872,0.02945590713886729,0.12371508834763884,0.12371508834763884,0.12371508834763882,0.013521678566026282
K5/C2,5.0,2.0,P-old,On_time,5,44806,0.9827690476532366,0.01675157652290844,0.8649193403933214,0.02986135048691472,-0.11784970725991517,0.11784970725991517,0.11784970725991517,0.013536505507051077
K5/C2,5.0,2.0,P-joint,Queue,5,44806,0.0064501406933235835,0.00127637979581692,0.0005847596055998975,0.0004273524825943949,-0.005865381087723686,0.005865381087723686,0.005865381087723686,0.0012056874671978657
K5/C2,5.0,2.0,P-joint,Service,5,44806,0.010780811653439894,0.016066760660658153,0.04137889024296503,0.06347402083024689,0.030598078589525138,0.030598078589525138,0.030598078589525145,0.04740919752572606
K5/C2,5.0,2.0,P-joint,On_time,5,44806,0.9827690476532366,0.01675157652290844,0.9580363501514352,0.06387687953376246,-0.024732697501801404,0.024732697501801404,0.024732697501801425,0.047190879105649834
K5/C3,5.0,3.0,B1,Queue,5,44807,0.004463506327307912,0.0007604091742674463,0.014659980297469946,0.022567159659333928,0.010196473970162035,0.010196473970162035,0.010709019286473689,0.022406436021053935
K5/C3,5.0,3.0,B1,Service,5,44807,0.028343049030072537,0.037996342481177656,0.03840276422025839,0.034240571469365176,0.01005971519018585,0.01005971519018585,0.010059715190185854,0.006375103122069916
K5/C3,5.0,3.0,B1,On_time,5,44807,0.9671934446426196,0.037910562046047015,0.9469372554822716,0.05679643806206665,-0.020256189160347993,0.020256189160347993,0.020256189160347993,0.019965559425015975
K5/C3,5.0,3.0,P-old,Queue,5,44807,0.004463506327307912,0.0007604091742674463,0.000312316630512758,0.00012801424712015737,-0.004151189696795153,0.004151189696795153,0.004151189696795154,0.0007718125088766323
K5/C3,5.0,3.0,P-old,Service,5,44807,0.028343049030072537,0.037996342481177656,0.17369783555047685,0.0790796221715592,0.14535478652040432,0.14535478652040432,0.1453547865204043,0.04160101671141683
K5/C3,5.0,3.0,P-old,On_time,5,44807,0.9671934446426196,0.037910562046047015,0.8259898478190104,0.07915964606642631,-0.14120359682360917,0.14120359682360917,0.14120359682360917,0.04178813507868768
K5/C3,5.0,3.0,P-joint,Queue,5,44807,0.004463506327307912,0.0007604091742674463,0.0003123166305127579,0.00012801424712015742,-0.004151189696795153,0.004151189696795153,0.004151189696795154,0.0007718125088766323
K5/C3,5.0,3.0,P-joint,Service,5,44807,0.028343049030072537,0.037996342481177656,0.08296720537065218,0.11192216927228302,0.05462415634057964,0.05462415634057964,0.05462415634057964,0.07437901749021096
K5/C3,5.0,3.0,P-joint,On_time,5,44807,0.9671934446426196,0.037910562046047015,0.9167204779988349,0.11200356912287533,-0.050472966643784645,0.050472966643784645,0.050472966643784554,0.07458451833482417
K5/C4,5.0,4.0,B1,Queue,5,44780,0.00419835069367964,0.000849239244098902,0.009091403961045744,0.008493258866474807,0.004893053267366105,0.004893053267366105,0.005983269183606388,0.006830627063242358
K5/C4,5.0,4.0,B1,Service,5,44780,0.05626102930236985,0.037931965432932445,0.04865146982770228,0.03276163502770597,-0.007609559474667571,0.007609559474667571,0.010932475066066417,0.011237967962683192
K5/C4,5.0,4.0,B1,On_time,5,44780,0.9395406200039504,0.03860503161800282,0.942257126211252,0.041095543670206826,0.0027165062073015722,0.0027165062073015722,0.010018452098637609,0.008708808237531538
K5/C4,5.0,4.0,P-old,Queue,5,44780,0.00419835069367964,0.000849239244098902,0.002711399873404168,0.002496421247677308,-0.0014869508202754716,0.0014869508202754716,0.0019944510019991022,0.0013522956787445678
K5/C4,5.0,4.0,P-old,Service,5,44780,0.05626102930236985,0.037931965432932445,0.15014376461050022,0.027644746082407592,0.09388273530813038,0.09388273530813038,0.09388273530813036,0.015814442229936245
K5/C4,5.0,4.0,P-old,On_time,5,44780,0.9395406200039504,0.03860503161800282,0.8471448355160955,0.030121754330834565,-0.0923957844878549,0.0923957844878549,0.09239578448785486,0.015135482701550008
K5/C4,5.0,4.0,P-joint,Queue,5,44780,0.00419835069367964,0.000849239244098902,0.002711399873404168,0.0024964212476773088,-0.0014869508202754716,0.0014869508202754716,0.0019944510019991014,0.0013522956787445693
K5/C4,5.0,4.0,P-joint,Service,5,44780,0.05626102930236985,0.037931965432932445,0.10167738984716686,0.06501784625267527,0.04541636054479701,0.04541636054479701,0.045416360544797016,0.032845552834152705
K5/C4,5.0,4.0,P-joint,On_time,5,44780,0.9395406200039504,0.03860503161800282,0.8956112102794289,0.06749992611185042,-0.04392940972452153,0.04392940972452153,0.04392940972452153,0.03466912993605732
K5/C5,5.0,5.0,B1,Queue,5,44241,2.2660321776569226e-05,5.067001988442759e-05,0.0041724464620051804,0.0005072828097212161,0.004149786140228612,0.004149786140228612,0.004149786140228612,0.0005355113864166383
