fold,run,K,C,model,n,Brier,logloss,true_class_exact_zero,Queue_observed,Queue_predicted,Queue_absolute_error,Service_observed,Service_predicted,Service_absolute_error,On_time_observed,On_time_predicted,On_time_absolute_error
1,0,1,1,B1,1798,0.00030642883316694725,0.013807333199719532,0,0.0005561735261401557,0.007342193280355467,0.006786019754215311,0.0,0.006794967536485816,0.006794967536485816,0.9994438264738599,0.9858628391831588,0.013580987290701119
1,5,1,2,B1,1797,0.00014613757017679265,0.009645749988188217,0,0.0,0.006155463691134076,0.006155463691134076,0.0,0.003442550720536548,0.003442550720536548,1.0,0.9904019855883295,0.009598014411670519
1,10,1,3,B1,1798,0.0007370027279530348,0.006497602884939625,0,0.0,0.0022014019103451447,0.0022014019103451447,0.0005561735261401557,0.003879433455950322,0.003323259929810166,0.9994438264738599,0.9939191646337046,0.0055246618401553205
1,15,1,4,B1,1799,0.001108966855050364,0.0057005804902968285,0,0.0,0.0011805038895203086,0.0011805038895203086,0.0005558643690939411,0.002428180965867247,0.001872316596773306,0.9994441356309061,0.9963913151446124,0.003052820486293628
1,20,1,5,B1,1798,0.0011751587558758078,0.009623600189591016,0,0.0,0.0011581312670279015,0.0011581312670279015,0.0005561735261401557,0.005096375906506825,0.004540202380366669,0.9994438264738599,0.9937454928264653,0.005698333647394582
1,25,1,6,B1,1797,0.004400369725668588,0.04063055244581694,0,0.0,0.004148665280802175,0.004148665280802175,0.0011129660545353367,0.03334575628201698,0.03223279022748165,0.9988870339454646,0.9625055784371809,0.036381455508283755
1,30,1,7,B1,1795,0.004193577923910869,0.04514331013087754,0,0.0,0.0018739278297593292,0.0018739278297593292,0.0,0.04200788308785847,0.04200788308785847,1.0,0.9561181890823822,0.04388181091761778
1,35,1,8,B1,1796,0.0038538424217144916,0.04538421822827684,0,0.0,0.002010700985909541,0.002010700985909541,0.0005567928730512249,0.04278057824430323,0.04222378537125201,0.9994432071269488,0.9552087207697872,0.04423448635716154
1,40,2,1,B1,3593,0.0008480990383962928,0.014969225957644371,0,0.00027831895352073476,0.009748734984815327,0.009470416031294593,0.00027831895352073476,0.0047896641620293195,0.0045113452085085845,0.9994433620929585,0.9854616008531554,0.013981761239803103
1,45,2,2,B1,3593,0.0012715593498629479,0.013892619726568836,0,0.00027831895352073476,0.009535391271317752,0.009257072317797018,0.0005566379070414695,0.0027713141670296306,0.002214676259988161,0.9991650431394378,0.9876932945616526,0.011471748577785212
