fold,service_lookup_id,K,C,A_start,level,key,training_samples,training_runs
1,106,3,8,6,CA_start,"(8, 6)",7381,11
1,107,3,8,7,CA_start,"(8, 7)",1175,6
1,108,4,1,0,KCA_start,"(4, 1, 0)",28700,4
1,109,4,2,0,KCA_start,"(4, 2, 0)",7148,4
1,110,4,2,1,KCA_start,"(4, 2, 1)",21552,4
1,111,4,3,0,KCA_start,"(4, 3, 0)",7148,4
1,112,4,3,1,KCA_start,"(4, 3, 1)",7150,4
1,113,4,3,2,KCA_start,"(4, 3, 2)",14389,4
1,114,4,4,0,KCA_start,"(4, 4, 0)",7157,4
1,115,4,4,1,KCA_start,"(4, 4, 1)",7157,4
1,116,4,4,2,KCA_start,"(4, 4, 2)",7157,4
1,117,4,4,3,KCA_start,"(4, 4, 3)",7219,4
1,118,4,5,0,KCA_start,"(4, 5, 0)",7111,4
1,119,4,5,1,KCA_start,"(4, 5, 1)",7118,4
1,120,4,5,2,KCA_start,"(4, 5, 2)",7128,4
1,121,4,5,3,KCA_start,"(4, 5, 3)",7105,4
1,122,4,5,4,CA_start,"(5, 4)",42873,15
1,123,4,6,0,KCA_start,"(4, 6, 0)",7103,4
1,124,4,6,1,KCA_start,"(4, 6, 1)",7107,4
1,125,4,6,2,KCA_start,"(4, 6, 2)",7123,4
1,126,4,6,3,KCA_start,"(4, 6, 3)",7090,4
1,127,4,6,4,CA_start,"(6, 4)",20797,15
1,128,4,6,5,CA_start,"(6, 5)",20683,12
1,129,4,7,0,KCA_start,"(4, 7, 0)",7104,4
1,130,4,7,1,KCA_start,"(4, 7, 1)",7110,4
1,131,4,7,2,KCA_start,"(4, 7, 2)",7124,4
1,132,4,7,3,KCA_start,"(4, 7, 3)",7099,4
1,133,4,7,4,CA_start,"(7, 4)",21691,16
1,134,4,7,5,CA_start,"(7, 5)",14717,13
1,135,4,7,6,CA_start,"(7, 6)",8824,10
1,136,4,8,0,KCA_start,"(4, 8, 0)",7106,4
1,137,4,8,1,KCA_start,"(4, 8, 1)",7110,4
1,138,4,8,2,KCA_start,"(4, 8, 2)",7113,4
1,139,4,8,3,KCA_start,"(4, 8, 3)",7104,4
1,140,4,8,4,CA_start,"(8, 4)",21604,15
1,141,4,8,5,CA_start,"(8, 5)",14506,11
1,142,4,8,6,CA_start,"(8, 6)",7381,11
1,143,4,8,7,CA_start,"(8, 7)",1175,6
1,144,5,1,0,KCA_start,"(5, 1, 0)",35839,4
1,145,5,2,0,KCA_start,"(5, 2, 0)",7116,4
1,146,5,2,1,KCA_start,"(5, 2, 1)",28729,4
1,147,5,3,0,KCA_start,"(5, 3, 0)",7132,4
1,148,5,3,1,KCA_start,"(5, 3, 1)",7136,4
1,149,5,3,2,KCA_start,"(5, 3, 2)",21579,4
1,150,5,4,0,KCA_start,"(5, 4, 0)",7132,4
1,151,5,4,1,KCA_start,"(5, 4, 1)",7136,4
1,152,5,4,2,KCA_start,"(5, 4, 2)",7141,4
1,153,5,4,3,KCA_start,"(5, 4, 3)",14416,4
1,154,5,5,0,KCA_start,"(5, 5, 0)",7070,4
1,155,5,5,1,KCA_start,"(5, 5, 1)",7074,4
