scope,model,stage,runs,observed_rate_mean,predicted_rate_mean,signed_rate_gap,absolute_mean_rate_gap,mean_run_absolute_error,SD_run_absolute_error
ALL,B0,Queue,280,0.04970613055568109,0.052654115027195,0.002947984471513905,0.002947984471513905,0.0291167250678204,0.07045898545696402
ALL,B0,Service,280,0.16473629315184335,0.17033756825628055,0.005601275104437198,0.005601275104437198,0.03989061014595488,0.04747640008068719
ALL,B0,On_time,280,0.7855575762924756,0.7770083167165246,-0.008549259575950985,0.008549259575950985,0.04241057403223813,0.04581981765523541
ALL,B1,Queue,280,0.04970613055568109,0.05182481191622658,0.0021186813605454866,0.0021186813605454866,0.02209937230583108,0.061290915220964644
ALL,B1,Service,280,0.16473629315184335,0.16951910153279068,0.004782808380947329,0.004782808380947329,0.03411226109346997,0.04240275714856622
ALL,B1,On_time,280,0.7855575762924756,0.7786560865509827,-0.00690148974149285,0.00690148974149285,0.0378947638598647,0.04244961698322475
ALL,P,Queue,280,0.04970613055568109,0.04696234330623146,-0.002743787249449632,0.002743787249449632,0.0037806565102399357,0.013086658644615246
ALL,P,Service,280,0.16473629315184335,0.17777769547951494,0.013041402327671592,0.013041402327671592,0.019956784087367004,0.03771098249931481
ALL,P,On_time,280,0.7855575762924756,0.7752599612142537,-0.010297615078221911,0.010297615078221911,0.01846327124818275,0.03568934891593902
K5,B0,Queue,40,0.0036912641046786972,0.01182637154351771,0.008135107438839013,0.008135107438839013,0.008622057008383949,0.01614675376485195
K5,B0,Service,40,0.10367445767477323,0.1050970393064673,0.0014225816316940643,0.0014225816316940643,0.047693525914904,0.04590042599232007
K5,B0,On_time,40,0.8926342782205481,0.883076589150015,-0.009557689070533115,0.009557689070533115,0.051882201742320555,0.046333297483818564
K5,B1,Queue,40,0.0036912641046786972,0.011462482228765749,0.007771218124087051,0.007771218124087051,0.008425079684812051,0.016750196397952964
K5,B1,Service,40,0.10367445767477323,0.10592145715517867,0.002246999480405437,0.002246999480405437,0.04771988027713879,0.04216091583259321
K5,B1,On_time,40,0.8926342782205481,0.8826160606160556,-0.010018217604492508,0.010018217604492508,0.05390610634969055,0.04203226665389618
K5,P,Queue,40,0.0036912641046786972,0.0005882891608118459,-0.0031029749438668515,0.0031029749438668515,0.0031707004566793274,0.004463305824592227
K5,P,Service,40,0.10367445767477323,0.18178074778119063,0.0781062901064174,0.0781062901064174,0.07993643491036295,0.05526905618024955
K5,P,On_time,40,0.8926342782205481,0.8176309630579975,-0.07500331516255054,0.07500331516255054,0.07817161283575358,0.053900061284966036
K6,B0,Queue,40,0.07334252062364835,0.06793379107301196,-0.005408729550636385,0.005408729550636385,0.059328114927441646,0.12268179417632706
K6,B0,Service,40,0.5168281941189594,0.5046976427124366,-0.01213055140652286,0.01213055140652286,0.0875022732603118,0.0610833219361593
K6,B0,On_time,40,0.40982928525739226,0.42736856621455155,0.017539280957159287,0.017539280957159287,0.07298852925763269,0.056850007267660894
K6,B1,Queue,40,0.07334252062364835,0.06669681294047379,-0.006645707683174559,0.006645707683174559,0.0692434887621242,0.12674767683036578
K6,B1,Service,40,0.5168281941189594,0.5048409538665086,-0.011987240252450793,0.011987240252450793,0.08781672756430425,0.05949640529003274
K6,B1,On_time,40,0.40982928525739226,0.42846223319301757,0.01863294793562531,0.01863294793562531,0.07852417767410018,0.0615355867832803
K6,P,Queue,40,0.07334252062364835,0.06728703389006509,-0.006055486733583262,0.006055486733583262,0.0081799853446603,0.011636723380386285
K6,P,Service,40,0.5168281941189594,0.5258101968085059,0.00898200268954652,0.00898200268954652,0.020028739423521003,0.016378637060965016
K6,P,On_time,40,0.40982928525739226,0.40690276930142905,-0.002926515955963216,0.002926515955963216,0.017223227513850563,0.01528338680347151
K7,B0,Queue,40,0.2685642681688932,0.25991028113307507,-0.008653987035818156,0.008653987035818156,0.1091522100608943,0.09525160928652711
K7,B0,Service,40,0.5311602173828127,0.516251560839377,-0.014908656543435761,0.014908656543435761,0.07921291979714369,0.04905084478040946
K7,B0,On_time,40,0.20027551444829417,0.22383815802754797,0.023562643579253806,0.023562643579253806,0.08061423472817618,0.05308735051694443
K7,B1,Queue,40,0.2685642681688932,0.26114307249003615,-0.007421195678857073,0.007421195678857073,0.05586239456340096,0.07220989174720352
K7,B1,Service,40,0.5311602173828127,0.5178913881803398,-0.013268829202472965,0.013268829202472965,0.04676049117169738,0.03988394418284493
K7,B1,On_time,40,0.20027551444829417,0.220965539329624,0.020690024881329844,0.020690024881329844,0.05521787959234973,0.045230332227704756
K7,P,Queue,40,0.2685642681688932,0.26067119563746466,-0.007893072531428569,0.007893072531428569,0.012953522876722435,0.03026043351179008
K7,P,Service,40,0.5311602173828127,0.523850678787194,-0.00730953859561867,0.00730953859561867,0.027471529620152663,0.03447877351152319
K7,P,On_time,40,0.20027551444829417,0.2154781255753413,0.015202611127047128,0.015202611127047128,0.020398968730207478,0.026059609323630207
K5/C1,B0,Queue,5,0.014350149557259873,0.02706198394194838,0.012711834384688508,0.012711834384688508,0.012711834384688505,0.0048765389356238975
K5/C1,B0,Service,5,0.11383073749364359,0.019475225425385757,-0.09435551206825783,0.09435551206825783,0.09435551206825782,0.03459428244068541
K5/C1,B0,On_time,5,0.8718191129490964,0.9534627906326658,0.0816436776835694,0.0816436776835694,0.08164367768356932,0.03545343064118281
K5/C1,B1,Queue,5,0.014350149557259873,0.012912671520256847,-0.0014374780370030264,0.0014374780370030264,0.0021906532162450387,0.001344518116854822
K5/C1,B1,Service,5,0.11383073749364359,0.019537742934363368,-0.09429299455928022,0.09429299455928022,0.09429299455928022,0.03470540215019443
K5/C1,B1,On_time,5,0.8718191129490964,0.9675495855453798,0.09573047259628342,0.09573047259628342,0.09573047259628324,0.03473647341240639
K5/C1,P,Queue,5,0.014350149557259873,0.0010785425858037228,-0.01327160697145615,0.01327160697145615,0.013271606971456152,0.0010912669173033177
K5/C1,P,Service,5,0.11383073749364359,0.13943916166364004,0.025608424169996452,0.025608424169996452,0.04024958260156123,0.02382068375070129
K5/C1,P,On_time,5,0.8718191129490964,0.8594822957505563,-0.012336817198540073,0.012336817198540073,0.037683198584165,0.013695910599736672
K5/C2,B0,Queue,5,0.0064501406933235835,0.03255266318772987,0.026102522494406286,0.026102522494406286,0.026102522494406283,0.0412951081624769
K5/C2,B0,Service,5,0.010780811653439894,0.025578354036124285,0.014797542382684391,0.014797542382684391,0.014797542382684386,0.007797469624527867
K5/C2,B0,On_time,5,0.9827690476532366,0.9418689827761458,-0.04090006487709075,0.04090006487709075,0.040900064877090636,0.04904099045952742
K5/C2,B1,Queue,5,0.0064501406933235835,0.03309450901535756,0.026644368322033974,0.026644368322033974,0.026644368322033967,0.04039423054249919
K5/C2,B1,Service,5,0.010780811653439894,0.02203861377524733,0.011257802121807436,0.011257802121807436,0.01125780212180744,0.0022966866105904723
K5/C2,B1,On_time,5,0.9827690476532366,0.9448668772093951,-0.037902170443841476,0.037902170443841476,0.037902170443841365,0.03846239961053957
K5/C2,P,Queue,5,0.0064501406933235835,0.0005847596055998967,-0.005865381087723687,0.005865381087723687,0.005865381087723687,0.0012056874671978655
K5/C2,P,Service,5,0.010780811653439894,0.13449590000107872,0.12371508834763884,0.12371508834763884,0.12371508834763882,0.013521678566026282
K5/C2,P,On_time,5,0.9827690476532366,0.8649193403933214,-0.11784970725991517,0.11784970725991517,0.11784970725991517,0.013536505507051077
K5/C3,B0,Queue,5,0.004463506327307912,0.01094570731329882,0.006482200985990908,0.006482200985990908,0.008369561018985196,0.01609268400063513
K5/C3,B0,Service,5,0.028343049030072537,0.04529714304444995,0.016954094014377412,0.016954094014377412,0.01695409401437742,0.01730637984883455
K5/C3,B0,On_time,5,0.9671934446426196,0.9437571496422512,-0.023436295000368368,0.023436295000368368,0.023436295000368323,0.03409469347949505
K5/C3,B1,Queue,5,0.004463506327307912,0.014659980297469946,0.010196473970162035,0.010196473970162035,0.010709019286473689,0.022406436021053935
K5/C3,B1,Service,5,0.028343049030072537,0.03840276422025839,0.01005971519018585,0.01005971519018585,0.010059715190185854,0.006375103122069916
K5/C3,B1,On_time,5,0.9671934446426196,0.9469372554822716,-0.020256189160347993,0.020256189160347993,0.020256189160347993,0.019965559425015975
K5/C3,P,Queue,5,0.004463506327307912,0.000312316630512758,-0.004151189696795153,0.004151189696795153,0.004151189696795154,0.0007718125088766323
K5/C3,P,Service,5,0.028343049030072537,0.17369783555047685,0.14535478652040432,0.14535478652040432,0.1453547865204043,0.04160101671141683
K5/C3,P,On_time,5,0.9671934446426196,0.8259898478190104,-0.14120359682360917,0.14120359682360917,0.14120359682360917,0.04178813507868768
K5/C4,B0,Queue,5,0.00419835069367964,0.006815566404909107,0.002617215711229467,0.002617215711229467,0.004625452234594659,0.004180833234823823
K5/C4,B0,Service,5,0.05626102930236985,0.058265276398192636,0.002004247095822788,0.002004247095822788,0.012304780031518237,0.010728835742312275
K5/C4,B0,On_time,5,0.9395406200039504,0.9349191571968983,-0.004621462807052112,0.004621462807052112,0.01670472110562493,0.012319207106823472
K5/C4,B1,Queue,5,0.00419835069367964,0.009091403961045744,0.004893053267366105,0.004893053267366105,0.005983269183606388,0.006830627063242358
K5/C4,B1,Service,5,0.05626102930236985,0.04865146982770228,-0.007609559474667571,0.007609559474667571,0.010932475066066417,0.011237967962683192
K5/C4,B1,On_time,5,0.9395406200039504,0.942257126211252,0.0027165062073015722,0.0027165062073015722,0.010018452098637609,0.008708808237531538
K5/C4,P,Queue,5,0.00419835069367964,0.002711399873404168,-0.0014869508202754716,0.0014869508202754716,0.0019944510019991022,0.0013522956787445678
K5/C4,P,Service,5,0.05626102930236985,0.15014376461050022,0.09388273530813038,0.09388273530813038,0.09388273530813036,0.015814442229936245
K5/C4,P,On_time,5,0.9395406200039504,0.8471448355160955,-0.0923957844878549,0.0923957844878549,0.09239578448785486,0.015135482701550008
K5/C5,B0,Queue,5,2.2660321776569226e-05,0.0026876372324144407,0.0026649769106378714,0.0026649769106378714,0.002664976910637871,0.0003494332411355276
K5/C5,B0,Service,5,0.12293074990499739,0.040667142935034345,-0.08226360696996304,0.08226360696996304,0.08226360696996306,0.025022430908176314
K5/C5,B0,On_time,5,0.877046589773226,0.9566452198325512,0.07959863005932521,0.07959863005932521,0.07959863005932521,0.024792927259455207
K5/C5,B1,Queue,5,2.2660321776569226e-05,0.0041724464620051804,0.004149786140228612,0.004149786140228612,0.004149786140228612,0.0005355113864166383
K5/C5,B1,Service,5,0.12293074990499739,0.045327360533229374,-0.07760338937176801,0.07760338937176801,0.077603389371768,0.025527050289306265
K5/C5,B1,On_time,5,0.877046589773226,0.9505001930047655,0.07345360323153949,0.07345360323153949,0.07345360323153946,0.025148790480767794
K5/C5,P,Queue,5,2.2660321776569226e-05,2.1574189964457458e-06,-2.050290278012348e-05,2.050290278012348e-05,2.2913360035511745e-05,4.7934481202062116e-05
K5/C5,P,Service,5,0.12293074990499739,0.16814338730484596,0.04521263739984857,0.04521263739984857,0.045212637399848536,0.024662675025765527
K5/C5,P,On_time,5,0.877046589773226,0.8318544552761576,-0.04519213449706838,0.04519213449706838,0.04519213449706838,0.0246430603824319
K5/C6,B0,Queue,5,4.5305244082002494e-05,0.006177905764612417,0.006132600520530414,0.006132600520530414,0.006132600520530414,0.0006787695510191739
K5/C6,B0,Service,5,0.16135981361581803,0.1782788767104204,0.016919063094602366,0.016919063094602366,0.023547846348144653,0.010832978631290749
K5/C6,B0,On_time,5,0.8385948811401001,0.8155432175249672,-0.02305166361513289,0.02305166361513289,0.02707989120507104,0.01355671912511224
K5/C6,B1,Queue,5,4.5305244082002494e-05,0.00830167771896485,0.008256372474882848,0.008256372474882848,0.008256372474882848,0.0009876737377970965
K5/C6,B1,Service,5,0.16135981361581803,0.19414055391577353,0.03278074029995551,0.03278074029995551,0.03422898427099191,0.02186474202723646
K5/C6,B1,On_time,5,0.8385948811401001,0.7975577683652615,-0.04103711277483857,0.04103711277483857,0.04103711277483839,0.023878128559804486
K5/C6,P,Queue,5,4.5305244082002494e-05,1.369674793824627e-05,-3.1608496143756226e-05,3.1608496143756226e-05,5.662111118548542e-05,5.10813915019063e-05
K5/C6,P,Service,5,0.16135981361581803,0.2102043649289918,0.04884455131317378,0.04884455131317378,0.04884455131317378,0.017060115027937355
K5/C6,P,On_time,5,0.8385948811401001,0.78978193832307,-0.04881294281703008,0.04881294281703008,0.04881294281702999,0.017014310645490752
K5/C7,B0,Queue,5,0.0,0.003552911247952454,0.003552911247952454,0.003552911247952454,0.003552911247952454,0.00031378315456866254
K5/C7,B0,Service,5,0.15551387515507034,0.21696058769837173,0.06144671254330139,0.06144671254330139,0.061446712543301404,0.03339247081452803
K5/C7,B0,On_time,5,0.8444861248449296,0.7794865010536758,-0.06499962379125379,0.06499962379125379,0.06499962379125382,0.0334800537093288
K5/C7,B1,Queue,5,0.0,0.003906608374028187,0.003906608374028187,0.003906608374028187,0.003906608374028187,0.0003653619769346846
K5/C7,B1,Service,5,0.15551387515507034,0.22531986030000478,0.06980598514493444,0.06980598514493444,0.06980598514493444,0.0350307821934808
K5/C7,B1,On_time,5,0.8444861248449296,0.770773531325967,-0.07371259351896253,0.07371259351896253,0.07371259351896264,0.035094470858715233
K5/C7,P,Queue,5,0.0,2.5387332012708794e-06,2.5387332012708794e-06,2.5387332012708794e-06,2.5387332012708794e-06,5.3482927708440284e-06
K5/C7,P,Service,5,0.15551387515507034,0.21090776032542377,0.05539388517035343,0.05539388517035343,0.05539388517035343,0.03075577283607626
K5/C7,P,On_time,5,0.8444861248449296,0.7890897009413751,-0.05539642390355448,0.05539642390355448,0.055396423903554634,0.030753580872462112
K5/C8,B0,Queue,5,0.0,0.004816597255276197,0.004816597255276197,0.004816597255276197,0.004816597255276197,0.0032490052975347353
K5/C8,B0,Service,5,0.18037559524277427,0.25625370820375926,0.07587811296098498,0.07587811296098498,0.07587811296098498,0.08208579313163783
K5/C8,B0,On_time,5,0.8196244047572258,0.7389296945409646,-0.08069471021626118,0.08069471021626118,0.08069471021626114,0.08507224965228485
K5/C8,B1,Queue,5,0.0,0.0055605604809976835,0.0055605604809976835,0.0055605604809976835,0.0055605604809976835,0.003974645314407844
K5/C8,B1,Service,5,0.18037559524277427,0.2539532917348503,0.07357769649207604,0.07357769649207604,0.07357769649207604,0.05450255043554359
K5/C8,B1,On_time,5,0.8196244047572258,0.740486147784152,-0.07913825697307375,0.07913825697307375,0.07913825697307372,0.0577069444404651
K5/C8,P,Queue,5,0.0,9.016910382584561e-07,9.016910382584561e-07,9.016910382584561e-07,9.016910382584561e-07,1.90995381892213e-06
K5/C8,P,Service,5,0.18037559524277427,0.2672138078645675,0.08683821262179323,0.08683821262179323,0.08683821262179321,0.10826672972929996
K5/C8,P,On_time,5,0.8196244047572258,0.7327852904443942,-0.08683911431283153,0.08683911431283153,0.08683911431283145,0.10826645102268113
K6/C1,B0,Queue,5,0.5401404479306461,0.2917573430694761,-0.24838310486117,0.24838310486117,0.2695116509634543,0.2647521386543719
K6/C1,B0,Service,5,0.08992014630658372,0.2708159580370137,0.18089581173042996,0.18089581173042996,0.18089581173042996,0.1170571196949259
K6/C1,B0,On_time,5,0.3699394057627702,0.43742669889351016,0.06748729313073998,0.06748729313073998,0.14503855184061448,0.09626788246082875
K6/C1,B1,Queue,5,0.5401404479306461,0.23658366214945098,-0.3035567857811951,0.3035567857811951,0.3035567857811951,0.24849822628826124
K6/C1,B1,Service,5,0.08992014630658372,0.2845979706812435,0.19467782437465975,0.19467782437465975,0.19467782437465972,0.0807342078716678
K6/C1,B1,On_time,5,0.3699394057627702,0.4788183671693055,0.1088789614065353,0.1088789614065353,0.15026091444518083,0.12207760342869789
K6/C1,P,Queue,5,0.5401404479306461,0.5117481199718548,-0.02839232795879132,0.02839232795879132,0.028392327958791413,0.021156034043996075
K6/C1,P,Service,5,0.08992014630658372,0.10451815508113524,0.014598008774551516,0.014598008774551516,0.01459800877455152,0.004118959080161098
K6/C1,P,On_time,5,0.3699394057627702,0.38373372494701,0.013794319184239845,0.013794319184239845,0.014890581191740592,0.017261276921944173
K6/C2,B0,Queue,5,0.018165777673316376,0.14198481010671207,0.1238190324333957,0.1238190324333957,0.12381903243339569,0.011694806173991787
K6/C2,B0,Service,5,0.30138361385612733,0.22114251905532348,-0.08024109480080385,0.08024109480080385,0.08024109480080387,0.022878489834296665
K6/C2,B0,On_time,5,0.6804506084705564,0.6368726708379645,-0.04357793763259188,0.04357793763259188,0.04357793763259179,0.02612002874817552
K6/C2,B1,Queue,5,0.018165777673316376,0.15683277559293163,0.13866699791961526,0.13866699791961526,0.13866699791961526,0.010698354594098694
K6/C2,B1,Service,5,0.30138361385612733,0.22940404322444144,-0.07197957063168589,0.07197957063168589,0.07197957063168589,0.015094691335847248
K6/C2,B1,On_time,5,0.6804506084705564,0.613763181182627,-0.06668742728792942,0.06668742728792942,0.06668742728792935,0.022290996850694602
K6/C2,P,Queue,5,0.018165777673316376,0.0027370905248550958,-0.01542868714846128,0.01542868714846128,0.015428687148461278,0.0015713534058981913
K6/C2,P,Service,5,0.30138361385612733,0.31699803612782873,0.0156144222717014,0.0156144222717014,0.015614422271701433,0.006293777973072092
K6/C2,P,On_time,5,0.6804506084705564,0.6802648733473161,-0.00018573512324027153,0.00018573512324027153,0.005151203622493594,0.0037430402177454796
K6/C3,B0,Queue,5,0.010708209591477153,0.03400168326372125,0.023293473672244096,0.023293473672244096,0.023293473672244096,0.006484419422070804
K6/C3,B0,Service,5,0.3637742289193511,0.3219110450267649,-0.0418631838925862,0.0418631838925862,0.0418631838925862,0.024933542323263454
K6/C3,B0,On_time,5,0.6255175614891717,0.644087271709514,0.01856971022034226,0.01856971022034226,0.025188472339832835,0.01306741919301266
K6/C3,B1,Queue,5,0.010708209591477153,0.0452541602006837,0.034545950609206545,0.034545950609206545,0.03454595060920655,0.0064504624160673756
K6/C3,B1,Service,5,0.3637742289193511,0.3386042014584726,-0.025170027460878486,0.025170027460878486,0.028026313326546693,0.014505527743607955
K6/C3,B1,On_time,5,0.6255175614891717,0.6161416383408437,-0.009375923148328025,0.009375923148328025,0.014294105394432233,0.014489166576451353
K6/C3,P,Queue,5,0.010708209591477153,0.0009334859398405961,-0.009774723651636558,0.009774723651636558,0.009774723651636558,0.0017411569384102564
K6/C3,P,Service,5,0.3637742289193511,0.41636955245611373,0.05259532353676266,0.05259532353676266,0.05259532353676263,0.021492350132069897
K6/C3,P,On_time,5,0.6255175614891717,0.5826969616040458,-0.042820599885125876,0.042820599885125876,0.04282059988512606,0.020330698101914114
K6/C4,B0,Queue,5,0.006593607444212934,0.01986267423669555,0.013269066792482614,0.013269066792482614,0.013269066792482614,0.010204348438599556
K6/C4,B0,Service,5,0.3288328001627292,0.33878036507194836,0.009947564909219164,0.009947564909219164,0.07699600684652334,0.07912618493125873
K6/C4,B0,On_time,5,0.6645735923930578,0.6413569606913561,-0.02321663170170174,0.02321663170170174,0.07514359867067925,0.09668616825180261
K6/C4,B1,Queue,5,0.006593607444212934,0.027904636348579714,0.02131102890436678,0.02131102890436678,0.02131102890436678,0.016316644554793636
K6/C4,B1,Service,5,0.3288328001627292,0.3506579237069075,0.021825123544178315,0.021825123544178315,0.03643700245259105,0.06062779470865631
K6/C4,B1,On_time,5,0.6645735923930578,0.6214374399445127,-0.04313615244854507,0.04313615244854507,0.04731441316986975,0.08182575316532861
K6/C4,P,Queue,5,0.006593607444212934,0.005953754419135009,-0.0006398530250779251,0.0006398530250779251,0.005793138832801703,0.004846588507670373
K6/C4,P,Service,5,0.3288328001627292,0.31668054168798204,-0.012152258474747157,0.012152258474747157,0.012152258474747168,0.004539703221900993
K6/C4,P,On_time,5,0.6645735923930578,0.677365703892883,0.012792111499825176,0.012792111499825176,0.015588901079219642,0.005816552930811262
K6/C5,B0,Queue,5,0.010997704321303795,0.020832344482878122,0.009834640161574327,0.009834640161574327,0.009834640161574329,0.0027509917135248017
K6/C5,B0,Service,5,0.4096602442346341,0.4867795340414881,0.07711928980685401,0.07711928980685401,0.07711928980685405,0.014141697394636027
K6/C5,B0,On_time,5,0.5793420514440621,0.49238812147563377,-0.08695392996842838,0.08695392996842838,0.08695392996842834,0.015700993094789433
K6/C5,B1,Queue,5,0.010997704321303795,0.02804300344582809,0.017045299124524294,0.017045299124524294,0.017045299124524294,0.0027156013753467474
K6/C5,B1,Service,5,0.4096602442346341,0.48774116317616933,0.07808091894153524,0.07808091894153524,0.07808091894153527,0.013314798955718745
K6/C5,B1,On_time,5,0.5793420514440621,0.48421583337800256,-0.09512621806605959,0.09512621806605959,0.09512621806605959,0.015386054969109175
K6/C5,P,Queue,5,0.010997704321303795,0.01691352751563345,0.005915823194329655,0.005915823194329655,0.0059158231943296545,0.0015731856240669092
K6/C5,P,Service,5,0.4096602442346341,0.38494929739501804,-0.024710946839616055,0.024710946839616055,0.02471094683961601,0.010010601537913033
K6/C5,P,On_time,5,0.5793420514440621,0.5981371750893484,0.018795123645286238,0.018795123645286238,0.018795123645286283,0.011269516944807422
K6/C6,B0,Queue,5,3.8343580831738136e-05,0.017486379419851306,0.01744803583901957,0.01744803583901957,0.017448035839019566,0.0025670381880785317
K6/C6,B0,Service,5,0.8635089612587812,0.772559759442222,-0.09094920181655919,0.09094920181655919,0.09094920181655923,0.02154843790350257
K6/C6,B0,On_time,5,0.13645269516038697,0.20995386113792663,0.07350116597753967,0.07350116597753967,0.07350116597753961,0.023961939879215965
K6/C6,B1,Queue,5,3.8343580831738136e-05,0.020957755832156717,0.02091941225132498,0.02091941225132498,0.020919412251324977,0.0026414583483744896
K6/C6,B1,Service,5,0.8635089612587812,0.7582457871542957,-0.10526317410448549,0.10526317410448549,0.10526317410448569,0.0215428742962388
K6/C6,B1,On_time,5,0.13645269516038697,0.22079645701354772,0.08434376185316075,0.08434376185316075,0.08434376185316073,0.023787177466723552
K6/C6,P,Queue,5,3.8343580831738136e-05,6.1879435418788026e-06,-3.215563728985933e-05,3.215563728985933e-05,3.9819814911938656e-05,4.611331698635097e-05
K6/C6,P,Service,5,0.8635089612587812,0.8717053001647587,0.008196338905977485,0.008196338905977485,0.016783992872118604,0.014997976652976808
K6/C6,P,On_time,5,0.13645269516038697,0.12828851189169949,-0.00816418326868748,0.00816418326868748,0.016782392778040504,0.014989525892570844
K6/C7,B0,Queue,5,7.68713749071448e-05,0.00881515637743316,0.008738285002526016,0.008738285002526016,0.008738285002526014,0.0011125386229909578
K6/C7,B0,Service,5,0.8914614842398331,0.8189370456983742,-0.07252443854145885,0.07252443854145885,0.07252443854145893,0.013946378281845404
K6/C7,B0,On_time,5,0.10846164438525978,0.17224779792419276,0.06378615353893298,0.06378615353893298,0.06378615353893295,0.01436255516191919
K6/C7,B1,Queue,5,7.68713749071448e-05,0.009176676537753298,0.009099805162846154,0.009099805162846154,0.009099805162846152,0.0010481380672646744
K6/C7,B1,Service,5,0.8914614842398331,0.7982828309925484,-0.09317865324728469,0.09317865324728469,0.09317865324728478,0.011182487666157948
K6/C7,B1,On_time,5,0.10846164438525978,0.19254049246969845,0.08407884808443868,0.08407884808443868,0.0840788480844387,0.011783471321219706
K6/C7,P,Queue,5,7.68713749071448e-05,2.9102329022842408e-06,-7.396114200486057e-05,7.396114200486057e-05,7.72109625632958e-05,7.707305219551019e-05
K6/C7,P,Service,5,0.8914614842398331,0.9007586607221245,0.009297176482291447,0.009297176482291447,0.01209032829955381,0.006009741523733245
K6/C7,P,On_time,5,0.10846164438525978,0.09923842904497317,-0.009223215340286611,0.009223215340286611,0.012054232395994388,0.006025715642378749
K6/C8,B0,Queue,5,1.9203072491598654e-05,0.008729937627328151,0.008710734554836553,0.008710734554836553,0.008710734554836553,0.0014424701151440596
