fold,run,K,C,A_start,training_n,training_runs,test_n,train_W_q25_ns,train_W_q75_ns,test_low_n,test_high_n,test_low_service_mean_ms,test_high_service_mean_ms,high_minus_low_ms,heldout_spearman_W_S,heldout_service_CDF_mean
1,0,1,1,0,7195,4,1798,42509.5,217586.0,552,265,11.354890164855073,11.315741162264151,-0.039149002590921356,-0.0035109999270998516,0.4420942580784301
1,5,1,2,0,7186,4,1796,205411.5,220175.5,681,360,11.154528419970632,11.328571727777778,0.17404330780714616,0.01496615368346352,0.48336300415866784
1,10,1,3,0,7187,4,1796,51685.5,214655.5,853,97,11.74136453810082,11.62257556701031,-0.11878897109050968,0.1099011828667083,0.5999955685887939
1,15,1,4,0,7187,4,1797,48598.0,212891.5,460,678,11.198018426086957,11.614791238938052,0.4167728128510948,0.1205208454144442,0.5270509055373352
1,20,1,5,0,7183,4,1796,44492.0,213430.5,628,328,11.412954719745223,11.889419649390243,0.4764649296450205,0.19805189631084888,0.5959855722199812
1,25,1,6,0,7176,4,1794,47833.0,212495.75,344,283,12.18947424127907,12.007308222614842,-0.182166018664228,-0.009773477140315094,0.6229295844316929
1,30,1,7,0,7176,4,1794,39463.0,208928.0,273,496,10.925510531135531,11.560887129032258,0.6353765978967267,0.1585520163432572,0.5162553333358191
1,35,1,8,0,7177,4,1794,43658.0,209957.0,376,440,11.4348819893617,11.32334450681818,-0.11153748254352003,0.03508777454713239,0.475705092866799
1,40,2,1,0,14365,4,3593,218122.0,5787147.0,1303,1043,5.933066943975441,6.20158332885906,0.2685163848836192,0.17345188118327573,0.5059292399490094
1,45,2,2,0,7177,4,1794,38066.0,214670.0,850,120,10.456653810588236,11.31944665,0.8627928394117639,0.37106339432442254,0.4124546873303469
1,45,2,2,1,7186,4,1799,69593.75,219777.0,363,598,10.830687504132232,10.92289989297659,0.09221238884435756,-0.018755108527404724,0.45563357631191653
1,50,2,3,0,7181,4,1793,64261.0,222632.0,592,471,11.322211447635135,11.832612887473461,0.5104014398383256,0.22569792481427528,0.5127490256131533
1,50,2,3,1,7180,4,1795,36627.25,127171.75,317,412,10.983324425867508,11.031322182038835,0.047997756171326955,0.03790264279437391,0.519366159480451
1,55,2,4,0,7182,4,1795,39251.0,192944.75,307,552,10.461284423452769,11.28770334057971,0.8264189171269418,0.32466325365929755,0.49186739674937885
1,55,2,4,1,7178,4,1794,75219.0,220031.0,498,479,11.051405682730925,11.205295841336117,0.15389015860519173,0.04377553984172772,0.49173617640672773
1,60,2,5,0,7173,4,1793,52129.0,214012.0,405,372,10.994870641975307,11.49433677688172,0.4994661349064131,0.15281986446243426,0.46278948237211975
1,60,2,5,1,7174,4,1794,39870.0,204305.0,343,465,10.956895437317785,10.84483013548387,-0.1120653018339155,0.0070984507817409195,0.44743086253189157
1,65,2,6,0,7159,4,1789,41953.5,145496.5,384,287,10.83833296875,11.192243101045296,0.35391013229529555,0.1634092272835629,0.48800178895863044
1,65,2,6,1,7158,4,1791,53926.25,215508.25,491,389,11.196293802443993,11.036419143958868,-0.1598746584851245,-0.05895652910774336,0.5013810476117821
1,70,2,7,0,7159,4,1788,38436.0,111140.5,500,352,10.548024097999999,11.220349653409091,0.6723255554090919,0.3128786325485057,0.4212754677783913
1,70,2,7,1,7160,4,1788,55195.5,219922.0,675,351,10.729396721481482,10.761444811965813,0.03204809048433077,0.004861558316787616,0.3782859504080587
1,75,2,8,0,7156,4,1791,38898.0,92859.25,384,510,10.747478,11.395311358823529,0.6478333588235294,0.287925158047276,0.5184526133555799
1,75,2,8,1,7160,4,1790,45624.75,210764.25,434,428,10.975685082949308,11.201629317757009,0.22594423480770054,0.11589889438274945,0.5254146250117038
1,80,3,1,0,21521,4,5379,220966.0,7869951.0,1349,1752,4.857026458858414,4.621362970319634,-0.23566348853877983,-0.6322647109971715,0.5236390032022662
1,85,3,2,0,7167,4,1789,39648.0,217326.0,356,499,7.787316238764045,8.590550509018035,0.8032342702539905,0.542105109742383,0.49486915332938225
1,85,3,2,1,14370,4,3590,60362.0,7084025.0,682,919,8.12641285777126,4.809337615886833,-3.317075241884427,-0.7901393521628944,0.5091383317535177
1,90,3,3,0,7159,4,1791,33435.5,50959.5,141,525,10.991946524822696,11.765031487619048,0.7730849627963519,0.2760261938509534,0.6189833087774395
1,90,3,3,1,7161,4,1791,39694.0,110021.0,357,484,12.051204610644259,11.99258038429752,-0.058624226346738695,-0.003732047844715362,0.6172117238740679
1,90,3,3,2,7193,4,1798,42333.0,208994.0,349,540,12.106171822349571,11.798902666666667,-0.3072691556829046,-0.17347375092912493,0.6199670084637657
1,95,3,4,0,7163,4,1791,43620.0,201918.0,325,467,11.45615936923077,12.715866798715204,1.2597074294844344,0.4312081537814357,0.5341789531522224
1,95,3,4,1,7161,4,1791,41890.0,132307.0,359,456,12.09771994150418,11.99432497368421,-0.10339496781996971,-0.0951177322841006,0.5147440409233245
1,95,3,4,2,7160,4,1791,40602.0,135128.75,377,429,12.0104569867374,11.658784934731933,-0.35167205200546725,-0.2761736972141418,0.5273806961561376
1,100,3,5,0,7156,4,1793,38861.75,87577.5,315,381,11.200985644444446,12.263798322834646,1.0628126783902,0.3125378570485075,0.4841578500578456
1,100,3,5,1,7157,4,1792,45945.0,175021.0,376,309,12.137718986702128,12.105112236245954,-0.03260675045617312,-0.11071006578404774,0.4835626241292242
1,100,3,5,2,7161,4,1791,40242.0,150966.0,355,459,11.850661222535212,11.560525808278868,-0.29013541425634415,-0.20239129847163048,0.48973404314626556
1,105,3,6,0,7137,4,1785,38926.0,66325.0,541,391,11.155159595194085,11.89267757033248,0.7375179751383953,0.2763929243224343,0.48917830267878487
