run_index,K,C,valid_slot,run_id,acquisition_phase,source_artifact,actual_round_id
0,1,1,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c1/k1/run01,1.0
1,1,1,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c1/k1/run02,2.0
2,1,1,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c1/k1/run03,3.0
3,1,1,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c1/k1/run04,4.0
4,1,1,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c1/k1/run05,5.0
5,1,2,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k1/run01,1.0
6,1,2,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k1/run02,2.0
7,1,2,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k1/run03,3.0
8,1,2,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k1/run04,4.0
9,1,2,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k1/run05,5.0
10,1,3,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k1/run01,1.0
11,1,3,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k1/run02,2.0
12,1,3,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k1/run03,3.0
13,1,3,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k1/run04,4.0
14,1,3,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k1/run05,5.0
15,1,4,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k1/run01,1.0
16,1,4,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k1/run02,2.0
17,1,4,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k1/run03,3.0
18,1,4,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k1/run04,4.0
19,1,4,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k1/run05,5.0
20,1,5,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k1/run01,1.0
21,1,5,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k1/run02,2.0
22,1,5,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k1/run03,3.0
23,1,5,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k1/run04,4.0
24,1,5,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k1/run05,5.0
25,1,6,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k1/run01,1.0
26,1,6,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k1/run02,2.0
27,1,6,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k1/run03,3.0
28,1,6,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k1/run04,4.0
29,1,6,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k1/run05,5.0
30,1,7,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k1/run01,1.0
31,1,7,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k1/run02,2.0
32,1,7,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k1/run03,3.0
33,1,7,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k1/run04,4.0
34,1,7,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k1/run05,5.0
35,1,8,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k1/run01,1.0
36,1,8,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k1/run02,2.0
37,1,8,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k1/run03,3.0
38,1,8,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k1/run04,4.0
39,1,8,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k1/run05,5.0
40,2,1,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c1/k2/run01,1.0
41,2,1,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c1/k2/run02,2.0
42,2,1,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c1/k2/run03,3.0
43,2,1,4,replacement01,POST_CAMPAIGN_REPLACEMENT,results/local_concurrency_formal_full/replacements/c1/k2/replacement01,
44,2,1,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c1/k2/run05,5.0
45,2,2,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k2/run01,1.0
46,2,2,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k2/run02,2.0
47,2,2,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k2/run03,3.0
48,2,2,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k2/run04,4.0
49,2,2,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k2/run05,5.0
50,2,3,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k2/run01,1.0
51,2,3,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k2/run02,2.0
52,2,3,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k2/run03,3.0
53,2,3,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k2/run04,4.0
54,2,3,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k2/run05,5.0
55,2,4,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k2/run01,1.0
56,2,4,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k2/run02,2.0
57,2,4,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k2/run03,3.0
58,2,4,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k2/run04,4.0
59,2,4,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k2/run05,5.0
60,2,5,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k2/run01,1.0
61,2,5,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k2/run02,2.0
62,2,5,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k2/run03,3.0
63,2,5,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k2/run04,4.0
64,2,5,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k2/run05,5.0
65,2,6,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k2/run01,1.0
66,2,6,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k2/run02,2.0
67,2,6,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k2/run03,3.0
68,2,6,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k2/run04,4.0
69,2,6,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k2/run05,5.0
70,2,7,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k2/run01,1.0
