fold,model,n,Brier,logloss,true_class_exact_zero,Queue_observed,Queue_predicted,Queue_absolute_error,Service_observed,Service_predicted,Service_absolute_error,On_time_observed,On_time_predicted,On_time_absolute_error
1,B0,394731,0.16465695236992176,0.29720919113723987,0,0.09438579690979426,0.08633392787533485,0.00805186903445941,0.25503190780556884,0.254250275035627,0.0007816327699418091,0.6505822952846368,0.6594157970890382,0.008833501804401345
1,B1,394731,0.15595845259458382,0.2808816492544096,0,0.09438579690979426,0.08690695380578721,0.007478843104007052,0.25503190780556884,0.2537181734684506,0.001313734337118233,0.6505822952846368,0.6593748727257621,0.008792577441125271
1,P,394731,0.10539212092331257,0.16990865757600923,5,0.09438579690979426,0.08997311012499244,0.00441268678480182,0.25503190780556884,0.26549926801239526,0.010467360206826426,0.6505822952846368,0.6445276218626124,0.006054673422024481
2,B0,394710,0.17550093537120126,0.31366375901182386,0,0.09335968179169517,0.08923030004010814,0.00412938175158703,0.2564819741075727,0.26086981175048063,0.004387837642907955,0.6501583441007321,0.6498998882094112,0.00025845589132089675
2,B1,394710,0.16230616025933423,0.29083983408475084,0,0.09335968179169517,0.08898844795109896,0.004371233840596206,0.2564819741075727,0.25790493275634535,0.0014229586487726764,0.6501583441007321,0.6531066192925558,0.0029482751918236128
2,P,394710,0.11518640908944196,0.18908612632814695,3,0.09335968179169517,0.08903035528771262,0.004329326503982545,0.2564819741075727,0.27836764348349274,0.02188566937592007,0.6501583441007321,0.6326020012287946,0.017556342871937525
3,B0,394694,0.1603268793373284,0.2888630449779988,0,0.09612003222749775,0.08267321212013244,0.01344682010736531,0.24640861021449528,0.25144648262758296,0.005037872413087674,0.657471357558007,0.6658803052522846,0.00840894769427758
3,B1,394694,0.14824418788481175,0.2677099712687686,0,0.09612003222749775,0.08516892493026411,0.010951107297233642,0.24640861021449528,0.2518516469918415,0.0054430367773462,0.657471357558007,0.6629794280778947,0.0055080705198876645
3,P,394694,0.1032316933319052,0.16568345336601392,4,0.09612003222749775,0.08765022651918804,0.008469805708309713,0.24640861021449528,0.26652081710792686,0.020112206893431572,0.657471357558007,0.6458289563728851,0.011642401185121942
4,B0,395041,0.15686001447634154,0.28307653498359936,0,0.07737677861285285,0.08477190703390369,0.007395128421050848,0.25363190149883175,0.2500357075721458,0.00359619392668592,0.6689913198883154,0.6651923853939504,0.0037989344943649694
4,B1,395041,0.14367237685843154,0.2582033180383405,0,0.07737677861285285,0.08432792608506381,0.0069511474722109695,0.25363190149883175,0.2518221478802336,0.0018097536185981422,0.6689913198883154,0.6638499260347024,0.005141393853613008
4,P,395041,0.10081384260038333,0.1631703860079725,1,0.07737677861285285,0.07556198833421783,0.0018147902786350145,0.25363190149883175,0.26770826106810197,0.014076359569270225,0.6689913198883154,0.6567297505976801,0.012261569290635266
5,B0,394721,0.16351182927363764,0.2946907737960584,0,0.06247197387521819,0.08166498174045475,0.01919300786523656,0.25900319466154575,0.2551483992430411,0.003854795418504642,0.6785248314632361,0.663186619016504,0.015338212446732058
5,B1,394721,0.14846186754980717,0.26736685108751607,0,0.06247197387521819,0.07873960832111526,0.016267634445897072,0.25900319466154575,0.2562100023086824,0.0027931923528633495,0.6785248314632361,0.6650503893702023,0.013474442093033723
5,P,394721,0.10096868124601341,0.1641768670465308,2,0.06247197387521819,0.060544081292816895,0.0019278925824012944,0.25900319466154575,0.2733938391722142,0.01439064451066846,0.6785248314632361,0.6660620795349689,0.01246275192826718
