K,C,A_start,valid_heldout_run_groups,mean_high_minus_low_service_ms,SD_high_minus_low_service_ms,negative_direction_runs,median_heldout_spearman
1,1,0,5,-0.007326273299241448,0.4312229928375474,4,-0.0661116201325154
1,2,0,5,0.07945030413588972,0.32763194660624023,1,0.0050121689975888
1,3,0,5,0.05781032536079354,0.30639343442473116,3,0.045535286384447
1,4,0,5,-0.021017530404351698,0.25760086131838017,3,-0.0271399851912383
1,5,0,5,0.19349402357239176,0.2817137464719352,1,0.078577981744449
1,6,0,5,-0.01493855843093464,0.1978958613445712,2,0.0504420106918836
1,7,0,5,0.10774105122042883,0.6931286445538375,1,0.0511062883807904
1,8,0,5,-0.0006841917012174404,0.2646188629647282,3,0.0249247564467945
2,1,0,5,0.23721618204388953,0.03831189827437296,0,0.1057634238098712
2,2,0,5,0.8874461654465307,0.26042929513404767,0,0.3528572668031419
2,2,1,5,0.035408873117438545,0.04587977730825885,1,-0.0187551085274047
2,3,0,5,0.5199010985868909,0.19448204364621813,0,0.2927802003089076
2,3,1,5,0.19516216673237985,0.1903924625699214,0,0.0658089040904166
2,4,0,5,0.69486207867789,0.08299872116340792,0,0.2892890548481914
2,4,1,5,0.09533985913082962,0.08518192121721398,1,0.0277563450633569
2,5,0,5,0.4229899219162469,0.09711343597679485,0,0.1528198644624342
2,5,1,5,-0.03317639267700478,0.0837948743130824,3,0.0128588802406191
2,6,0,5,0.5677635644267067,0.15422485147148604,0,0.3075286466283899
2,6,1,5,-0.02943714649740666,0.0944550628551556,2,0.0102918475947891
2,7,0,5,0.6563975374165014,0.05316329623629137,0,0.353633272648931
2,7,1,5,-0.005993604036254421,0.08363863824075508,2,0.0015761941566521
2,8,0,5,0.5891557095081751,0.13438428054924384,0,0.2667728978122962
2,8,1,5,0.06902153587557756,0.1485576960886941,2,0.0462792000712559
3,1,0,5,-0.23031520275367182,0.013887634772960664,5,-0.5870151204300557
3,2,0,5,0.6888935891577574,0.07396932392293892,0,0.4987849392264027
3,2,1,5,-3.349676984943412,0.025532478583393952,5,-0.7975301317865293
3,3,0,5,0.4670822031634657,0.20885693092065827,0,0.1581538742837397
3,3,1,5,-0.22796571599306964,0.2250344427224999,4,-0.1110783770263381
3,3,2,5,-0.3020029917434677,0.12655272584834446,5,-0.2463355201653103
3,4,0,5,1.1567423818253952,0.13702589125323963,0,0.4234694288728148
3,4,1,5,-0.10088931631092275,0.059668776806013214,5,-0.0951177322841006
3,4,2,5,-0.3295285647528491,0.027980953651200305,5,-0.2289495209216031
3,5,0,5,1.0065521005440814,0.1303361370817038,0,0.3125378570485075
3,5,1,5,-0.05163260727312102,0.05011600941974658,5,-0.0549883188791357
3,5,2,5,-0.288464411130504,0.07556013957662172,5,-0.1906740278221082
3,6,0,5,0.7212092915083567,0.048342619222473994,0,0.302192918044088
3,6,1,5,-0.09926160057062175,0.07094396261887835,4,-0.0743080544465457
3,6,2,5,-0.28998420631807204,0.06771527211260303,5,-0.2453604306084085
3,7,0,5,0.7998710472888387,0.1080247262418536,0,0.281886622923724
3,7,1,5,-0.0322667092347327,0.14390612448204865,3,0.0267467117117543
3,7,2,5,-0.3428661017843385,0.09837375306382425,5,-0.1763268016502015
3,8,0,5,0.6071616318867058,0.10781270896167489,0,0.2256220147443562
3,8,1,5,-0.12908109052665073,0.1028050547354091,4,-0.0676404227246269
3,8,2,5,-0.42916733840242643,0.11167197984548324,5,-0.2353245681834241
4,1,0,5,-0.37888331407681153,0.018542349115285024,5,-0.7667378867371953
4,2,0,5,0.3641695224159541,0.060308094754805634,0,0.2237460961494542
4,2,1,5,-1.000925249371093,0.07243914049197875,5,-0.4886597571085539
4,3,0,5,1.5780510272808557,0.08377545285940917,0,0.4770394293393682
4,3,1,5,0.2884630244214691,0.11975903915817616,0,0.1218909509116739
4,3,2,5,-6.822571544100599,0.0971127311177311,5,-0.8480129086105904
4,4,0,5,1.2998279541586222,0.17929332020224872,0,0.321076960388156
4,4,1,5,0.3817490041762902,0.12285444312087776,0,0.1216841769653897
4,4,2,5,-0.3224462650221518,0.12663674990683216,5,-0.1030903576530815
4,4,3,5,-0.5092304535183427,0.12973781978819185,5,-0.1983006054438824
4,5,0,5,1.8561495726830262,0.10220666584027865,0,0.4102947508279277
4,5,1,5,0.8508048741411514,0.284482061648082,0,0.2096489714847459
4,5,2,5,-0.05486291127343923,0.2291142840598379,4,-0.0304123709868576
4,5,3,5,-0.2952865008098712,0.2644063507550543,4,-0.1596406051524664
4,6,0,5,1.6582413462914207,0.25845488132907024,0,0.3256996024200598
4,6,1,5,0.48262851086425795,0.2795392224538335,0,0.1445393515590551
4,6,2,5,-0.2770385571414721,0.1043608788365313,5,-0.0963519499848467
4,6,3,5,-0.5809762277546617,0.0980235882257258,5,-0.2096892869708385
4,7,0,5,1.7933916834298465,0.22476072450980256,0,0.3415444135716741
4,7,1,5,0.5896294473367547,0.23058343112597202,0,0.1596951667130945
4,7,2,5,-0.18342705858044073,0.26700523178356855,4,-0.1362452690497075
4,7,3,5,-0.42438321824191333,0.31931578911828806,4,-0.1665288956157143
4,8,0,5,1.3310321610748992,0.20749790312993519,0,0.2976603004250922
4,8,1,5,0.42226382282559316,0.13676304197934544,0,0.1422405818503797
