K,C,model,n_mean,n_std,Brier_mean,Brier_std,logloss_mean,logloss_std,true_class_exact_zero_mean,true_class_exact_zero_std,Queue_observed_mean,Queue_observed_std,Queue_predicted_mean,Queue_predicted_std,Queue_absolute_error_mean,Queue_absolute_error_std,Service_observed_mean,Service_observed_std,Service_predicted_mean,Service_predicted_std,Service_absolute_error_mean,Service_absolute_error_std,On_time_observed_mean,On_time_observed_std,On_time_predicted_mean,On_time_predicted_std,On_time_absolute_error_mean,On_time_absolute_error_std,n_valid_runs
1,1,B0,1798.6,0.5477225575052025,0.001706277028719443,0.00040955566494592463,0.025086875526619645,0.0016838440097865063,0.0,0.0,0.00044481515809363865,0.00024865928077663586,0.01805007091710518,0.0017943634402403457,0.01760525575901154,0.0019661212826998726,0.0004447533266843958,0.0002486247039614152,0.005707677129356779,0.00025417559917738255,0.0052629238026723835,0.0003779538743169218,0.9991104315152219,0.00030448780016544984,0.9762422519535381,0.002036484249993587,0.022868179561683966,0.0022845960765120682,5
1,1,B1,1798.6,0.5477225575052025,0.0010932653073660713,0.00044039959678950584,0.015207198958030054,0.0013899776870738168,0.0,0.0,0.00044481515809363865,0.00024865928077663586,0.007339824853031024,0.0011218814443669906,0.006895009694937384,0.0013084454604961404,0.0004447533266843958,0.0002486247039614152,0.006814827077399774,0.000251173127863613,0.006370073750715378,0.00034560127101900846,0.9991104315152219,0.00030448780016544984,0.9858453480695692,0.001358633491336377,0.01326508344565278,0.0015445306634755403,5
1,1,P,1798.6,0.5477225575052025,0.0016522969317716494,0.0007956857489172152,0.005974805614923574,0.003390688747456569,0.0,0.0,0.00044481515809363865,0.00024865928077663586,3.246600284046578e-07,2.1449880753388106e-07,0.0004445214180690774,0.00024845191724476686,0.0004447533266843958,0.0002486247039614152,0.00036671530263985625,0.0002606901781759673,7.843155432880403e-05,0.0001673910216165702,0.9991104315152219,0.00030448780016544984,0.9996329600373318,0.0002608682589076827,0.0005225285221097886,8.100943191465123e-05,5
1,2,B0,1797.8,0.4472135954999452,0.0007859412181049638,0.0005687418553261148,0.012738555454248813,0.0020919279812883895,0.0,0.0,0.00011123470522803115,0.0002487283623470289,0.008127323915011832,0.0010014720532310671,0.0080160892097838,0.0011736027073011202,0.0003337041156840934,0.00030462878615415245,0.0037926381810253797,0.00020668121827285986,0.003458934065341286,0.00029725157634126183,0.9995550611790879,0.0002487283623470212,0.9880800379039629,0.0010629330252215606,0.011475023275125085,0.0009490690584675695,5
1,2,B1,1797.8,0.4472135954999452,0.000738900790816691,0.0005595707061942474,0.011543229173307523,0.0019080705293984539,0.0,0.0,0.00011123470522803115,0.0002487283623470289,0.007078786701923014,0.0007233174463677492,0.006967551996694983,0.0008672550932526092,0.0003337041156840934,0.00030462878615415245,0.0034804814805441562,0.00013197646855737181,0.003146777364860063,0.0002977035224036834,0.9995550611790879,0.0002487283623470212,0.9894407318175329,0.0007424991370066065,0.01011432936155503,0.0005880976254684723,5
1,2,P,1797.8,0.4472135954999452,0.0006669103281648578,0.000608803062038155,0.0027062620389608494,0.0024912215241121773,0.0,0.0,0.00011123470522803115,0.0002487283623470289,1.3921740328915566e-07,1.925825214714098e-07,0.0001112192366276657,0.00024852086540068553,0.0003337041156840934,0.00030462878615415245,0.00022239243487655425,0.0003044127817861519,0.0003336433899741657,0.00030444423293066864,0.9995550611790879,0.0002487283623470212,0.9997774683477202,0.0003046034119374526,0.00022243728629873783,0.0003045504331259056,5
1,3,B0,1798.4,0.5477225575052025,0.0008196732609247762,0.000641761341609918,0.008106460698155755,0.0014744620513839303,0.0,0.0,0.0,0.0,0.002087389376357044,0.0002203410834867188,0.002087389376357044,0.0002203410834867188,0.0006672227371404581,0.0002484864447472563,0.0053714360100832375,0.0003516818232604789,0.00470421327294278,0.0002553667146509108,0.9993327772628596,0.0002484864447472761,0.9925411746135598,0.0005149084079252,0.0067916026492998325,0.0004587588575105556,5
1,3,B1,1798.4,0.5477225575052025,0.0010549213339938984,0.0006800659588732823,0.007507471588556129,0.0019454821925925865,0.0,0.0,0.0,0.0,0.002165460304173154,0.0002505088540728317,0.002165460304173154,0.0002505088540728317,0.0006672227371404581,0.0002484864447472563,0.0038582529181618473,0.0001859465038488753,0.003191030181021389,0.0001891194766517168,0.9993327772628596,0.0002484864447472761,0.993976286777665,0.0004037080181965639,0.005356490485194576,0.00041063538801969235,5
1,3,P,1798.4,0.5477225575052025,0.0008555784576773512,0.0004801637064950861,0.0033104220687173807,0.00318561753314536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006672227371404581,0.0002484864447472563,0.00023105997989832585,0.00029663705806378315,0.0004361627840104726,0.00024406100396888943,0.9993327772628596,0.0002484864447472761,0.9997689400201016,0.00029663705806374607,0.00043616278401044096,0.0002440610039688374,5
1,4,B0,1798.4,0.5477225575052025,0.00048371521124872946,0.00037681536420322077,0.004932828675714726,0.00046279636455785213,0.0,0.0,0.0,0.0,0.000777174508454801,0.000211642481006199,0.000777174508454801,0.000211642481006199,0.00044481515809363865,0.0002486592807766358,0.0038279080037402977,0.0004065212222803338,0.0033830928456466585,0.0004867215857606993,0.9995551848419064,0.0002486592807766315,0.995394917487805,0.0004848393011190398,0.004160267354101443,0.0005114193405252914,5
