fold,model,scope,stage,bin,n,predicted,observed
1,B0,K5,On_time,1,174,0.15474146856682305,0.5689655172413793
1,B0,K5,On_time,2,244,0.2535664713934889,0.5409836065573771
1,B0,K5,On_time,3,390,0.35191606883898985,0.5974358974358974
1,B0,K5,On_time,4,635,0.4508255370623338,0.658267716535433
1,B0,K5,On_time,5,1293,0.5576591858014003,0.6535189481825213
1,B0,K5,On_time,6,3199,0.6587470687895712,0.692403876211316
1,B0,K5,On_time,7,7512,0.7538852169737257,0.7424121405750799
1,B0,K5,On_time,8,10476,0.8541888114774121,0.7988736158839251
1,B0,K5,On_time,9,47077,0.9654338807626588,0.932429848970835
1,B0,K6,Queue,0,68742,0.02130323603342969,0.009382910011346775
1,B0,K6,Queue,1,5347,0.14820743795491045,0.1443800261829063
1,B0,K6,Queue,2,4307,0.24447996373649197,0.16716972370559555
1,B0,K6,Queue,3,2764,0.3454089420788361,0.4504341534008683
1,B0,K6,Queue,4,1196,0.44514056044366995,0.705685618729097
1,B0,K6,Queue,5,1018,0.5495664794258202,0.9361493123772102
1,B0,K6,Queue,6,825,0.6434201307734924,0.9890909090909091
1,B0,K6,Queue,7,310,0.7350106160573315,0.9967741935483871
1,B0,K6,Queue,8,48,0.8298830783708583,1.0
1,B0,K6,Queue,9,2,0.9121880485469755,1.0
1,B0,K6,Service,0,6084,0.07355263342269823,0.0004930966469428008
1,B0,K6,Service,1,10210,0.14718820853754305,0.009598432908912831
1,B0,K6,Service,2,9422,0.2511428384726911,0.11122903842071746
1,B0,K6,Service,3,12597,0.3526629789516829,0.336588076526157
1,B0,K6,Service,4,7381,0.4511884172720729,0.595718737298469
1,B0,K6,Service,5,5754,0.5500673343533585,0.6054918317692041
1,B0,K6,Service,6,6355,0.6482999760047461,0.7033831628638867
1,B0,K6,Service,7,6328,0.7488522426906761,0.8743678887484198
1,B0,K6,Service,8,9373,0.8556842537636751,0.9657526939080338
1,B0,K6,Service,9,11055,0.9336792824531026,0.9926729986431478
1,B0,K6,On_time,0,15692,0.0521078088745665,0.00962273770073923
1,B0,K6,On_time,1,9341,0.14568503070268773,0.04260785783106734
1,B0,K6,On_time,2,8111,0.25149291377558586,0.1348785599802737
1,B0,K6,On_time,3,9195,0.3518479218844287,0.2838499184339315
1,B0,K6,On_time,4,8550,0.449958698624908,0.40350877192982454
1,B0,K6,On_time,5,7774,0.5480845808891938,0.5481090815538976
1,B0,K6,On_time,6,6245,0.6487846197005996,0.7260208166533226
1,B0,K6,On_time,7,6855,0.750768147268056,0.8824215900802334
1,B0,K6,On_time,8,9029,0.8528747996575227,0.9545907630966884
1,B0,K6,On_time,9,3767,0.9255875488163788,0.992832492699761
1,B0,K7,Queue,0,41593,0.05458540297291433,0.007188709638641117
1,B0,K7,Queue,1,17592,0.14260293393174012,0.11783765347885403
1,B0,K7,Queue,2,8613,0.24398937706457544,0.24880993846511087
1,B0,K7,Queue,3,4171,0.34414179405658535,0.5845121074082954
1,B0,K7,Queue,4,2794,0.4497691769544932,0.9033643521832498
1,B0,K7,Queue,5,2883,0.550946070334949,0.9875130072840791
1,B0,K7,Queue,6,3514,0.6520633755542553,0.9982925441092771
1,B0,K7,Queue,7,5892,0.7553643134856286,0.9993211133740665
1,B0,K7,Queue,8,7834,0.8474206570538229,1.0
1,B0,K7,Queue,9,963,0.9159024678109887,1.0
1,B0,K7,Service,0,3470,0.08046512581681382,0.0008645533141210375
1,B0,K7,Service,1,22056,0.14869028712159957,0.002811026478055858
1,B0,K7,Service,2,8710,0.22901074378961211,0.04420206659012629
1,B0,K7,Service,3,4497,0.3519575167409457,0.2675116744496331
1,B0,K7,Service,4,6240,0.45444321013972355,0.49006410256410254
1,B0,K7,Service,5,8632,0.5447464538161099,0.5922150139017609
1,B0,K7,Service,6,8740,0.6544483271405105,0.8088100686498856
1,B0,K7,Service,7,8470,0.7433439788271495,0.8752066115702479
1,B0,K7,Service,8,13839,0.8530904724226637,0.921526121829612
1,B0,K7,Service,9,11195,0.9155268647854778,0.9988387673068334
1,B0,K7,On_time,0,43720,0.03371265266505232,0.004391582799634035
1,B0,K7,On_time,1,14356,0.14642400190212723,0.050501532460295345
1,B0,K7,On_time,2,9689,0.2472273200997044,0.12519351842295387
1,B0,K7,On_time,3,7163,0.3472743164238407,0.23495742007538742
1,B0,K7,On_time,4,5501,0.44834387963642497,0.3872023268496637
1,B0,K7,On_time,5,4226,0.5479555171157919,0.5281590156176053
