fold,run,K,C,model,n,Brier,logloss,true_class_exact_zero,Queue_observed,Queue_predicted,Queue_absolute_error,Service_observed,Service_predicted,Service_absolute_error,On_time_observed,On_time_predicted,On_time_absolute_error
1,0,1,1,B0,1798,0.0010107229869908139,0.02468660035119938,0,0.0005561735261401557,0.019100053056687643,0.018543879530547487,0.0,0.005766584205271365,0.005766584205271365,0.9994438264738599,0.975133362738041,0.02431046373581891
1,5,1,2,B0,1797,0.0001893396329600166,0.010935316262507013,0,0.0,0.007101378516804823,0.007101378516804823,0.0,0.0037722902088117294,0.0037722902088117294,1.0,0.9891263312743835,0.010873668725616459
1,10,1,3,B0,1798,0.0004622458979521947,0.007674143814791888,0,0.0,0.002146749640140686,0.002146749640140686,0.0005561735261401557,0.0055399861412413634,0.004983812615101208,0.9994438264738599,0.992313264218618,0.00713056225524189
1,15,1,4,B0,1799,0.0007874063738019985,0.005366858092964921,0,0.0,0.0011024666759723572,0.0011024666759723572,0.0005558643690939411,0.0038510529037598237,0.003295188534665883,0.9994441356309061,0.9950464804202679,0.004397655210638174
1,20,1,5,B0,1798,0.0012545566678007973,0.012769592155830966,0,0.0,0.001060087502210036,0.001060087502210036,0.0005561735261401557,0.007728974047301546,0.00717280052116139,0.9994438264738599,0.9912109384504885,0.00823288802337141
1,25,1,6,B0,1797,0.006219665995227064,0.055075157786437214,0,0.0,0.0038645852442252553,0.0038645852442252553,0.0011129660545353367,0.046976915376694364,0.04586394932215903,0.9988870339454646,0.9491584993790804,0.049728534566384264
1,30,1,7,B0,1795,0.008386282054977944,0.06584724785968284,0,0.0,0.002270925055024284,0.002270925055024284,0.0,0.06117532815346677,0.06117532815346677,1.0,0.9365537467915089,0.06344625320849107
1,35,1,8,B0,1796,0.007865900243938524,0.06515874990606228,0,0.0,0.0023698764445120903,0.0023698764445120903,0.0005567928730512249,0.06113061587452228,0.06057382300147106,0.9994432071269488,0.9364995076809656,0.06294369944598321
1,40,2,1,B0,3593,0.001910110893383243,0.027212012411850284,0,0.00027831895352073476,0.022975081589902083,0.02269676263638135,0.00027831895352073476,0.0034880338082765245,0.00320971485475579,0.9994433620929585,0.9735368846018215,0.025906477491136948
1,45,2,2,B0,3593,0.0012378466581093415,0.012963592785591607,0,0.00027831895352073476,0.009571424903509398,0.009293105949988664,0.0005566379070414695,0.002364553569374559,0.0018079156623330894,0.9991650431394378,0.988064021527116,0.011101021612321738
1,50,2,3,B0,3588,0.0004108358748714407,0.005184310154145393,0,0.0,0.0019766667626910346,0.0019766667626910346,0.0,0.0027765480882541767,0.0027765480882541767,1.0,0.9952467851490547,0.004753214850945264
1,55,2,4,B0,3589,0.0003139112532509156,0.0030564825063717745,0,0.0,0.0007646399503397251,0.0007646399503397251,0.0,0.0020193768519650704,0.0020193768519650704,1.0,0.9972159831976951,0.0027840168023048895
1,60,2,5,B0,3587,0.0008280920584756631,0.006912202718179152,0,0.0,0.0015546510856090181,0.0015546510856090181,0.00027878449958182325,0.004575508361802664,0.00429672386222084,0.9997212155004181,0.9938698405525883,0.005851374947829835
