group,fixed_mean_ms,seeded_mean_ms,delta_mean_ms,delta_mean_ms_percent,fixed_median_ms,seeded_median_ms,delta_median_ms,delta_median_ms_percent,fixed_p95_ms,seeded_p95_ms,delta_p95_ms,delta_p95_ms_percent,fixed_std_ms,seeded_std_ms,fixed_min_ms,seeded_min_ms,fixed_max_ms,seeded_max_ms,fixed_mean_ms_rank,seeded_mean_ms_rank,fixed_median_ms_rank,seeded_median_ms_rank,fixed_p95_ms_rank,seeded_p95_ms_rank
G1,0.12535942400991917,0.08821870941420396,-0.03714071459571522,-29.627381338938207,0.12124799937009811,0.08062400296330452,-0.040623996406793594,-33.50487976530868,0.1984752058982849,0.13129119351506227,-0.06718401238322264,-33.85007818944059,0.06024275055664355,0.026032371523214942,0.057920001447200775,0.058880001306533813,1.276960015296936,0.321152001619339,2,2,3,2,2,2
G2,0.21697476275761923,0.17465324811140695,-0.04232151464621228,-19.505270616882438,0.1990399956703186,0.1664000004529953,-0.0326399952173233,-16.39871178021266,0.31938078850507734,0.22238879427313793,-0.09699199423193941,-30.368762844480703,0.17598280622911908,0.032467313354022365,0.13023999333381653,0.13388800621032715,4.574336051940918,0.488319993019104,4,4,4,4,4,4
G3,0.6289691518147786,0.6002925866444906,-0.02867656517028805,-4.559295966669736,0.6027519702911377,0.5868480205535889,-0.015903949737548828,-2.638556242274413,0.7893231838941573,0.6518272161483765,-0.13749596774578088,-17.419476654345694,0.14153001462240583,0.07346207921164424,0.5419520139694214,0.5582399964332581,5.006591796875,2.1652159690856934,6,6,6,6,6,6
G4,0.4961216216683388,0.428406101167202,-0.06771552050113677,-13.648975884869847,0.4667679965496063,0.41225600242614746,-0.05451199412345886,-11.678605758410331,0.7090896189212799,0.5258319944143295,-0.18325762450695038,-25.84407099144049,0.10264299582056081,0.0874247256241442,0.3943679928779602,0.384223997592926,1.4064960479736328,2.8860480785369873,5,5,5,5,5,5
G5,1.6080541460116704,1.2520214625597,-0.3560326834519705,-22.14059049783928,1.371120035648346,1.1957280039787292,-0.1753920316696167,-12.791880149769753,2.470824098587036,1.6237376511096953,-0.847086447477341,-34.28355939873483,0.5168443996429446,0.28562035537419556,0.8543360233306885,0.8401600122451782,3.784224033355713,5.803264141082764,7,7,7,7,7,7
G6,2.506665895462036,2.022254271666209,-0.48441162379582714,-19.324937745903267,2.240336060523987,1.9274719953536987,-0.3128640651702881,-13.96505063160538,3.561908853054046,2.399321663379669,-1.162587189674377,-32.63944243484932,0.6423364422729723,0.2825768789566478,1.8485440015792847,1.8440959453582764,6.899807929992676,5.94652795791626,8,8,8,8,8,8
G7,4.4549431848526,4.1784702302614845,-0.27647295459111554,-6.205981605582769,4.318272113800049,4.078320026397705,-0.23995208740234375,-5.556668988865262,5.298564934730529,4.5283599376678465,-0.7702049970626828,-14.536105654084114,0.4597730698502094,0.5521071371553932,3.986815929412842,3.995903968811035,9.480159759521484,22.44175910949707,9,9,9,9,9,9
G8,0.12559837873031696,0.09725292796641588,-0.028345450763901076,-22.568325364106826,0.11566400155425072,0.08825600147247314,-0.027408000081777573,-23.696223296340133,0.21628959998488426,0.1657071955502033,-0.050582404434680955,-23.38642470013167,0.06042197474676973,0.03958208350763467,0.029920000582933426,0.03126399964094162,1.2805440425872803,0.561568021774292,3,3,2,3,3,3
G9,0.11859923201054334,0.08208674119102458,-0.03651249081951877,-30.786447939454487,0.11478400230407715,0.07844800129532814,-0.03633600100874901,-31.655980170904307,0.17542240172624585,0.11606399714946747,-0.05935840457677838,-33.83741414589096,0.03755217083385864,0.0546823822833999,0.014944000169634819,0.015200000256299973,0.4140479862689972,1.5945279598236084,1,1,1,1,1,1
