group,n,mean_ms,median_ms,p95_ms,p99_ms,std_ms,min_ms,max_ms,input_shape,output_shape,dtype,input_bytes,output_bytes,input_mib,output_mib,bit_conversion_ratio,processing_time_density_ms_per_mbit
G1,1500,0.08821870941420396,0.08062400296330452,0.13129119351506227,0.21168543457984917,0.026032371523214942,0.058880001306533813,0.321152001619339,"[1, 3, 384, 384]","[1, 24, 192, 192]",torch.float32,1769472,3538944,1.6875,3.375,2.0,0.006231993881098709
G2,1500,0.17465324811140695,0.1664000004529953,0.22238879427313793,0.3371030431985854,0.032467313354022365,0.13388800621032715,0.488319993019104,"[1, 24, 192, 192]","[1, 24, 192, 192]",torch.float32,3538944,3538944,3.375,3.375,1.0,0.006168974703732489
G3,1500,0.6002925866444906,0.5868480205535889,0.6518272161483765,0.8776121664047241,0.07346207921164424,0.5582399964332581,2.1652159690856934,"[1, 24, 192, 192]","[1, 48, 96, 96]",torch.float32,3538944,1769472,3.375,1.6875,0.5,0.021203097118960155
G4,1500,0.428406101167202,0.41225600242614746,0.5258319944143295,0.7279958540201186,0.0874247256241442,0.384223997592926,2.8860480785369873,"[1, 48, 96, 96]","[1, 64, 48, 48]",torch.float32,1769472,589824,1.6875,0.5625,0.3333333333333333,0.030263695975918384
G5,1500,1.2520214625597,1.1957280039787292,1.6237376511096953,2.3888422179222104,0.28562035537419556,0.8401600122451782,5.803264141082764,"[1, 64, 48, 48]","[1, 128, 24, 24]",torch.float32,589824,294912,0.5625,0.28125,0.5,0.2653379360961278
G6,1500,2.022254271666209,1.9274719953536987,2.399321663379669,3.332794523239136,0.2825768789566478,1.8440959453582764,5.94652795791626,"[1, 128, 24, 24]","[1, 160, 24, 24]",torch.float32,294912,368640,0.28125,0.3515625,1.25,0.857143093391507
G7,1500,4.1784702302614845,4.078320026397705,4.5283599376678465,5.164070839881896,0.5521071371553932,3.995903968811035,22.44175910949707,"[1, 160, 24, 24]","[1, 256, 12, 12]",torch.float32,368640,147456,0.3515625,0.140625,0.4,1.416853241055462
G8,1500,0.09725292796641588,0.08825600147247314,0.1657071955502033,0.2574550408124924,0.03958208350763467,0.03126399964094162,0.561568021774292,"[1, 256, 12, 12]","[1, 1280]",torch.float32,147456,5120,0.140625,0.0048828125,0.034722222222222224,0.08244232853055816
G9,1500,0.08208674119102458,0.07844800129532814,0.11606399714946747,0.16454047307372086,0.0546823822833999,0.015200000256299973,1.5945279598236084,"[1, 1280]","[1, 1000]",torch.float32,5120,4000,0.0048828125,0.003814697265625,0.78125,2.0040708298589984
