run_id,kind,repeat,exclusion_reason,protocol_version,K,C,freq_state,requested_freq_MHz,actual_freq_mean_MHz,admission_fps_per_stream,source_fps,aggregate_admitted_fps,aggregate_ready_fps,aggregate_completed_fps,min_per_stream_completed_fps,mean_per_stream_completed_fps,g_B,backlog_at_active_end,backlog_peak,queue_stable,avg_power_W,median_power_W,active_energy_J,energy_per_frame_J,temperature,OC3_delta,integrity_status,hardware_status,supply_status,active_concurrency_peak,active_concurrency_mean,frontend_ready_deficit_fraction,frontend_pending_slope,source_pending_slope,pipeline_audit_status,queue_classification,child_returncode,child_exit_signal,PIPELINE_SEMANTICS,PROCESS_LIFECYCLE
RDVG_B_20260919_P32,primary,3,,2,7,4,HIGH,1575,1575.0,24,210.0,168.0,168.0,167.95,23.983333333333334,23.992857142857144,-0.0014216728943291185,3,14,True,44.053795754688124,,2643.2277452812873,0.26230304111156966,70.77988347826087,20,VALID,PROTECTION_LIMITED,NORMAL,4,2.555159916083327,0.0,-0.0010242639588064198,-0.0009767111330739424,PASS,QUEUE_STABLE,0,,PASS,PASS
RDVG_B_20260919_P33,primary,3,,2,7,4,LOW,945,945.0,27,210.0,189.0,164.23333333333332,164.08333333333334,23.266666666666666,23.44047619047619,24.641078933926554,1495,1501,False,33.014516473551204,,1980.8709884130722,,66.85913171577123,0,VALID,CLEAN,FRONTEND_LIMITED,4,3.7945342659666492,0.13104056437389772,24.643919731584003,27.377720798156087,PASS,UNSTABLE,0,,PASS,PASS
RDVG_B_20260919_P34,primary,3,,2,7,4,MID,1260,1260.0,30,210.0,210.0,204.83333333333334,203.55,28.983333333333334,29.07857142857143,6.139343831238794,387,394,False,46.305834313564354,,2778.3500588138613,,70.82924090121317,0,VALID,CLEAN,FRONTEND_LIMITED,4,3.9879130769833178,0.024603174603174603,5.657396892761421,5.656105311381212,PASS,UNSTABLE,0,,PASS,PASS
RDVG_B_20260919_P35,primary,3,,2,7,4,HIGH,1575,1575.0,21,210.0,147.0,147.0,146.95,20.983333333333334,20.992857142857144,-0.0001397235478395563,3,14,True,39.362695380988,,2361.76172285928,0.2678645483565022,69.16482291666667,24,VALID,PROTECTION_LIMITED,NORMAL,4,2.2371093374833393,0.0,9.471941532443236e-05,-0.0006428561429116131,PASS,QUEUE_STABLE,0,,PASS,PASS
RDVG_B_20260919_P36,primary,3,,2,7,4,LOW,945,945.0,24,210.0,168.0,162.81666666666666,162.75,23.05,23.25,5.392777871147501,315,320,False,32.733968812759585,,1964.038128765575,,66.02098613518197,0,VALID,CLEAN,FRONTEND_LIMITED,4,3.5626343700333316,0.030853174603174605,5.3768282695395415,6.719970628846125,PASS,UNSTABLE,0,,PASS,PASS
RDVG_B_20260919_S01,sanity,1,,2,6,2,LOW,945,945.0,30,180.0,180.0,180.0,164.53333333333333,27.416666666666668,27.422222222222224,15.060158370443931,928,934,False,33.5297605698485,,2011.78563419091,,65.34075736568458,0,VALID,CLEAN,NORMAL,2,1.9935791578166648,0.0,0.0001456886685222306,-0.0004717131644623487,PASS,UNSTABLE,0,,PASS,PASS
RDVG_B_20260919_S02,sanity,1,,2,6,2,MID,1260,1260.0,30,180.0,180.0,180.0,179.95,29.983333333333334,29.991666666666667,-0.001094940232044842,3,12,True,41.76365887037439,,2505.8195322224637,0.23208479505626228,68.06287348353553,0,VALID,CLEAN,NORMAL,2,1.807856953200003,0.0,-0.0021860511589780174,-0.00026935913586488016,PASS,QUEUE_STABLE,0,,PASS,PASS
RDVG_B_20260919_S03,sanity,1,,2,6,2,HIGH,1575,1575.0,30,180.0,180.0,180.0,179.96666666666667,29.983333333333334,29.994444444444444,0.008734769725810105,2,11,True,45.920399189213335,,2755.2239513528,0.25516058078836823,70.18317504332755,73,VALID,PROTECTION_LIMITED,NORMAL,2,1.5594363602000023,0.0,0.009825244677099314,0.002178179826780865,PASS,QUEUE_STABLE,0,,PASS,PASS
RDVG_B_20260919_S04,sanity,2,,2,6,2,MID,1260,1260.0,30,180.0,180.0,180.0,179.96666666666667,29.983333333333334,29.994444444444444,-0.002877138694555533,2,13,True,41.98906631152267,,2519.34397869136,0.2333157972486905,69.47796187175044,0,VALID,CLEAN,NORMAL,2,1.7299063366333371,0.0,-0.0013739572510309806,-3.0013009489291855e-05,PASS,QUEUE_STABLE,0,,PASS,PASS
RDVG_B_20260919_S05,sanity,2,,2,6,2,HIGH,1575,1575.0,30,180.0,180.0,180.0,179.98333333333332,29.983333333333334,29.997222222222224,-0.0012243821439992264,1,10,True,46.09373627340876,,2765.6241764045253,0.25610002559538153,70.86327951388888,50,VALID,PROTECTION_LIMITED,NORMAL,2,1.5648217792666739,0.0,-0.0007508699980400624,-0.00021099266216442875,PASS,QUEUE_STABLE,0,,PASS,PASS
RDVG_B_20260919_S06,sanity,2,,2,6,2,LOW,945,945.0,30,180.0,180.0,180.0,164.48333333333332,27.4,27.41388888888889,15.700541827922523,931,937,False,33.78376528996914,,2027.0259173981485,,66.75746193771627,0,VALID,CLEAN,NORMAL,2,1.993752102066661,0.0,-0.0010468498166347285,-0.0002215611764335921,PASS,UNSTABLE,0,,PASS,PASS
RDVG_B_20260919_S07,sanity,3,,2,6,2,HIGH,1575,1575.0,30,180.0,180.0,180.0,179.96666666666667,29.983333333333334,29.994444444444444,0.0020791530041197335,2,12,True,46.03808792238153,,2762.2852753428915,0.25581452818511685,70.25010763888889,59,VALID,PROTECTION_LIMITED,NORMAL,2,1.5861995139333367,0.0,0.0014743317882616256,8.279738191427438e-05,PASS,QUEUE_STABLE,0,,PASS,PASS
RDVG_B_20260919_S08,sanity,3,,2,6,2,LOW,945,945.0,30,180.0,180.0,180.0,164.83333333333334,27.466666666666665,27.47222222222222,15.033126350747198,910,916,False,33.731967741862896,,2023.9180645117738,,66.7093466204506,0,VALID,CLEAN,NORMAL,2,1.992330206366659,0.0,-0.0005578390749456284,0.0004640186545735756,PASS,UNSTABLE,0,,PASS,PASS
RDVG_B_20260919_S09,sanity,3,,2,6,2,MID,1260,1260.0,30,180.0,180.0,180.0,179.96666666666667,29.983333333333334,29.994444444444444,-0.011933189913104854,2,14,True,41.928145478224565,,2515.688728693474,0.23297728548744895,68.9593067590988,0,VALID,CLEAN,NORMAL,2,1.8078630013833328,0.0,-0.0029777225065216475,9.65104381327318e-05,PASS,QUEUE_STABLE,0,,PASS,PASS
RDVG_B_20260919_SMOKE_A,smoke,,,2,7,4,HIGH,1575,1575.0,30,210.0,210.0,210.0,209.7,29.9,29.957142857142856,0.01307937391105223,3,15,True,48.37310044951313,,483.7310044951313,0.2306776368598623,45.003884210526316,1,VALID,PROTECTION_LIMITED,NORMAL,4,3.2410335983000045,0.0,0.004964517760888949,-0.010764495944608736,PASS,QUEUE_STABLE,0,,PASS,PASS
RDVG_B_20260919_SMOKE_B,smoke,,,2,7,4,LOW,945,945.0,24,210.0,168.0,162.0,161.7,22.8,23.1,5.537498056187534,63,68,False,30.651549867025334,,306.51549867025335,,44.158489583333335,0,VALID,CLEAN,FRONTEND_LIMITED,4,3.5837562445000066,0.03571428571428571,5.470776563192281,6.80706668444733,PASS,UNSTABLE,0,,PASS,PASS
