stream_id,frame_id,scheduled_arrival_s,actual_arrival_enqueue_s,front_end_start_s,ready_s,inference_start_s,completion_s,scheduler_lag_ms,arrival_queue_wait_ms,scheduled_to_front_end_ms,front_end_observed_ms,ready_queue_wait_ms,inference_ms,local_e2e_ms
0,0,7226.467824083001,7226.467918521,7226.467994326,7226.625989474,7226.672475504,7226.676921667,0.0944379989959998,0.07580500005133217,0.17024299904733198,157.99514799982717,46.486030000778555,4.446162999556691,209.09758399920975
0,1,7226.5011574163345,7226.501230042,7226.626022687,7226.642850251,7226.736528001,7226.742732256,0.07262566577992402,124.79264499961573,124.86527066539566,16.82756399986829,93.67775000009715,6.204254999829573,241.57483966519067
0,2,7226.534490749667,7226.534556194,7226.64287201,7226.654486444,7226.787922158,7226.794067756,0.06544433290400775,108.31581599995843,108.38126033286244,11.614433999966423,133.43571399946086,6.14559800033021,259.57700633261993
0,3,7226.567824083001,7226.576651402,7226.654508897,7226.665353568,7226.815465123,7226.820065879,8.827318998555711,77.85749499998929,86.684813998545,10.844671000086237,150.11155499996676,4.600756000399997,252.241795998998
0,4,7226.601157416334,7226.601256313,7226.665369068,7226.710232663,7226.84481757,7226.849734475,0.09889666580420453,64.1127549997691,64.2116516655733,44.86359500060644,134.5849069994074,4.916905000754923,248.57705866634205
0,5,7226.634490749668,7226.634590317,7226.710257088,7226.724180313,7226.873007842,7226.878140463,0.0995673326542601,75.6667709993053,75.76633833195956,13.923225000326056,148.82752900030027,5.1326209995750105,243.6497133321609
0,6,7226.667824083001,7226.667906295,7226.724202887,7226.740670625,7226.901047392,7226.907093942,0.08221199914260069,56.29659199985326,56.37880399899586,16.46773800075607,160.37676699943404,6.046550000064599,239.26985899925057
0,7,7226.701157416334,7226.704061611,7226.740693134,7226.752541309,7226.939384978,7226.944370644,2.904194665461546,36.631523000323796,39.53571766578534,11.848174999613548,186.84366900015448,4.985665999811317,243.21322766536468
0,8,7226.734490749667,7226.735601828,7226.752562142,7226.760100591,7226.958509544,7226.962944299,1.1110783325420925,16.96031400024367,18.071392332785763,7.5384490000942606,198.40895299967087,4.434755000147561,228.45354933269846
0,9,7226.767824083001,7226.767927439,7226.767998781,7226.780492637,7226.976669215,7226.981556687,0.10335599927202566,0.0713419995008735,0.17469799877289915,12.493856000219239,196.1765779997222,4.8874720005187555,213.7326039992331
0,10,7226.801157416334,7226.801243916,7226.801337908,7226.814826498,7227.004558986,7227.0095763,0.08649966639495688,0.0939920000746497,0.18049166646960657,13.488589999724354,189.73248800011788,5.017313999815087,208.41888366612693
0,11,7226.834490749668,7226.834581124,7226.8346682,7226.84527846,7227.028476597,7227.032834944,0.09037433210323798,0.08707600045454456,0.17745033255778253,10.610260000248672,183.1981369996356,4.358346999651985,198.34419433209405
0,12,7226.867824083,7226.867911982,7226.867994649,7226.881124609,7227.071632986,7227.076415374,0.08789899948169477,0.08266700024250895,0.17056599972420372,13.129959999787388,190.5083769997873,4.7823880004216335,208.5912909997205
0,13,7226.901157416334,7226.901246365,7226.901421885,7226.913618154,7227.086034139,7227.09063069,0.08894866550690494,0.17552000008436153,0.26446866559126647,12.196269000014581,172.4159850000433,4.596550999849569,189.4732736654987
0,14,7226.934490749667,7226.934612582,7226.935668791,7226.948290211,7227.133779035,7227.139697519,0.1218323332068394,1.0562090001258184,1.1780413333326578,12.621419999959471,185.4888239995489,5.9184840001762495,205.2067693330173
0,15,7226.967824083001,7226.967915678,7226.968009058,7226.97874419,7227.146936587,7227.151837335,0.09159499950328609,0.09337999927083729,0.18497499877412338,10.735132000263548,168.19239699998434,4.90074800018192,184.01325199920393
0,16,7227.0011574163345,7227.001241505,7227.001325062,7227.013220274,7227.19051583,7227.195053948,0.08408866506215418,0.08355700083484408,0.16764566589699825,11.895211999217281,177.29555599999003,4.538118000709801,193.8965316658141
0,17,7227.034490749667,7227.034571018,7227.034648843,7227.044746128,7227.205325549,7227.210152604,0.08026833256735699,0.07782499960740097,0.15809333217475796,10.09728500048368,160.5794209999658,4.827054999623215,175.66185433224746
0,18,7227.067824083001,7227.067912161,7227.068098311,7227.07969603,7227.248372318,7227.252990075,0.0880779989529401,0.18614999953570077,0.2742279984886409,11.59771900074702,168.67628799991508,4.617756999323319,185.16599199847406
0,19,7227.101157416334,7227.101242045,7227.101405814,7227.116520876,7227.288999363,7227.293643222,0.08462866571790073,0.16376900020986795,0.24839766592776868,15.115062000404578,172.47848699935275,4.643859000680095,192.4858056663652
0,20,7227.134490749668,7227.134580122,7227.134671234,7227.147286941,7227.2936575,7227.298091403,0.08937233269534772,0.09111199960898375,0.18048433230433147,12.615706999895338,146.3705590003883,4.433903000062855,163.60065333265084
0,21,7227.167824083001,7227.167925477,7227.168033969,7227.180385758,7227.329814251,7227.334146442,0.10139399910258362,0.10849200043594465,0.20988599953852827,12.35178899969469,149.42849300041416,4.332190999775776,166.32235899942316
0,22,7227.201157416334,7227.201258898,7227.201348278,7227.210934098,7227.362665383,7227.367081065,0.10148166529688751,0.08938000064517837,0.19086166594206588,9.585819999301748,151.73128500009625,4.4156820003991015,165.92364866573917
0,23,7227.234490749667,7227.234578837,7227.234666346,7227.245224968,7227.397416525,7227.404956187,0.0880873330970644,0.08750899996812223,0.17559633306518663,10.558621999734896,152.19155700015108,7.539661999544478,170.46543733249564
0,24,7227.267824083001,7227.267907331,7227.267993156,7227.279117948,7227.433394267,7227.440759752,0.08324799910042202,0.08582499958720291,0.16907299868762493,11.124792000373418,154.2763190000187,7.365485000264016,172.93566899934376
0,25,7227.301157416334,7227.301242106,7227.301389005,7227.314063342,7227.466944079,7227.478529049,0.08468966643704334,0.14689899944642093,0.23158866588346427,12.674337000134983,152.880737000487,11.584969999603345,177.37163266610878
0,26,7227.334490749668,7227.334579814,7227.334665907,7227.346312489,7227.497317475,7227.504478338,0.08906433231459232,0.08609300039097434,0.17515733270556666,11.64658200013946,151.00498599986167,7.160862999626261,169.98758833233296
0,27,7227.367824083,7227.367914597,7227.368018329,7227.382948734,7227.533188057,7227.539819204,0.09051399956661044,0.10373199984314851,0.19424599940975895,14.930405000086466,150.2393230002781,6.631147000007331,171.99512099978165
0,28,7227.401157416334,7227.401241657,7227.401349427,7227.412483015,7227.564127251,7227.572531658,0.08424066618317738,0.10776999988593161,0.192010666069109,11.133588000120653,151.64423599981092,8.404406999943603,171.37424166594428
0,29,7227.434490749667,7227.434574449,7227.434718645,7227.450103163,7227.621637904,7227.626362077,0.08369933311769273,0.14419600029214052,0.22789533340983326,15.384517999336822,171.53474099995947,4.724172999885923,191.87132733259205
0,30,7227.467824083001,7227.467914381,7227.468131549,7227.483048675,7227.636257168,7227.641547715,0.09029799912241288,0.21716799983551027,0.30746599895792315,14.91712600000028,153.20849300042028,5.290547000186052,173.72363199956453
0,31,7227.5011574163345,7227.501234042,7227.501350913,7227.515490981,7227.682830085,7227.687725491,0.07662566531507764,0.1168710005003959,0.19349666581547353,14.140067999505845,167.33910400034802,4.8954059993775445,186.56807466504688
0,32,7227.534490749667,7227.534561129,7227.539172849,7227.54960146,7227.7062601,7227.71133734,0.07037933301035082,4.611719999957131,4.682099332967482,10.42861099995207,156.6586399994776,5.077239999991434,176.8465903323886
0,33,7227.567824083001,7227.56789505,7227.568029716,7227.582288006,7227.731079872,7227.739066211,0.07096699846442789,0.13466600012179697,0.20563299858622486,14.258290000725538,148.79186599955574,7.986339000126463,171.24212799899396
0,34,7227.601157416334,7227.601244201,7227.60132472,7227.609605265,7227.749427462,7227.754061857,0.08678466565470444,0.08051900022110203,0.16730366587580647,8.28054500016151,139.8221970002851,4.634394999811775,152.90444066613418
0,35,7227.634490749668,7227.634577001,7227.634662668,7227.644317303,7227.790869261,7227.795293674,0.08625133250461658,0.08566699943912681,0.1719183319437434,9.654635000515555,146.55195799969079,4.4244130003789905,160.80292433252907
0,36,7227.667824083001,7227.667911005,7227.667992301,7227.685092764,7227.847968988,7227.85267805,0.08692199935467215,0.08129599973472068,0.16821799908939283,17.10046300013346,162.87622399977408,4.709062000074482,184.85396699907142
0,37,7227.701157416334,7227.701244388,7227.701327546,7227.71500386,7227.86615691,7227.874333103,0.08697166595084127,0.08315800005220808,0.17012966600304935,13.676313999894774,151.15305000017543,8.176192999599152,173.1756866656724
0,38,7227.734490749667,7227.734576475,7227.734774957,7227.747425784,7227.893160288,7227.897606664,0.08572533261030912,0.19848200008709682,0.28420733269740595,12.6508270004706,145.73450399984722,4.446375999577867,163.1159143325931
0,39,7227.767824083001,7227.767928822,7227.768029461,7227.779300717,7227.921308987,7227.925725937,0.10473899874341441,0.10063900026580086,0.20537799900921527,11.271256000327412,142.0082699996783,4.416949999722419,157.90185399873735
0,40,7227.801157416334,7227.801261485,7227.801349651,7227.812566787,7227.950721906,7227.955324848,0.1040686665874091,0.08816599984129425,0.19223466642870335,11.217135999686434,138.15511899974808,4.602942000019539,154.16743166588276
0,41,7227.834490749668,7227.834579406,7227.834658684,7227.846925361,7227.978943216,7227.983832114,0.08865633208188228,0.07927800015750108,0.16793433223938337,12.266677000297932,132.01785499950347,4.888897999990149,149.34136433203093
0,42,7227.867824083,7227.867905799,7227.86804842,7227.878500968,7228.015685582,7228.020579312,0.08171599984052591,0.1426210001227446,0.2243369999632705,10.452547999193484,137.18461400003434,4.893730000731011,152.7552289999221
0,43,7227.901157416334,7227.901244647,7227.901321259,7227.911323248,7228.049813043,7228.054356401,0.08723066548554925,0.0766120001571835,0.16384266564273275,10.001989000556932,138.48979499925917,4.543358000773878,153.19898466623272
0,44,7227.934490749667,7227.934574837,7227.934651949,7227.946030798,7228.080209114,7228.085107465,0.08408733265241608,0.07711200032645138,0.16119933297886746,11.378848999811453,134.17831600054342,4.898350999610557,150.6167153329443
0,45,7227.967824083001,7227.96790612,7227.967979213,7227.978549187,7228.108894759,7228.113837944,0.08203699962905375,0.07309299962798832,0.15512999925704207,10.569973999736249,130.3455719998965,4.943185000229278,146.01386099911906
0,46,7228.0011574163345,7228.001237949,7228.001319347,7228.014986356,7228.141092738,7228.145871199,0.08053266537899617,0.08139800047501922,0.1619306658540154,13.667008999618702,126.1063820002164,4.778460999659728,144.71378266534884
0,47,7228.034490749667,7228.034574684,7228.034666129,7228.0443557,7228.176345123,7228.181908588,0.08393433290621033,0.09144499927060679,0.17537933217681712,9.689571000308206,131.98942300005,5.563464999795542,147.41783833233058
0,48,7228.067824083001,7228.067907308,7228.067984196,7228.079608815,7228.209776618,7228.214712496,0.08322499888890889,0.07688799996685702,0.1601129988557659,11.624619000031089,130.1678030004041,4.935877999741933,146.88841299903288
0,49,7228.101157416334,7228.101240255,7228.101315831,7228.111097586,7228.232982447,7228.239573529,0.08283866645797389,0.07557599928986747,0.15841466574784135,9.781755000403791,121.88486099967122,6.591082000340975,138.41611266616383
0,50,7228.134490749668,7228.134578564,7228.134660843,7228.145321641,7228.265124888,7228.27035987,0.08781433189142263,0.0822790007077856,0.17009333259920822,10.660797999662464,119.80324700016354,5.2349819998198655,135.86912033224507
0,51,7228.167824083001,7228.167906485,7228.168194514,7228.185333487,7228.319018179,7228.323836195,0.08240199895226397,0.28802900033042533,0.3704309992826893,17.138973000328406,133.6846919994059,4.818016000172065,156.01211199918907
0,52,7228.201157416334,7228.201236331,7228.201311684,7228.210980763,7228.332805577,7228.338619016,0.07891466520959511,0.07535300028393976,0.15426766549353488,9.669079000559577,121.82481399941025,5.813439000121434,137.4615996655848
0,53,7228.234490749667,7228.234573178,7228.234669159,7228.247585868,7228.362605015,7228.367066307,0.0824283324618591,0.09598100041330326,0.17840933287516236,12.916708999910043,115.0191469996571,4.461292000087269,132.57555733252957
0,54,7228.267824083001,7228.267911422,7228.2680352,7228.279271594,7228.391597135,7228.396203179,0.08733899903745623,0.12377799976093229,0.21111699879838852,11.236394000661676,112.32554099933623,4.606043999956455,128.37909599875275
0,55,7228.301157416334,7228.301238037,7228.301390843,7228.314115763,7228.426871168,7228.431266498,0.08062066626735032,0.15280600018741097,0.2334266664547613,12.724919999527629,112.75540499991621,4.3953300000794115,130.109081665978
0,56,7228.334490749668,7228.334562373,7228.334810097,7228.345225189,7228.477339396,7228.482314636,0.07162333258747822,0.24772399956418667,0.3193473321516649,10.415092000584991,132.11420700008603,4.975240000021586,147.82388633284427
0,57,7228.367824083,7228.367896164,7228.368170702,7228.380800603,7228.525608046,7228.530087988,0.07208099941635737,0.2745379997577402,0.34661899917409755,12.629901000764221,144.8074429999906,4.479941999306902,162.26390499923582
0,58,7228.401157416334,7228.40223609,7228.402602037,7228.416324907,7228.534551318,7228.543810784,1.0786736656882567,0.3659470003185561,1.4446206660068128,13.722869999583054,118.22641100025066,9.259466000003158,142.6533676658437
0,59,7228.434490749667,7228.434562386,7228.434631979,7228.45018548,7228.580527113,7228.586383414,0.07163633290474536,0.06959300026210258,0.14122933316684794,15.553500999885728,130.341633000171,5.856300999766972,151.89266433299053
0,60,7228.467824083001,7228.467894808,7228.467976317,7228.486110601,7228.619207434,7228.624340073,0.07072499920468545,0.0815089997558971,0.15223399896058254,18.134284000552725,133.09683299939934,5.132639000294148,156.5159899992068
0,61,7228.5011574163345,7228.501250211,7228.501598472,7228.516501367,7228.655687704,7228.660140756,0.09279466576117557,0.3482609999991837,0.44105566576035926,14.902894999977434,139.18633699995553,4.453051999917079,158.9833396656104
0,62,7228.534490749667,7228.534584188,7228.534800291,7228.548517023,7228.675795869,7228.680846386,0.0934383324420196,0.2161029997296282,0.3095413321716478,13.716732000830234,127.27884599917161,5.050517000199761,146.35563633237325
0,63,7228.567824083001,7228.567903082,7228.568116277,7228.582921126,7228.707230907,7228.711896321,0.07899899901531171,0.21319499956007348,0.2921939985753852,14.804849000029208,124.30978100019274,4.665413999646262,144.0722379984436
0,64,7228.601157416334,7228.601236411,7228.601462847,7228.618645051,7228.750998329,7228.755759632,0.07899466618255246,0.2264360000481247,0.30543066623067716,17.182204000164347,132.35327799975494,4.761303000123007,154.60221566627297
0,65,7228.634490749668,7228.634573054,7228.634814971,7228.64604618,7228.775707295,7228.784341971,0.08230433195421938,0.24191700049414067,0.32422133244836004,11.231208999561204,129.66111500008992,8.634675999928731,149.85122133202822
0,66,7228.667824083001,7228.66790077,7228.668090521,7228.67946999,7228.817385186,7228.822164008,0.0766869998187758,0.1897509991977131,0.2664379990164889,11.379469000530662,137.91519599999447,4.778821999934735,154.33992499947635
0,67,7228.701157416334,7228.701246394,7228.701329274,7228.713361162,7228.8334343,7228.842148745,0.08897766565496568,0.08288000026368536,0.17185766591865104,12.031887999910396,120.0731379994977,8.714444999895932,140.99132866522268
0,68,7228.734490749667,7228.734588462,7228.734866761,7228.750382362,7228.886379475,7228.891090324,0.09771233271749225,0.2782990004561725,0.37601133317366475,15.51560099960625,135.99711299957562,4.710849000730377,156.5995743330859
0,69,7228.767824083001,7228.767903336,7228.771433031,7228.782798195,7228.923002303,7228.927573642,0.07925299905764405,3.529694999997446,3.60894799905509,11.3651640003809,140.20410800003447,4.571338999994623,159.74955899946508
0,70,7228.801157416334,7228.801235451,7228.80132785,7228.815065072,7228.931975055,7228.940731834,0.07803466633049538,0.09239900009561097,0.17043366642610636,13.737221999690519,116.90998300036881,8.756778999668313,139.57441766615375
0,71,7228.834490749668,7228.834568667,7228.834802261,7228.850510614,7228.9815715,7228.986280109,0.07791733241901966,0.23359399983746698,0.31151133225648664,15.708353000263742,131.06088600034127,4.708608999862918,151.78935933272442
0,72,7228.867824083,7228.867898272,7228.867967337,7228.881727329,7229.016099567,7229.020862898,0.07418899986078031,0.06906499947945122,0.14325399934023153,13.759991999904742,134.37223800065112,4.763330999594473,153.03881499949057
0,73,7228.901157416334,7228.901239055,7228.901512287,7228.916986687,7229.034790557,7229.039538083,0.08163866550603416,0.2732319999267929,0.3548706654328271,15.474400000130117,117.80386999998882,4.7475259998464026,138.38066666539817
0,74,7228.934490749667,7228.934564199,7228.934882127,7228.949107315,7229.063196397,7229.067538059,0.07344933328568004,0.317927999276435,0.39137733256211504,14.22518800063699,114.08908199973666,4.3416620001153206,133.0473093330511
0,75,7228.967824083001,7228.967915241,7228.968340299,7228.981746677,7229.108140899,7229.113172408,0.09115799912251532,0.42505800047365483,0.5162159995961701,13.406377999672259,126.39422200027184,5.031508999309153,145.34832499884942
0,76,7229.0011574163345,7229.001232884,7229.001307616,7229.013747647,7229.122851887,7229.1273978,0.07546766573796049,0.07473200003005331,0.1501996657680138,12.440030999641749,109.10424000030616,4.545912999674329,126.24038366539025
0,77,7229.034490749667,7229.0345685,7229.035063198,7229.046805557,7229.164365971,7229.171887503,0.07775033282086952,0.4946979997839662,0.5724483326048357,11.742358999981661,117.56041399985406,7.521532000282605,137.39675333272316
0,78,7229.067824083001,7229.067897005,7229.068114941,7229.093367699,7229.209063101,7229.213943062,0.07292199916264508,0.21793599989905488,0.29085799906169996,25.25275799962401,115.6954019998011,4.8799610003698035,146.11897899885662
0,79,7229.101157416334,7229.101240149,7229.10131215,7229.116534158,7229.223723671,7229.228713475,0.08273266575997695,0.07200100026238943,0.15473366602236638,15.222007999909692,107.18951299986657,4.98980400061555,127.55605866641417
0,80,7229.134490749668,7229.134564912,7229.136211986,7229.14992056,7229.273265381,7229.27806112,0.07416233256662963,1.647073999265558,1.7212363318321877,13.708574000702356,123.34482099959132,4.795738999746391,143.57037033187225
0,81,7229.167824083001,7229.167912231,7229.16805438,7229.176216137,7229.292419485,7229.296840322,0.08814799912215676,0.1421490005668602,0.23029699968901696,8.161756999470526,116.20334800045384,4.420836999997846,129.01623899961123
0,82,7229.201157416334,7229.201256438,7229.20237237,7229.218020214,7229.321924004,7229.326720049,0.0990216658465215,1.1159320001752349,1.2149536660217564,15.647843999431643,103.90379000000394,4.796045000148297,125.56263266560563
0,83,7229.234490749667,7229.234607211,7229.23469234,7229.248199515,7229.347738606,7229.352564048,0.1164613331638975,0.08512899967172416,0.20159033283562167,13.507175000086136,99.53909100022429,4.825441999855684,118.07329833300173
0,84,7229.267824083001,7229.267913167,7229.268015631,7229.278444492,7229.386089849,7229.391265321,0.08908399922802346,0.10246399961033603,0.1915479988383595,10.428861000036704,107.64535700036504,5.175471999791625,123.44123799903173
0,85,7229.301157416334,7229.301242319,7229.30137769,7229.311871719,7229.413235829,7229.41805804,0.08490266645821976,0.13537099948734976,0.22027366594556952,10.494029000255978,101.36410999984946,4.822210999918752,116.90062366596976
0,86,7229.334490749668,7229.334583017,7229.334673073,7229.347011704,7229.44333312,7229.448258314,0.0922673325476353,0.09005599986267043,0.18232333241030574,12.338630999693123,96.3214160001371,4.925193999952171,113.7675643321927
0,87,7229.367824083,7229.368333949,7229.36841756,7229.385309336,7229.491573686,7229.496145979,0.5098659994473564,0.08361100026377244,0.5934769997111289,16.891776000193204,106.26434999994672,4.5722929999101325,128.32189599976118
0,88,7229.401157416334,7229.401246366,7229.401336034,7229.412524408,7229.517289936,7229.521965609,0.0889496659510769,0.08966800032794708,0.17861766627902398,11.188373999175383,104.76552800082573,4.675672999837843,120.80819266611798
0,89,7229.434490749667,7229.434576869,7229.434665138,7229.44410881,7229.544826113,7229.549782418,0.08611933299107477,0.08826900011627004,0.1743883331073448,9.443672000088554,100.71730300023773,4.956304999723216,115.29166833315685
0,90,7229.467824083001,7229.467903549,7229.467982837,7229.481361612,7229.583115293,7229.589092723,0.07946599907882046,0.07928800005174708,0.15875399913056754,13.378775000091991,101.7536810004458,5.977429999802553,121.2686399994709
0,91,7229.5011574163345,7229.501252414,7229.501352526,7229.516648071,7229.625970099,7229.630409299,0.0949976656556828,0.10011199992732145,0.19510966558300424,15.295545000299171,109.32202799995139,4.439199999978882,129.25188266581245
0,92,7229.534490749667,7229.534575641,7229.534662057,7229.544886474,7229.652314741,7229.656929063,0.08489133233524626,0.08641600015835138,0.17130733249359764,10.224417000245012,107.42826699970465,4.61432199972478,122.43831333216804
0,93,7229.567824083001,7229.567909896,7229.56810223,7229.581738711,7229.681592206,7229.686288306,0.08581299880461302,0.19233399962104158,0.2781469984256546,13.636481000503409,99.85349499947915,4.69610000072862,118.46422299913684
0,94,7229.601157416334,7229.601243595,7229.601326354,7229.615458264,7229.718211442,7229.722749078,0.08617866569693433,0.08275900017906679,0.16893766587600112,14.131910000287462,102.75317800005723,4.537635999440681,121.59166166566138
0,95,7229.634490749668,7229.63457183,7229.634651516,7229.647456049,7229.767673329,7229.77574328,0.08108033216558397,0.07968600039021112,0.1607663325557951,12.804532999325602,120.21728000036092,8.069950999924913,141.25253033216723
0,96,7229.667824083001,7229.667902725,7229.668160402,7229.679533463,7229.786783339,7229.791373753,0.07864199960749829,0.2576769993538619,0.3363189989613602,11.373061000085727,107.24987600042368,4.590413999721932,123.5496699991927
0,97,7229.701157416334,7229.701241895,7229.701322415,7229.71154322,7229.816974854,7229.821756824,0.08447866548522143,0.08051999975577928,0.1649986652410007,10.220805000244582,105.43163400052435,4.781969999385183,120.59940766539512
0,98,7229.734490749667,7229.734575363,7229.734642448,7229.754066895,7229.873828641,7229.878492166,0.08461333254672354,0.0670850004098611,0.15169833295658464,19.42444699943735,119.76174600022205,4.663525000069058,144.00141633268504
0,99,7229.767824083001,7229.767918433,7229.768015729,7229.784165594,7229.914792185,7229.919854055,0.09434999901714036,0.09729599969432456,0.19164599871146493,16.149865000443242,130.6265909997819,5.061869999735791,152.0299719986724
0,100,7229.801157416334,7229.801241,7229.802051931,7229.816334388,7229.933862538,7229.941461264,0.08358366631000536,0.8109310001600534,0.8945146664700587,14.282456999353599,117.52814999999828,7.598726000651368,140.3038476664733
0,101,7229.834490749668,7229.834568846,7229.834689829,7229.848835358,7229.960451089,7229.964966353,0.0780963327997597,0.12098299976059934,0.19907933256035903,14.145528999506496,111.6157310007111,4.515263999564922,130.47560333234287
0,102,7229.867824083,7229.867899424,7229.86805248,7229.877903274,7229.992436408,7229.996906304,0.07534099950134987,0.1530560002720449,0.22839699977339478,9.850794000158203,114.53313399942999,4.469896000045992,129.08222099940758
0,103,7229.901157416334,7229.901235094,7229.901379697,7229.92248519,7230.046758073,7230.052930505,0.07767766601318726,0.1446030000806786,0.22228066609386588,21.1054929995953,124.27288300023065,6.172432000312256,151.77308866623207
0,104,7229.934490749667,7229.934575375,7229.934742571,7229.946430356,7230.074643215,7230.079484195,0.08462533332931343,0.1671959998930106,0.25182133322232403,11.687784999594442,128.2128590000866,4.84098000015365,144.99344533305702
0,105,7229.967824083001,7229.967901758,7229.968092352,7229.99190423,7230.128936556,7230.133234699,0.07767499937472166,0.1905939998323447,0.26826899920706637,23.811877999833087,137.03232599982584,4.29814300059661,165.4106159994626
0,106,7230.0011574163345,7230.001232744,7230.001356401,7230.020021697,7230.151621198,7230.156452928,0.07532766539952718,0.12365699967631372,0.1989846650758409,18.665296000108356,131.5995009999824,4.831730000660173,155.29551166582678
0,107,7230.034490749667,7230.034566711,7230.034710461,7230.051673239,7230.165419124,7230.172019734,0.07596133218612522,0.1437500004612957,0.21971133264742093,16.962777999651735,113.74588500075333,6.600609999622975,137.52898433267546
0,108,7230.067824083001,7230.067898161,7230.068114421,7230.083893516,7230.218345652,7230.222994964,0.07407799876091303,0.21626000034302706,0.2903379991039401,15.779094999743393,134.45213599970884,4.649311999855854,155.17088099841203
0,109,7230.101157416334,7230.101238064,7230.10212504,7230.119060299,7230.257917958,7230.26230301,0.08064766643656185,0.8869759994922788,0.9676236659288406,16.93525900009263,138.85765899976832,4.38505200054351,161.1455936663333
0,110,7230.134490749668,7230.134566929,7230.134643985,7230.151256196,7230.273967082,7230.279070795,0.07617933260917198,0.07705600000917912,0.1532353326183511,16.612210999483068,122.71088600027724,5.103712999698473,144.58004533207713
0,111,7230.167824083001,7230.167906805,7230.168313936,7230.181109598,7230.31341209,7230.31818545,0.08272199920611456,0.40713100042921724,0.4898529996353318,12.795661999916774,132.30249200023536,4.773359999489912,150.36136699927738
