C,K,run_id,frames,local_latency_mean_ms,local_latency_median_ms,local_latency_p95_ms,local_latency_p99_ms,start_lag_mean_ms,front_end_mean_ms,queue_wait_mean_ms,queue_wait_p95_ms,inference_mean_ms,inference_p95_ms,deadline_miss_pct,peak_waiting_queue,time_weighted_waiting_queue,max_active_inferences,service_overlap_pair_count,service_overlap_time_ms,rep,offered_duration_s,wall_clock_duration_s,completion_elapsed_s,drain_after_offered_end_s,workers_actually_used
2,5,run01,4500,27.199883738222223,26.9344,32.35034445,133.20876543,1.2538789646666666,10.923140611555555,7.262791704888889,15.44941115,7.760072457111111,9.10496965,2.577777777777778,27,1.0953189758985533,2,3619,15331.697618,1,30,32.769180742,30.00041031,0.00041031,2
4,5,run01,4500,30.826126213777776,28.287513,33.7236095,143.2811006,1.4328309233333334,11.529138145333333,3.5806807066666666,15.1493352,14.283476438444444,18.2616049,6.022222222222222,21,0.5402761531832949,4,8199,16008.294962,1,30,32.815167302,30.000388582,0.000388582,4
7,5,run01,4500,40.93433119644445,32.670474,40.89184475,338.20615761,7.879410580222222,14.053387378222222,0.5054457542222223,0.8484204,18.496087483777778,25.2778339,41.333333333333336,15,0.07686122693776834,7,9351,19364.914959,1,30,33.378275196,30.007296372,0.007296372,7
2,6,run01,5400,33.25246000203704,28.247776,39.41501525,203.46095594,1.2796641533333333,11.886756040185185,11.525894584814814,16.90383685,8.560145223703703,9.88538605,33.55555555555556,42,2.0850337805820547,2,4539,22038.439407,1,30,32.634867769,30.011885823,0.011885823,2
4,6,run01,5400,35.12168943277778,29.482392,39.44405085,198.76734459,2.1921449444444443,12.262597706851851,6.293055039814814,16.39346615,14.373891741666666,18.50841115,34.75925925925926,23,1.1402334454718808,4,10970,22892.372071,1,30,32.935692258,30.009533431,0.009533431,4
7,6,run01,5400,55.60760835018519,37.472823,215.69222605,474.95159744,17.974414697962963,13.34747893462963,0.7615451624074074,0.9381108,23.524169555185185,27.0680259,84.74074074074075,22,0.13941103748943545,7,14126,23963.318778,1,30,33.775069123,30.010480855,0.010480855,7
2,7,run01,6300,126.52578282698413,99.6953915,262.6008807,275.53442229,1.44076343,13.440746178253969,102.66868728746032,238.0970126,8.97558593126984,11.9824003,74.39682539682539,56,21.648847413888795,2,6028,27036.500436,1,30,32.765508341,30.029552358,0.029552358,2
4,7,run01,6300,44.12843567253968,32.220854,131.0858585,249.2085819,3.3133003522222224,13.450858493015874,12.404404992380952,79.0059412,14.959871834920635,18.7856234,47.87301587301587,36,2.6225495975945465,4,14189,26440.788989,1,30,33.098200073,30.017450567,0.017450567,4
7,7,run01,6300,109.39315936396825,43.7231875,512.61398475,626.42949278,64.60306023952381,17.08841038793651,0.8632364528571429,1.41518545,26.838452283650792,32.5332894,96.80952380952381,19,0.18504408842731268,7,22959,28410.42134,1,30,33.84702999,30.0136438,0.0136438,7
7,7,run02,6300,104.21413053571429,43.644976,502.99802895,629.06294892,59.146371566190474,16.8256954084127,1.3387820420634922,1.5554986,26.90328151904762,32.558395,97.0,30,0.28687596226939044,7,22848,28407.829373,2,30,33.654795193,30.014470503,0.014470503,7
4,7,run02,6300,44.25919315888889,34.735623,118.7500799,233.52022457,2.295185796349206,14.070056792222223,12.651133987936507,70.09744405,15.242816582380952,19.15593165,51.17460317460318,39,2.6750379773650086,4,14464,26867.716934,2,30,33.258677455,30.009976149,0.009976149,4
2,7,run02,6300,232.34851282682538,231.5381805,261.52670085,274.46345864,1.502697542857143,14.780226459047618,206.6122811842857,236.7306832,9.45330764063492,13.64332485,100.0,56,43.48570027454053,2,6299,29521.44329,2,30,32.99667217,30.204201368,0.204201368,2
7,6,run02,5400,61.376045643518516,38.7501885,281.9818199,527.1114452,23.35791134666667,14.791006504444445,0.6339625535185185,1.1744156,22.59316523888889,27.67479895,80.25925925925925,16,0.11617819755688484,7,14288,24242.435882,2,30,33.539387245,30.004590109,0.004590109,7
4,6,run02,5400,39.56127373240741,28.9937485,41.2747401,319.20204303,4.9071491637037035,12.575393383518518,7.894071785370371,17.1986333,14.184659399814814,18.15997875,35.111111111111114,29,1.4353761080308947,4,11065,22516.535859,2,30,32.988772448,30.002385309,0.002385309,4
2,6,run02,5400,34.6104646437037,28.227941,58.04589485,225.67249835,1.6600136222222222,11.802734168333334,12.569354467592593,33.3319345,8.578362385555556,9.9762147,34.166666666666664,43,2.276385674823715,2,4548,22108.289282,2,30,32.633902421,30.005393873,0.005393873,2
7,5,run02,4500,40.61636130311111,32.0702945,37.25443035,356.14734285,8.06216240888889,12.04549190488889,0.52715971,0.8554551,19.981547279333334,23.98037455,20.355555555555554,17,0.08020636743781671,7,9269,19493.809934,2,30,33.384612188,30.006662332,0.006662332,7
4,5,run02,4500,30.274971055777776,27.5105255,32.75997775,152.15096003,1.5074622893333334,11.366835899555555,3.4850461831111113,14.0682357,13.915626683777777,17.6852332,3.4,23,0.5261914748927389,4,8205,15763.62965,2,30,32.876605481,30.004638108,0.004638108,4
2,5,run02,4500,27.29942214577778,26.868633,32.29653215,137.88542647,1.2479890548888888,11.185271295777778,7.152234065555556,15.17189185,7.7139277295555555,9.12047485,2.4444444444444446,30,1.0789636626313623,2,3620,15317.742079,2,30,32.471045631,30.001945028,0.001945028,2
