acquisition_id,round,trace,policy,phase,K,window,arrival_start_s,arrival_end_s,arrival_count,miss_count,DMR_percent,local_mean_ms,local_p95_ms,local_p99_ms,queue_mean_ms,queue_p95_ms,queue_p99_ms,service_mean_ms,service_p95_ms,service_p99_ms,start_lag_mean_ms,start_lag_p95_ms,start_lag_p99_ms,front_end_mean_ms,front_end_p95_ms,front_end_p99_ms,calendar_completed_fps,time_mean_ready_queue,peak_ready_queue,time_mean_unfinished_backlog,peak_unfinished_backlog,time_mean_generated_unfinished,peak_generated_unfinished,time_mean_A,peak_A
primary_03,1,A,K_LOOKUP_C2_C4,2,6,transition,30,31,180,59,32.7777777777778,28.6042995555556,38.35121715,39.38688666,7.42681096666667,15.9927876,16.60354333,8.61536041666667,9.82094115,11.59931221,0.552147872222222,1.7728897,3.69870348,12.0099803,14.3585325,15.33129709,181,1.336825974,4,5.170017492,9,5.142635453,9,1.572008447,3
primary_03,1,A,K_LOOKUP_C2_C4,2,6,phase_remainder,31,45,2520,825,32.7380952380952,28.7917933353175,38.78446705,40.26868799,7.50075557063492,16.00383935,16.96181449,8.69650486349206,9.97996845,11.25239384,0.622488782936508,1.95302109999999,3.73723792,11.972044118254,14.50391695,16.58814074,180,1.35013600271429,7,5.18242527792857,11,5.15299070785714,11,1.565273353,2
primary_03,1,A,K_LOOKUP_C2_C4,3,7,transition,45,46,210,91,43.3333333333333,34.4050223238095,45.3089089,46.90659238,5.64277427142857,15.21842275,16.04734135,14.8688292904762,18.35795155,19.498626,0.823068128571429,2.77700429999999,4.41832301,13.0703506333333,16.13503355,17.97237668,209,1.184982597,3,7.202676452,11,7.162122074,11,3.100075915,4
primary_03,1,A,K_LOOKUP_C2_C4,3,7,phase_remainder,46,60,2940,1338,45.5102040816327,34.8965960153061,45.4510283,47.90892082,5.66472362142857,15.4634622,17.05190893,15.0765672989796,18.9268608,21.386265,1.01753941666667,3.19422385,5.61738536000001,13.1377656782313,16.88163945,18.62884789,209.785714285714,1.189146666,6,7.32685538064286,14,7.27924712935714,14,3.16509464471429,4
primary_04,1,B,FIXED_C2,0,7,startup,0,1,210,210,100,287.453860514286,324.49465305,331.67079046,217.151634157143,275.230014,278.08856033,10.2020316,13.78936535,42.83041588,37.9437079095238,160.81399955,189.56205655,22.156486847619,29.7499614,218.78397971,154,38.624752061,60,52.880575283,65,52.755388943,65,1.634782323,2
primary_04,1,B,FIXED_C2,0,7,phase_remainder,1,15,2940,2356,80.1360544217687,118.197881534694,270.6438702,287.72943379,95.1317894581633,246.42338205,261.53933824,8.96394509591837,11.67536225,14.45894144,0.733671168027211,2.55526255,5.31455569000001,13.368475812585,17.3951297,19.83509987,213.785714285714,20.4757591989286,59,25.3549299240714,64,25.3190947774286,64,1.91771985921429,2
primary_04,1,B,FIXED_C2,1,6,transition,15,16,180,58,32.2222222222222,28.51910155,38.21374865,39.1330131,7.47360865,16.0622141,17.14285533,8.57411138333333,10.1109433,10.75254637,0.533304272222222,1.80362535,3.4043223,11.9380772444444,14.2478147,15.22796591,181,1.349172891,4,5.142316432,9,5.114501808,9,1.548294868,2
primary_04,1,B,FIXED_C2,1,6,phase_remainder,16,30,2520,818,32.4603174603175,28.6587398694444,38.5482695,39.70095499,7.38954492936508,15.95176395,16.93929282,8.65482975793651,10.0111413,10.92154995,0.569786662698413,1.87615535,3.29736316,12.0445785194444,14.66876805,16.24878542,180,1.33011808728571,4,5.15855542021429,8,5.12868642557143,8,1.55785160014286,2
primary_04,1,B,FIXED_C2,2,7,transition,30,31,210,88,41.9047619047619,31.5655446047619,44.22366495,45.70945167,9.5017781,22.40929645,23.58202725,8.48718666666667,10.35608855,12.04027724,0.715671138095238,2.6404013,4.96788381,12.8609087,16.1784187,16.92423562,209,1.9922231,5,6.617069828,10,6.57789059,10,1.773764962,2
primary_04,1,B,FIXED_C2,2,7,phase_remainder,31,45,2940,1299,44.1836734693878,32.2065966639456,45.5304575,49.23991616,9.93622343809524,22.773762,24.49679429,8.52643604557823,10.52927895,12.14309781,0.733841305102041,2.71579105,4.55135202,13.0100958751701,16.53426765,18.54137215,210,2.08656882771429,8,6.7635730715,13,6.72869708621429,13,1.79077743592857,2
