acquisition_id,round,trace,policy,phase,boundary_s,boundary_ns,K_before,K_after,C_before,C_after,logical_boundary_ns,notification_ns,apply_ns,cap_apply_delay_ms,offset_ms,sample_ns,sample_side,C,A,ready_queue,unfinished_backlog,generated_unfinished,due_not_generated,online_active_counter,observed_K,latest_event_seq,latest_event_ns,unfinished_slack_min_ms,unfinished_slack_p10_ms,unfinished_slack_median_ms,unfinished_slack_p90_ms,unfinished_late_count,unfinished_late_fraction,unfinished_urgent_5ms_count,unfinished_urgent_10ms_count,ready_slack_min_ms,ready_slack_p10_ms,ready_slack_median_ms,ready_slack_p90_ms,ready_late_count,ready_late_fraction,ready_urgent_5ms_count,ready_urgent_10ms_count,generated_slack_min_ms,generated_slack_p10_ms,generated_slack_median_ms,generated_slack_p90_ms,generated_late_count,generated_late_fraction,generated_urgent_5ms_count,generated_urgent_10ms_count
primary_01,1,B,FIXED_C4,2,30,85528225180489,6,7,4,4,85528225180489,85528225281565,85528225305250,0.124761,10,85528235180489,RIGHT_CONTINUOUS,4,1,0,7,7,0,1,7,23413,85528234818727,23.3333333333333,23.3333333333333,23.3333333333333,23.3333333333333,0,0,0,0,,,,,0,,0,0,23.3333333333333,23.3333333333333,23.3333333333333,23.3333333333333,0,0,0,0
primary_01,1,B,FIXED_C4,2,30,85528225180489,6,7,4,4,85528225180489,85528225281565,85528225305250,0.124761,20,85528245180489,RIGHT_CONTINUOUS,4,4,3,7,7,0,4,7,23422,85528243796450,13.3333333333333,13.3333333333333,13.3333333333333,13.3333333333333,0,0,0,0,13.3333333333333,13.3333333333333,13.3333333333333,13.3333333333333,0,0,0,0,13.3333333333333,13.3333333333333,13.3333333333333,13.3333333333333,0,0,0,0
primary_01,1,B,FIXED_C4,2,30,85528225180489,6,7,4,4,85528225180489,85528225281565,85528225305250,0.124761,50,85528275180489,RIGHT_CONTINUOUS,4,3,2,7,7,0,3,7,23447,85528274759482,16.6666663333333,16.6666663333333,16.6666663333333,16.6666663333333,0,0,0,0,16.6666663333333,16.6666663333333,16.6666663333333,16.6666663333333,0,0,0,0,16.6666663333333,16.6666663333333,16.6666663333333,16.6666663333333,0,0,0,0
primary_01,1,B,FIXED_C4,2,30,85528225180489,6,7,4,4,85528225180489,85528225281565,85528225305250,0.124761,100,85528325180489,RIGHT_CONTINUOUS,4,3,0,10,3,7,3,7,23485,85528322948055,-6.66666666666667e-07,-6.66666666666667e-07,33.3333333333333,33.3333333333333,3,0.3,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0
primary_01,1,B,FIXED_C4,2,30,85528225180489,6,7,4,4,85528225180489,85528225281565,85528225305250,0.124761,500,85528725180489,RIGHT_CONTINUOUS,4,3,0,10,3,7,3,7,23821,85528721756674,-6.66666666666667e-07,-6.66666666666667e-07,33.3333333333333,33.3333333333333,3,0.3,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0
primary_01,1,B,FIXED_C4,2,30,85528225180489,6,7,4,4,85528225180489,85528225281565,85528225305250,0.124761,1000,85529225180489,RIGHT_CONTINUOUS,4,4,1,12,5,7,4,7,24238,85529225062633,-6.66666666666667e-07,-6.66666666666667e-07,33.3333333333333,33.3333333333333,5,0.416666666666667,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,1,1,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,5,1,0,0
primary_01,1,B,FIXED_C4,3,45,85543225180489,7,6,4,4,85543225180489,85543225277052,85543225299468,0.118979,1,85543226180489,RIGHT_CONTINUOUS,4,4,0,10,10,0,4,6,36008,85543225429034,-1.00000066666667,-1.00000066666667,32.3333333333333,32.3333333333333,4,0.4,0,0,,,,,0,,0,0,-1.00000066666667,-1.00000066666667,32.3333333333333,32.3333333333333,4,0.4,0,0
primary_01,1,B,FIXED_C4,3,45,85543225180489,7,6,4,4,85543225180489,85543225277052,85543225299468,0.118979,5,85543230180489,RIGHT_CONTINUOUS,4,3,0,9,9,0,3,6,36009,85543229964929,-5.00000066666667,-5.00000066666667,28.3333333333333,28.3333333333333,3,0.333333333333333,0,0,,,,,0,,0,0,-5.00000066666667,-5.00000066666667,28.3333333333333,28.3333333333333,3,0.333333333333333,0,0
primary_01,1,B,FIXED_C4,3,45,85543225180489,7,6,4,4,85543225180489,85543225277052,85543225299468,0.118979,10,85543235180489,RIGHT_CONTINUOUS,4,3,0,9,9,0,3,6,36009,85543229964929,-10.0000006666667,-10.0000006666667,23.3333333333333,23.3333333333333,3,0.333333333333333,0,0,,,,,0,,0,0,-10.0000006666667,-10.0000006666667,23.3333333333333,23.3333333333333,3,0.333333333333333,0,0
primary_01,1,B,FIXED_C4,3,45,85543225180489,7,6,4,4,85543225180489,85543225277052,85543225299468,0.118979,20,85543245180489,RIGHT_CONTINUOUS,4,4,1,5,5,0,4,6,36024,85543244421264,13.3333333333333,13.3333333333333,13.3333333333333,13.3333333333333,0,0,0,0,13.3333333333333,13.3333333333333,13.3333333333333,13.3333333333333,0,0,0,0,13.3333333333333,13.3333333333333,13.3333333333333,13.3333333333333,0,0,0,0
primary_01,1,B,FIXED_C4,3,45,85543225180489,7,6,4,4,85543225180489,85543225277052,85543225299468,0.118979,50,85543275180489,RIGHT_CONTINUOUS,4,4,1,6,6,0,4,6,36045,85543273788691,16.6666663333333,16.6666663333333,16.6666663333333,16.6666663333333,0,0,0,0,16.6666663333333,16.6666663333333,16.6666663333333,16.6666663333333,0,0,0,0,16.6666663333333,16.6666663333333,16.6666663333333,16.6666663333333,0,0,0,0
primary_01,1,B,FIXED_C4,3,45,85543225180489,7,6,4,4,85543225180489,85543225277052,85543225299468,0.118979,100,85543325180489,RIGHT_CONTINUOUS,4,2,0,8,2,6,2,6,36076,85543320455308,-6.66666666666667e-07,-6.66666666666667e-07,33.3333333333333,33.3333333333333,2,0.25,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
primary_01,1,B,FIXED_C4,3,45,85543225180489,7,6,4,4,85543225180489,85543225277052,85543225299468,0.118979,500,85543725180489,RIGHT_CONTINUOUS,4,2,0,8,2,6,2,6,36364,85543720899825,-6.66666666666667e-07,-6.66666666666667e-07,33.3333333333333,33.3333333333333,2,0.25,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
primary_01,1,B,FIXED_C4,3,45,85543225180489,7,6,4,4,85543225180489,85543225277052,85543225299468,0.118979,1000,85544225180489,RIGHT_CONTINUOUS,4,2,0,8,2,6,2,6,36724,85544222327269,-6.66666666666667e-07,-6.66666666666667e-07,33.3333333333333,33.3333333333333,2,0.25,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
primary_02,1,A,FIXED_C2,1,15,85577271800980,6,7,2,2,85577271800980,85577271901636,85577271943571,0.142591,1,85577272800980,RIGHT_CONTINUOUS,2,2,0,9,9,0,2,7,10807,85577272091701,-1.00000066666667,-1.00000066666667,32.3333333333333,32.3333333333333,2,0.222222222222222,0,0,,,,,0,,0,0,-1.00000066666667,-1.00000066666667,32.3333333333333,32.3333333333333,2,0.222222222222222,0,0
primary_02,1,A,FIXED_C2,1,15,85577271800980,6,7,2,2,85577271800980,85577271901636,85577271943571,0.142591,5,85577276800980,RIGHT_CONTINUOUS,2,1,0,8,8,0,1,7,10808,85577273820612,-5.00000066666667,18.3333331333333,28.3333333333333,28.3333333333333,1,0.125,0,0,,,,,0,,0,0,-5.00000066666667,18.3333331333333,28.3333333333333,28.3333333333333,1,0.125,0,0
primary_02,1,A,FIXED_C2,1,15,85577271800980,6,7,2,2,85577271800980,85577271901636,85577271943571,0.142591,10,85577281800980,RIGHT_CONTINUOUS,2,0,0,7,7,0,0,7,10809,85577279377662,23.3333333333333,23.3333333333333,23.3333333333333,23.3333333333333,0,0,0,0,,,,,0,,0,0,23.3333333333333,23.3333333333333,23.3333333333333,23.3333333333333,0,0,0,0
primary_02,1,A,FIXED_C2,1,15,85577271800980,6,7,2,2,85577271800980,85577271901636,85577271943571,0.142591,20,85577291800980,RIGHT_CONTINUOUS,2,2,5,7,7,0,2,7,10818,85577291611434,13.3333333333333,13.3333333333333,13.3333333333333,13.3333333333333,0,0,0,0,13.3333333333333,13.3333333333333,13.3333333333333,13.3333333333333,0,0,0,0,13.3333333333333,13.3333333333333,13.3333333333333,13.3333333333333,0,0,0,0
primary_02,1,A,FIXED_C2,1,15,85577271800980,6,7,2,2,85577271800980,85577271901636,85577271943571,0.142591,50,85577321800980,RIGHT_CONTINUOUS,2,2,3,8,8,0,2,7,10841,85577321523502,-16.6666666666667,6.66666643333333,16.6666663333333,16.6666663333333,1,0.125,0,0,16.6666663333333,16.6666663333333,16.6666663333333,16.6666663333333,0,0,0,0,-16.6666666666667,6.66666643333333,16.6666663333333,16.6666663333333,1,0.125,0,0
