acquisition_id,round,trace,policy,phase,K,arrival_start_s,arrival_end_s,arrival_count,miss_count,DMR_percent,local_mean_ms,local_p95_ms,local_p99_ms,queue_mean_ms,queue_p95_ms,queue_p99_ms,service_mean_ms,service_p95_ms,service_p99_ms,start_lag_mean_ms,start_lag_p95_ms,start_lag_p99_ms,front_end_mean_ms,front_end_p95_ms,front_end_p99_ms,calendar_completed_fps,time_mean_ready_queue,peak_ready_queue,time_mean_unfinished_backlog,peak_unfinished_backlog,time_mean_generated_unfinished,peak_generated_unfinished,time_mean_A,peak_A
primary_01,1,B,FIXED_C4,0,7,0,15,3150,1687,53.5555555555556,57.3903464142857,222.16033755,293.92612517,23.6577848949206,161.3119871,198.23942199,15.1857401187302,19.1910922,22.5713464,4.37689926126984,5.05867364999999,155.973073619999,14.1699221393651,18.42880095,28.5340171099999,209.8,4.96813482793333,49,12.0504403026,67,11.994307041,67,3.18747298053333,4
primary_01,1,B,FIXED_C4,1,6,15,30,2700,885,32.7777777777778,31.119401257037,38.8026667,40.75719685,4.23953466296296,14.9535258,16.5083783,14.1251404288889,18.5786001,20.01289359,0.581689111851852,1.98259175,3.64744574999999,12.1730370533333,14.90652785,16.71585548,180.066666666667,0.763116239333333,4,5.60253358846667,12,5.57255868273333,12,2.5435666394,4
primary_01,1,B,FIXED_C4,2,7,30,45,3150,1433,45.4920634920635,34.5558410933333,45.52850465,48.20286734,5.42365650380952,15.0790213,16.96657905,14.9097398622222,18.84309845,21.37229074,0.929349427301587,3.27939685,5.15908078999999,13.2930953,16.986256,19.04279526,209.866666666667,1.1389678658,9,7.25411329433333,14,7.20729892853333,14,3.1284320358,4
primary_01,1,B,FIXED_C4,3,6,45,60,2700,853,31.5925925925926,30.8869606892593,38.7384522,40.19046008,4.17403369814815,14.71389305,16.32645152,14.0690805333333,18.38454525,19.78087023,0.554441601481481,1.88745345,3.16946814,12.0894048562963,14.79464605,16.61184541,180.133333333333,0.751326065666667,4,5.5619483978,10,5.53388767766667,10,2.53472996973333,4
primary_02,1,A,FIXED_C2,0,6,0,15,2700,1044,38.6666666666667,39.063107882963,142.27380995,201.128482349998,15.4791112262963,94.2138795999998,140.72159045,8.76942113333333,10.3745499,12.67585463,2.23570288518519,2.3839788,83.4190190499993,12.5788726381481,15.4851361,19.79585811,179.866666666667,2.78624002073333,34,7.03072180666667,40,6.9993454646,40,1.57785819173333,2
primary_02,1,A,FIXED_C2,1,7,15,30,3150,1418,45.015873015873,32.5293908079365,46.60471805,51.94900669,10.2391636869841,22.9104151,26.26396452,8.58670203269841,10.72399625,12.68784807,0.737856007301588,2.61000185,4.48588293999999,12.9656690809524,16.7740746,18.84974655,209.933333333333,2.149999127,8,6.83065829893333,13,6.7915482752,13,1.8029189034,2
primary_02,1,A,FIXED_C2,2,6,30,45,2700,852,31.5555555555556,28.5012093177778,38.5673118,40.03180634,7.30927877148148,15.833223,16.82404959,8.62028025111111,9.9386453,11.01353315,0.610892572962963,1.9823133,3.64337298999999,11.9607577222222,14.6226582,16.45950966,180.066666666667,1.31589542613333,6,5.13078290106667,11,5.10079230193333,11,1.5519904218,2
primary_02,1,A,FIXED_C2,3,7,45,60,3150,1348,42.7936507936508,31.688554752381,44.73325875,47.31302526,9.72825949936508,22.4585955,24.3948315,8.51777350126984,10.4773379,12.09667848,0.717590096825397,2.54569915,4.47731294,12.7249316549206,16.2428379,18.25150112,209.933333333333,2.0424161004,7,6.6533749268,12,6.61821088153333,12,1.78802925853333,2
primary_03,1,A,K_LOOKUP_C2_C4,0,6,0,15,2700,1125,41.6666666666667,49.7652864037037,218.8436707,321.76826385,23.5803482785185,162.27928255,214.73944823,8.8102922737037,10.51315165,13.28448024,4.55883315444444,3.04700845,171.607589439999,12.815812697037,15.70833975,19.38966196,179.866666666667,4.24446269013333,53,8.95710405306667,59,8.92136478246667,59,1.58520510966667,2
primary_03,1,A,K_LOOKUP_C2_C4,1,7,15,30,3150,1426,45.2698412698413,34.7417582971429,45.3225286,47.67914999,5.49974649396825,15.2268532,17.04986917,15.0027547142857,18.99815055,21.65776092,0.975435271111111,3.3204765,4.98630411999999,13.2638218177778,17.04241635,18.81551801,209.933333333333,1.15494676373333,5,7.29445558906667,13,7.25227016573333,13,3.14926483666667,4
primary_03,1,A,K_LOOKUP_C2_C4,2,6,30,45,2700,884,32.7407407407407,28.77929375,38.74671185,40.26390479,7.49582593037037,16.00383935,16.93331129,8.6910952337037,9.9789616,11.29527002,0.617799388888889,1.94555025,3.74256434,11.974573197037,14.48927875,16.54858967,180.066666666667,1.34924866746667,7,5.1815980922,11,5.15230035753333,11,1.56572235926667,3
primary_03,1,A,K_LOOKUP_C2_C4,3,7,45,60,3150,1429,45.3650793650794,34.863824435873,45.4530613,47.77986343,5.66326033142857,15.41577215,16.9333191,15.0627180984127,18.89865895,21.27054897,1.00457466412698,3.16601975,5.55934172,13.1332713419048,16.84455815,18.57398742,209.733333333333,1.1888690614,6,7.3185767854,14,7.27143879233333,14,3.16076006273333,4
primary_04,1,B,FIXED_C2,0,7,0,15,3150,2566,81.4603174603175,129.481613466667,285.48286555,308.87863141,103.266445771429,256.0691335,270.98693525,9.04648419619048,11.90659685,14.67174393,3.21434028412698,3.66985959999999,119.10315962,13.9543432149206,17.95886795,21.30734062,209.8,21.6856920564,60,27.189972948,65,27.1481810551333,65,1.8988573568,2
primary_04,1,B,FIXED_C2,1,6,15,30,2700,876,32.4444444444444,28.6494306481482,38.5296828,39.67870429,7.39514917740741,15.9742201,16.97722475,8.64944853296296,10.0176802,10.91979395,0.567354503333333,1.86903695,3.36088169999999,12.0374784344444,14.6398542,16.23487982,180.066666666667,1.33138840753333,4,5.157472821,9,5.1277407844,9,1.55721448466667,2
primary_04,1,B,FIXED_C2,2,7,30,45,3150,1387,44.031746031746,32.16385986,45.4104703,49.15248422,9.90726041555556,22.7727571,24.4132428,8.52381942031746,10.52170735,12.13952571,0.73262996063492,2.69190124999999,4.55390391,13.0001500634921,16.51267625,18.52803632,209.933333333333,2.08027911253333,8,6.7538061886,13,6.7186433198,13,1.789643271,2
primary_04,1,B,FIXED_C2,3,6,45,60,2700,876,32.4444444444444,28.5060551855556,38.259552,39.24791135,7.4069594362963,15.99210915,16.81535988,8.64623407814815,9.8659386,10.67566457,0.574662344074074,1.8790066,3.20170959,11.878199327037,14.28815405,16.26849106,180.066666666667,1.33349827326667,4,5.13211466326667,9,5.1035117956,9,1.5571012892,2
primary_05,1,B,K_LOOKUP_C2_C4,0,7,0,15,3150,1714,54.4126984126984,53.2320867806349,192.65700945,248.8288113,20.5520358431746,131.9171469,181.69085327,15.3648573190476,19.60674195,23.31208407,3.16152427047619,4.21712555,104.19035106,14.1536693479365,18.7013979,22.9878289,209.8,4.31592752706667,47,11.1771731434,58,11.1224182584667,57,3.22505495646667,4
primary_05,1,B,K_LOOKUP_C2_C4,1,6,15,30,2700,871,32.2592592592593,28.6478168237037,38.5482262,40.00057633,7.31586856703704,15.76881005,16.83088392,8.61616411962963,10.028208,11.02827005,0.587127591111111,1.93430835,3.59626527999999,12.1286565459259,14.78845925,16.60425902,180.066666666667,1.31685634206667,4,5.15768311273333,9,5.12775147886667,9,1.551985626,3
primary_05,1,B,K_LOOKUP_C2_C4,2,7,30,45,3150,1434,45.5238095238095,34.6962292111111,45.33403725,47.91595145,5.45641310190476,15.2143683,16.8338553,14.9496836822222,18.833414,21.14327838,0.933869636190476,3.17690275,5.00641882999999,13.3562627907937,17.2369556,19.54273341,209.933333333333,1.1458467514,6,7.28568587033333,14,7.23956197606667,14,3.13891130926667,4
primary_05,1,B,K_LOOKUP_C2_C4,3,6,45,60,2700,872,32.2962962962963,28.5921345496296,38.44703225,39.67444201,7.34803904666667,15.80373955,16.92378703,8.63035092,9.92401585,11.23225741,0.544423975925926,1.8492926,2.99565095999999,12.069320607037,14.62426015,16.42334127,180.066666666667,1.3226470284,4,5.147110211,9,5.11838994986667,9,1.55398915766667,3
primary_06,1,A,FIXED_C4,0,6,0,15,2700,1003,37.1481481481481,40.4373385151852,117.544171049999,245.60232556,10.032679227037,61.2401987999997,136.28611047,14.3468323148148,18.9279151,21.4936481799999,3.12685771518519,2.66515645,116.339321029999,12.9309692581481,16.06260445,21.20922971,179.866666666667,1.80588226086667,39,7.27778322366667,52,7.24518437333333,52,2.5814921076,4
primary_06,1,A,FIXED_C4,1,7,15,30,3150,1439,45.6825396825397,34.6628796638095,45.4415193,47.95924705,5.45892434603175,15.27030885,17.03148834,14.9330582234921,19.06807205,21.48168447,0.949327558730159,3.3641286,5.0064992,13.3215695355556,16.92639145,18.91742356,209.8,1.14634571313333,6,7.2784080168,14,7.23446090186667,14,3.13517391386667,4
primary_06,1,A,FIXED_C4,2,6,30,45,2700,872,32.2962962962963,30.9937937640741,38.7285186,40.69302474,4.1664339662963,14.5551428,16.23849455,14.108503382963,18.3964772,19.72247396,0.602773373703704,1.96815325,3.39973102999999,12.1160830411111,14.83165005,16.33834446,180.2,0.749986513466667,4,5.57945490746667,12,5.54868652753333,12,2.54007423933333,4
primary_06,1,A,FIXED_C4,3,7,45,60,3150,1424,45.2063492063492,34.483824735873,45.1038616,47.84139627,5.41423928952381,15.05849845,16.63728517,14.8886878174603,18.98579915,21.13261866,0.957997643492064,3.38390695,5.51754523999997,13.2228999853968,16.73974545,18.53322866,209.933333333333,1.1369902508,5,7.2405630166,14,7.1937507134,14,3.12558426373333,4
primary_07,2,B,FIXED_C2,0,7,0,15,3150,3150,100,345.31377609746,373.2721638,385.84315533,316.203839914921,345.0460674,351.26621665,9.42048449174603,12.92201515,16.0162216,5.02998445174603,4.61241175,184.53771669,14.6594672390476,18.7225855,22.07808379,206.2,65.9484290360667,77,72.0288102857333,82,71.9886037611333,82,1.9455963946,2
