trace,round,phase,K,window,fixed,lookup_acquisition,fixed_acquisition,DMR_percent_lookup,DMR_percent_fixed,delta_DMR_percent,miss_count_lookup,miss_count_fixed,delta_miss_count,queue_mean_ms_lookup,queue_mean_ms_fixed,delta_queue_mean_ms,queue_p95_ms_lookup,queue_p95_ms_fixed,delta_queue_p95_ms,service_mean_ms_lookup,service_mean_ms_fixed,delta_service_mean_ms,service_p95_ms_lookup,service_p95_ms_fixed,delta_service_p95_ms,local_mean_ms_lookup,local_mean_ms_fixed,delta_local_mean_ms,local_p95_ms_lookup,local_p95_ms_fixed,delta_local_p95_ms,start_lag_mean_ms_lookup,start_lag_mean_ms_fixed,delta_start_lag_mean_ms,front_end_mean_ms_lookup,front_end_mean_ms_fixed,delta_front_end_mean_ms,time_mean_ready_queue_lookup,time_mean_ready_queue_fixed,delta_time_mean_ready_queue,time_mean_unfinished_backlog_lookup,time_mean_unfinished_backlog_fixed,delta_time_mean_unfinished_backlog,calendar_completed_fps_lookup,calendar_completed_fps_fixed,delta_calendar_completed_fps
A,1,0,6,whole_phase,FIXED_C2,primary_03,primary_02,41.6666666666667,38.6666666666667,3.00000000000001,1125,1044,81,23.5803482785185,15.4791112262963,8.10123705222222,162.27928255,94.2138795999998,68.06540295,8.8102922737037,8.76942113333333,0.0408711403703705,10.51315165,10.3745499,0.138601749999999,49.7652864037037,39.063107882963,10.7021785207407,218.8436707,142.27380995,76.5698607500002,4.55883315444444,2.23570288518519,2.32313026925926,12.815812697037,12.5788726381481,0.236940058888889,4.24446269013333,2.78624002073333,1.4582226694,8.95710405306667,7.03072180666667,1.9263822464,179.866666666667,179.866666666667,0
A,1,0,6,whole_phase,FIXED_C4,primary_03,primary_06,41.6666666666667,37.1481481481481,4.51851851851853,1125,1003,122,23.5803482785185,10.032679227037,13.5476690514815,162.27928255,61.2401987999997,101.03908375,8.8102922737037,14.3468323148148,-5.53654004111111,10.51315165,18.9279151,-8.41476345,49.7652864037037,40.4373385151852,9.32794788851852,218.8436707,117.544171049999,101.299499650001,4.55883315444444,3.12685771518519,1.43197543925926,12.815812697037,12.9309692581481,-0.115156561111109,4.24446269013333,1.80588226086667,2.43858042926667,8.95710405306667,7.27778322366667,1.6793208294,179.866666666667,179.866666666667,0
A,1,1,7,whole_phase,FIXED_C2,primary_03,primary_02,45.2698412698413,45.015873015873,0.25396825396826,1426,1418,8,5.49974649396825,10.2391636869841,-4.73941719301587,15.2268532,22.9104151,-7.68356190000001,15.0027547142857,8.58670203269841,6.4160526815873,18.99815055,10.72399625,8.2741543,34.7417582971429,32.5293908079365,2.21236748920635,45.3225286,46.60471805,-1.28218944999998,0.975435271111111,0.737856007301588,0.237579263809524,13.2638218177778,12.9656690809524,0.298152736825397,1.15494676373333,2.149999127,-0.995052363266667,7.29445558906667,6.83065829893333,0.463797290133333,209.933333333333,209.933333333333,0
A,1,1,7,whole_phase,FIXED_C4,primary_03,primary_06,45.2698412698413,45.6825396825397,-0.412698412698411,1426,1439,-13,5.49974649396825,5.45892434603175,0.0408221479365078,15.2268532,15.27030885,-0.0434556500000003,15.0027547142857,14.9330582234921,0.0696964907936515,18.99815055,19.06807205,-0.0699214999999995,34.7417582971429,34.6628796638095,0.078878633333332,45.3225286,45.4415193,-0.118990699999998,0.975435271111111,0.949327558730159,0.0261077123809523,13.2638218177778,13.3215695355556,-0.0577477177777794,1.15494676373333,1.14634571313333,0.00860105059999983,7.29445558906667,7.2784080168,0.0160475722666664,209.933333333333,209.8,0.133333333333326
A,1,2,6,whole_phase,FIXED_C2,primary_03,primary_02,32.7407407407407,31.5555555555556,1.18518518518519,884,852,32,7.49582593037037,7.30927877148148,0.186547158888888,16.00383935,15.833223,0.17061635,8.6910952337037,8.62028025111111,0.0708149825925926,9.9789616,9.9386453,0.0403163000000006,28.77929375,28.5012093177778,0.278084432222226,38.74671185,38.5673118,0.179400050000005,0.617799388888889,0.610892572962963,0.0069068159259259,11.974573197037,11.9607577222222,0.0138154748148143,1.34924866746667,1.31589542613333,0.0333532413333333,5.1815980922,5.13078290106667,0.0508151911333332,180.066666666667,180.066666666667,0
A,1,2,6,whole_phase,FIXED_C4,primary_03,primary_06,32.7407407407407,32.2962962962963,0.444444444444443,884,872,12,7.49582593037037,4.1664339662963,3.32939196407407,16.00383935,14.5551428,1.44869655,8.6910952337037,14.108503382963,-5.41740814925926,9.9789616,18.3964772,-8.4175156,28.77929375,30.9937937640741,-2.21450001407408,38.74671185,38.7285186,0.0181932500000102,0.617799388888889,0.602773373703704,0.0150260151851852,11.974573197037,12.1160830411111,-0.141509844074076,1.34924866746667,0.749986513466667,0.599262154,5.1815980922,5.57945490746667,-0.397856815266667,180.066666666667,180.2,-0.133333333333326
A,1,3,7,whole_phase,FIXED_C2,primary_03,primary_02,45.3650793650794,42.7936507936508,2.57142857142857,1429,1348,81,5.66326033142857,9.72825949936508,-4.06499916793651,15.41577215,22.4585955,-7.04282335,15.0627180984127,8.51777350126984,6.54494459714286,18.89865895,10.4773379,8.42132105,34.863824435873,31.688554752381,3.17526968349206,45.4530613,44.73325875,0.719802550000018,1.00457466412698,0.717590096825397,0.286984567301587,13.1332713419048,12.7249316549206,0.408339686984126,1.1888690614,2.0424161004,-0.853547039,7.3185767854,6.6533749268,0.665201858600001,209.733333333333,209.933333333333,-0.200000000000017
A,1,3,7,whole_phase,FIXED_C4,primary_03,primary_06,45.3650793650794,45.2063492063492,0.158730158730165,1429,1424,5,5.66326033142857,5.41423928952381,0.249021041904763,15.41577215,15.05849845,0.3572737,15.0627180984127,14.8886878174603,0.174030280952383,18.89865895,18.98579915,-0.0871401999999932,34.863824435873,34.483824735873,0.379999699999999,45.4530613,45.1038616,0.349199700000007,1.00457466412698,0.957997643492064,0.0465770206349205,13.1332713419048,13.2228999853968,-0.0896286434920626,1.1888690614,1.1369902508,0.0518788105999999,7.3185767854,7.2405630166,0.0780137688,209.733333333333,209.933333333333,-0.200000000000017
B,1,0,7,whole_phase,FIXED_C2,primary_05,primary_04,54.4126984126984,81.4603174603175,-27.047619047619,1714,2566,-852,20.5520358431746,103.266445771429,-82.714409928254,131.9171469,256.0691335,-124.1519866,15.3648573190476,9.04648419619048,6.31837312285714,19.60674195,11.90659685,7.70014509999999,53.2320867806349,129.481613466667,-76.2495266860317,192.65700945,285.48286555,-92.8258561,3.16152427047619,3.21434028412698,-0.0528160136507938,14.1536693479365,13.9543432149206,0.199326133015873,4.31592752706667,21.6856920564,-17.3697645293333,11.1771731434,27.189972948,-16.0127998046,209.8,209.8,0
B,1,0,7,whole_phase,FIXED_C4,primary_05,primary_01,54.4126984126984,53.5555555555556,0.857142857142854,1714,1687,27,20.5520358431746,23.6577848949206,-3.10574905174603,131.9171469,161.3119871,-29.3948402000001,15.3648573190476,15.1857401187302,0.17911720031746,19.60674195,19.1910922,0.415649749999993,53.2320867806349,57.3903464142857,-4.15825963365079,192.65700945,222.16033755,-29.5033281,3.16152427047619,4.37689926126984,-1.21537499079365,14.1536693479365,14.1699221393651,-0.0162527914285686,4.31592752706667,4.96813482793333,-0.652207300866666,11.1771731434,12.0504403026,-0.873267159200001,209.8,209.8,0
