trace,round,phase,K_before,K_after,fixed,sample,offset_ms,A_lookup,A_fixed,delta_A,ready_queue_lookup,ready_queue_fixed,delta_ready_queue,unfinished_backlog_lookup,unfinished_backlog_fixed,delta_unfinished_backlog,generated_unfinished_lookup,generated_unfinished_fixed,delta_generated_unfinished,due_not_generated_lookup,due_not_generated_fixed,delta_due_not_generated,unfinished_late_count_lookup,unfinished_late_count_fixed,delta_unfinished_late_count,unfinished_late_fraction_lookup,unfinished_late_fraction_fixed,delta_unfinished_late_fraction,unfinished_slack_p10_ms_lookup,unfinished_slack_p10_ms_fixed,delta_unfinished_slack_p10_ms,unfinished_slack_median_ms_lookup,unfinished_slack_median_ms_fixed,delta_unfinished_slack_median_ms
A,1,3,6,7,FIXED_C4,evolution,100,3,3,0,0,0,0,10,10,0,3,3,0,7,7,0,3,3,0,0.3,0.3,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
A,1,3,6,7,FIXED_C2,evolution,500,3,2,1,0,1,-1,10,10,0,3,3,0,7,7,0,3,3,0,0.3,0.3,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
A,1,3,6,7,FIXED_C4,evolution,500,3,3,0,0,0,0,10,10,0,3,3,0,7,7,0,3,3,0,0.3,0.3,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
A,1,3,6,7,FIXED_C2,evolution,1000,3,2,1,0,1,-1,10,10,0,3,3,0,7,7,0,3,3,0,0.3,0.3,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
A,1,3,6,7,FIXED_C4,evolution,1000,3,3,0,0,0,0,10,10,0,3,3,0,7,7,0,3,3,0,0.3,0.3,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
B,1,1,7,6,FIXED_C2,evolution,1,3,2,1,0,1,-1,9,9,0,9,9,0,0,0,0,3,3,0,0.333333333333333,0.333333333333333,0,-1.00000066666667,-1.00000066666667,0,32.3333333333333,32.3333333333333,0
B,1,1,7,6,FIXED_C4,evolution,1,3,3,0,0,0,0,9,9,0,9,9,0,0,0,0,3,3,0,0.333333333333333,0.333333333333333,0,-1.00000066666667,-1.00000066666667,0,32.3333333333333,32.3333333333333,0
B,1,1,7,6,FIXED_C2,evolution,5,3,1,2,0,0,0,9,7,2,9,7,2,0,0,0,3,1,2,0.333333333333333,0.142857142857143,0.19047619047619,-5.00000066666667,14.9999997333333,-20.0000004,28.3333333333333,28.3333333333333,0
B,1,1,7,6,FIXED_C4,evolution,5,3,3,0,0,0,0,9,9,0,9,9,0,0,0,0,3,3,0,0.333333333333333,0.333333333333333,0,-5.00000066666667,-5.00000066666667,0,28.3333333333333,28.3333333333333,0
B,1,1,7,6,FIXED_C2,evolution,10,0,0,0,0,0,0,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,23.3333333333333,23.3333333333333,0,23.3333333333333,23.3333333333333,0
B,1,1,7,6,FIXED_C4,evolution,10,0,1,-1,0,0,0,6,7,-1,6,7,-1,0,0,0,0,1,-1,0,0.142857142857143,-0.142857142857143,23.3333333333333,9.99999973333333,13.3333336,23.3333333333333,23.3333333333333,0
B,1,1,7,6,FIXED_C2,evolution,20,2,2,0,3,3,0,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,13.3333333333333,13.3333333333333,0,13.3333333333333,13.3333333333333,0
B,1,1,7,6,FIXED_C4,evolution,20,2,4,-2,3,2,1,5,6,-1,5,6,-1,0,0,0,0,0,0,0,0,0,13.3333333333333,13.3333333333333,0,13.3333333333333,13.3333333333333,0
B,1,1,7,6,FIXED_C2,evolution,50,2,2,0,4,4,0,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,16.6666663333333,16.6666663333333,0,16.6666663333333,16.6666663333333,0
B,1,1,7,6,FIXED_C4,evolution,50,2,3,-1,4,1,3,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,16.6666663333333,16.6666663333333,0,16.6666663333333,16.6666663333333,0
B,1,1,7,6,FIXED_C2,evolution,100,2,2,0,0,0,0,8,8,0,2,2,0,6,6,0,2,2,0,0.25,0.25,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
B,1,1,7,6,FIXED_C4,evolution,100,2,4,-2,0,2,-2,8,12,-4,2,6,-4,6,6,0,2,6,-4,0.25,0.5,-0.25,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,16.6666663333333,16.666667
B,1,1,7,6,FIXED_C2,evolution,500,2,2,0,0,0,0,8,8,0,2,2,0,6,6,0,2,2,0,0.25,0.25,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
B,1,1,7,6,FIXED_C4,evolution,500,2,2,0,0,0,0,8,8,0,2,2,0,6,6,0,2,2,0,0.25,0.25,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
B,1,1,7,6,FIXED_C2,evolution,1000,2,2,0,0,0,0,8,8,0,2,2,0,6,6,0,2,2,0,0.25,0.25,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
B,1,1,7,6,FIXED_C4,evolution,1000,2,1,1,0,0,0,8,7,1,2,1,1,6,6,0,2,1,1,0.25,0.142857142857143,0.107142857142857,-6.66666666666667e-07,19.9999997333333,-20.0000004,33.3333333333333,33.3333333333333,0
B,1,2,6,7,FIXED_C2,evolution,1,2,2,0,0,0,0,9,9,0,9,9,0,0,0,0,2,2,0,0.222222222222222,0.222222222222222,0,-1.00000066666667,-1.00000066666667,0,32.3333333333333,32.3333333333333,0
B,1,2,6,7,FIXED_C4,evolution,1,2,2,0,0,0,0,9,9,0,9,9,0,0,0,0,2,2,0,0.222222222222222,0.222222222222222,0,-1.00000066666667,-1.00000066666667,0,32.3333333333333,32.3333333333333,0
B,1,2,6,7,FIXED_C2,evolution,5,1,0,1,0,0,0,8,7,1,8,7,1,0,0,0,1,0,1,0.125,0,0.125,18.3333331333333,28.3333333333333,-10.0000002,28.3333333333333,28.3333333333333,0
B,1,2,6,7,FIXED_C4,evolution,5,1,0,1,0,0,0,8,7,1,8,7,1,0,0,0,1,0,1,0.125,0,0.125,18.3333331333333,28.3333333333333,-10.0000002,28.3333333333333,28.3333333333333,0
B,1,2,6,7,FIXED_C2,evolution,10,0,0,0,0,0,0,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,23.3333333333333,23.3333333333333,0,23.3333333333333,23.3333333333333,0
B,1,2,6,7,FIXED_C4,evolution,10,0,1,-1,0,0,0,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,23.3333333333333,23.3333333333333,0,23.3333333333333,23.3333333333333,0
B,1,2,6,7,FIXED_C2,evolution,20,4,2,2,2,5,-3,6,7,-1,6,7,-1,0,0,0,0,0,0,0,0,0,13.3333333333333,13.3333333333333,0,13.3333333333333,13.3333333333333,0
B,1,2,6,7,FIXED_C4,evolution,20,4,4,0,2,3,-1,6,7,-1,6,7,-1,0,0,0,0,0,0,0,0,0,13.3333333333333,13.3333333333333,0,13.3333333333333,13.3333333333333,0
B,1,2,6,7,FIXED_C2,evolution,50,3,2,1,1,3,-2,7,6,1,7,6,1,0,0,0,0,0,0,0,0,0,16.6666663333333,16.6666663333333,0,16.6666663333333,16.6666663333333,0
B,1,2,6,7,FIXED_C4,evolution,50,3,3,0,1,2,-1,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,16.6666663333333,16.6666663333333,0,16.6666663333333,16.6666663333333,0
B,1,2,6,7,FIXED_C2,evolution,100,3,2,1,0,1,-1,10,10,0,3,3,0,7,7,0,3,3,0,0.3,0.3,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
B,1,2,6,7,FIXED_C4,evolution,100,3,3,0,0,0,0,10,10,0,3,3,0,7,7,0,3,3,0,0.3,0.3,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
B,1,2,6,7,FIXED_C2,evolution,500,3,2,1,0,1,-1,10,10,0,3,3,0,7,7,0,3,3,0,0.3,0.3,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
B,1,2,6,7,FIXED_C4,evolution,500,3,3,0,0,0,0,10,10,0,3,3,0,7,7,0,3,3,0,0.3,0.3,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
B,1,2,6,7,FIXED_C2,evolution,1000,3,2,1,0,1,-1,10,10,0,3,3,0,7,7,0,3,3,0,0.3,0.3,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
B,1,2,6,7,FIXED_C4,evolution,1000,3,4,-1,0,1,-1,10,12,-2,3,5,-2,7,7,0,3,5,-2,0.3,0.416666666666667,-0.116666666666667,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
B,1,3,7,6,FIXED_C2,evolution,1,3,2,1,0,1,-1,9,9,0,9,9,0,0,0,0,3,3,0,0.333333333333333,0.333333333333333,0,-1.00000066666667,-1.00000066666667,0,32.3333333333333,32.3333333333333,0
B,1,3,7,6,FIXED_C4,evolution,1,3,4,-1,0,0,0,9,10,-1,9,10,-1,0,0,0,3,4,-1,0.333333333333333,0.4,-0.066666666666667,-1.00000066666667,-1.00000066666667,0,32.3333333333333,32.3333333333333,0
B,1,3,7,6,FIXED_C2,evolution,5,2,1,1,0,0,0,8,7,1,8,7,1,0,0,0,2,1,1,0.25,0.142857142857143,0.107142857142857,-5.00000066666667,14.9999997333333,-20.0000004,28.3333333333333,28.3333333333333,0
B,1,3,7,6,FIXED_C4,evolution,5,2,3,-1,0,0,0,8,9,-1,8,9,-1,0,0,0,2,3,-1,0.25,0.333333333333333,-0.083333333333333,-5.00000066666667,-5.00000066666667,0,28.3333333333333,28.3333333333333,0
B,1,3,7,6,FIXED_C2,evolution,10,0,0,0,0,0,0,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,23.3333333333333,23.3333333333333,0,23.3333333333333,23.3333333333333,0
B,1,3,7,6,FIXED_C4,evolution,10,0,3,-3,0,0,0,6,9,-3,6,9,-3,0,0,0,0,3,-3,0,0.333333333333333,-0.333333333333333,23.3333333333333,-10.0000006666667,33.333334,23.3333333333333,23.3333333333333,0
B,1,3,7,6,FIXED_C2,evolution,20,2,2,0,3,4,-1,5,6,-1,5,6,-1,0,0,0,0,0,0,0,0,0,13.3333333333333,13.3333333333333,0,13.3333333333333,13.3333333333333,0
B,1,3,7,6,FIXED_C4,evolution,20,2,4,-2,3,1,2,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,13.3333333333333,13.3333333333333,0,13.3333333333333,13.3333333333333,0
B,1,3,7,6,FIXED_C2,evolution,50,2,2,0,4,4,0,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,16.6666663333333,16.6666663333333,0,16.6666663333333,16.6666663333333,0
B,1,3,7,6,FIXED_C4,evolution,50,2,4,-2,4,1,3,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,16.6666663333333,16.6666663333333,0,16.6666663333333,16.6666663333333,0
B,1,3,7,6,FIXED_C2,evolution,100,2,2,0,0,0,0,8,8,0,2,2,0,6,6,0,2,2,0,0.25,0.25,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
B,1,3,7,6,FIXED_C4,evolution,100,2,2,0,0,0,0,8,8,0,2,2,0,6,6,0,2,2,0,0.25,0.25,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
B,1,3,7,6,FIXED_C2,evolution,500,2,2,0,0,0,0,8,8,0,2,2,0,6,6,0,2,2,0,0.25,0.25,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
B,1,3,7,6,FIXED_C4,evolution,500,2,2,0,0,0,0,8,8,0,2,2,0,6,6,0,2,2,0,0.25,0.25,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
B,1,3,7,6,FIXED_C2,evolution,1000,2,2,0,0,0,0,8,8,0,2,2,0,6,6,0,2,2,0,0.25,0.25,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
B,1,3,7,6,FIXED_C4,evolution,1000,2,2,0,0,0,0,8,8,0,2,2,0,6,6,0,2,2,0,0.25,0.25,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
B,2,1,7,6,FIXED_C2,evolution,1,3,2,1,0,55,-55,9,63,-54,9,63,-54,0,0,0,3,57,-54,0.333333333333333,0.904761904761905,-0.571428571428572,-1.00000066666667,-234.333333666667,233.333333,32.3333333333333,-101.000000666667,133.333334
B,2,1,7,6,FIXED_C4,evolution,1,3,3,0,0,0,0,9,9,0,9,9,0,0,0,0,3,3,0,0.333333333333333,0.333333333333333,0,-1.00000066666667,-1.00000066666667,0,32.3333333333333,32.3333333333333,0
B,2,1,7,6,FIXED_C2,evolution,5,3,2,1,0,55,-55,9,63,-54,9,63,-54,0,0,0,3,57,-54,0.333333333333333,0.904761904761905,-0.571428571428572,-5.00000066666667,-238.333333666667,233.333333,28.3333333333333,-105.000000666667,133.333334
B,2,1,7,6,FIXED_C4,evolution,5,3,3,0,0,0,0,9,9,0,9,9,0,0,0,0,3,3,0,0.333333333333333,0.333333333333333,0,-5.00000066666667,-5.00000066666667,0,28.3333333333333,28.3333333333333,0
B,2,1,7,6,FIXED_C2,evolution,10,0,2,-2,0,53,-53,6,61,-55,6,61,-55,0,0,0,0,55,-55,0,0.901639344262295,-0.901639344262295,23.3333333333333,-210.000000666667,233.333334,23.3333333333333,-110.000000666667,133.333334
B,2,1,7,6,FIXED_C4,evolution,10,0,3,-3,0,0,0,6,9,-3,6,9,-3,0,0,0,0,3,-3,0,0.333333333333333,-0.333333333333333,23.3333333333333,-10.0000006666667,33.333334,23.3333333333333,23.3333333333333,0
B,2,1,7,6,FIXED_C2,evolution,20,2,2,0,4,57,-53,6,59,-53,6,59,-53,0,0,0,0,53,-53,0,0.898305084745763,-0.898305084745763,13.3333333333333,-220.000000666667,233.333334,13.3333333333333,-120.000000666667,133.333334
B,2,1,7,6,FIXED_C4,evolution,20,2,4,-2,4,2,2,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,13.3333333333333,13.3333333333333,0,13.3333333333333,13.3333333333333,0
B,2,1,7,6,FIXED_C2,evolution,50,2,2,0,4,56,-52,6,58,-52,6,58,-52,0,0,0,0,52,-52,0,0.896551724137931,-0.896551724137931,16.6666663333333,-216.666666666667,233.333333,16.6666663333333,-116.666666666667,133.333333
B,2,1,7,6,FIXED_C4,evolution,50,2,4,-2,4,2,2,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,16.6666663333333,16.6666663333333,0,16.6666663333333,16.6666663333333,0
B,2,1,7,6,FIXED_C2,evolution,100,2,2,0,0,50,-50,8,58,-50,2,52,-50,6,6,0,2,52,-50,0.25,0.896551724137931,-0.646551724137931,-6.66666666666667e-07,-210.000000566667,209.9999999,33.3333333333333,-100.000000666667,133.333334
B,2,1,7,6,FIXED_C4,evolution,100,2,2,0,0,0,0,8,8,0,2,2,0,6,6,0,2,2,0,0.25,0.25,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
B,2,1,7,6,FIXED_C2,evolution,500,2,2,0,0,31,-31,8,39,-31,2,33,-31,6,6,0,2,33,-31,0.25,0.846153846153846,-0.596153846153846,-6.66666666666667e-07,-133.333333666667,133.333333,33.3333333333333,-66.6666666666667,100
B,2,1,7,6,FIXED_C4,evolution,500,2,2,0,0,0,0,8,8,0,2,2,0,6,6,0,2,2,0,0.25,0.25,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
B,2,1,7,6,FIXED_C2,evolution,1000,2,2,0,0,5,-5,8,13,-5,2,7,-5,6,6,0,2,7,-5,0.25,0.538461538461538,-0.288461538461538,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,-6.66666666666667e-07,33.333334
B,2,1,7,6,FIXED_C4,evolution,1000,2,2,0,0,0,0,8,8,0,2,2,0,6,6,0,2,2,0,0.25,0.25,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
B,2,2,6,7,FIXED_C2,evolution,1,2,2,0,0,0,0,9,9,0,9,9,0,0,0,0,2,2,0,0.222222222222222,0.222222222222222,0,-1.00000066666667,-1.00000066666667,0,32.3333333333333,32.3333333333333,0
B,2,2,6,7,FIXED_C4,evolution,1,2,1,1,0,0,0,9,8,1,9,8,1,0,0,0,2,1,1,0.222222222222222,0.125,0.097222222222222,-1.00000066666667,22.3333331333333,-23.3333338,32.3333333333333,32.3333333333333,0
B,2,2,6,7,FIXED_C2,evolution,5,2,1,1,0,0,0,9,8,1,9,8,1,0,0,0,2,1,1,0.222222222222222,0.125,0.097222222222222,-5.00000066666667,18.3333331333333,-23.3333338,28.3333333333333,28.3333333333333,0
B,2,2,6,7,FIXED_C4,evolution,5,2,0,2,0,0,0,9,7,2,9,7,2,0,0,0,2,0,2,0.222222222222222,0,0.222222222222222,-5.00000066666667,28.3333333333333,-33.333334,28.3333333333333,28.3333333333333,0
B,2,2,6,7,FIXED_C2,evolution,10,0,0,0,0,0,0,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,23.3333333333333,23.3333333333333,0,23.3333333333333,23.3333333333333,0
B,2,2,6,7,FIXED_C4,evolution,10,0,0,0,0,0,0,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,23.3333333333333,23.3333333333333,0,23.3333333333333,23.3333333333333,0
B,2,2,6,7,FIXED_C2,evolution,20,4,2,2,2,5,-3,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,13.3333333333333,13.3333333333333,0,13.3333333333333,13.3333333333333,0
B,2,2,6,7,FIXED_C4,evolution,20,4,4,0,2,3,-1,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,13.3333333333333,13.3333333333333,0,13.3333333333333,13.3333333333333,0
B,2,2,6,7,FIXED_C2,evolution,50,4,2,2,2,2,0,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,16.6666663333333,16.6666663333333,0,16.6666663333333,16.6666663333333,0
B,2,2,6,7,FIXED_C4,evolution,50,4,4,0,2,3,-1,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,16.6666663333333,16.6666663333333,0,16.6666663333333,16.6666663333333,0
B,2,2,6,7,FIXED_C2,evolution,100,3,2,1,0,1,-1,10,10,0,3,3,0,7,7,0,3,3,0,0.3,0.3,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
B,2,2,6,7,FIXED_C4,evolution,100,3,3,0,0,0,0,10,10,0,3,3,0,7,7,0,3,3,0,0.3,0.3,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
B,2,2,6,7,FIXED_C2,evolution,500,3,2,1,0,1,-1,10,10,0,3,3,0,7,7,0,3,3,0,0.3,0.3,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
B,2,2,6,7,FIXED_C4,evolution,500,3,3,0,0,0,0,10,10,0,3,3,0,7,7,0,3,3,0,0.3,0.3,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
B,2,2,6,7,FIXED_C2,evolution,1000,3,2,1,0,1,-1,10,10,0,3,3,0,7,7,0,3,3,0,0.3,0.3,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
B,2,2,6,7,FIXED_C4,evolution,1000,3,3,0,0,0,0,10,10,0,3,3,0,7,7,0,3,3,0,0.3,0.3,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
B,2,3,7,6,FIXED_C2,evolution,1,3,2,1,0,1,-1,9,9,0,9,9,0,0,0,0,3,3,0,0.333333333333333,0.333333333333333,0,-1.00000066666667,-1.00000066666667,0,32.3333333333333,32.3333333333333,0
B,2,3,7,6,FIXED_C4,evolution,1,3,3,0,0,0,0,9,9,0,9,9,0,0,0,0,3,3,0,0.333333333333333,0.333333333333333,0,-1.00000066666667,-1.00000066666667,0,32.3333333333333,32.3333333333333,0
B,2,3,7,6,FIXED_C2,evolution,5,2,2,0,0,1,-1,8,9,-1,8,9,-1,0,0,0,2,3,-1,0.25,0.333333333333333,-0.083333333333333,-5.00000066666667,-5.00000066666667,0,28.3333333333333,28.3333333333333,0
B,2,3,7,6,FIXED_C4,evolution,5,2,3,-1,0,0,0,8,9,-1,8,9,-1,0,0,0,2,3,-1,0.25,0.333333333333333,-0.083333333333333,-5.00000066666667,-5.00000066666667,0,28.3333333333333,28.3333333333333,0
B,2,3,7,6,FIXED_C2,evolution,10,0,1,-1,0,0,0,6,7,-1,6,7,-1,0,0,0,0,1,-1,0,0.142857142857143,-0.142857142857143,23.3333333333333,9.99999973333333,13.3333336,23.3333333333333,23.3333333333333,0
B,2,3,7,6,FIXED_C4,evolution,10,0,0,0,0,0,0,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,23.3333333333333,23.3333333333333,0,23.3333333333333,23.3333333333333,0
B,2,3,7,6,FIXED_C2,evolution,20,2,2,0,3,3,0,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,13.3333333333333,13.3333333333333,0,13.3333333333333,13.3333333333333,0
B,2,3,7,6,FIXED_C4,evolution,20,2,4,-2,3,2,1,5,6,-1,5,6,-1,0,0,0,0,0,0,0,0,0,13.3333333333333,13.3333333333333,0,13.3333333333333,13.3333333333333,0
B,2,3,7,6,FIXED_C2,evolution,50,2,2,0,4,4,0,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,16.6666663333333,16.6666663333333,0,16.6666663333333,16.6666663333333,0
B,2,3,7,6,FIXED_C4,evolution,50,2,4,-2,4,2,2,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,16.6666663333333,16.6666663333333,0,16.6666663333333,16.6666663333333,0
B,2,3,7,6,FIXED_C2,evolution,100,2,2,0,0,0,0,8,8,0,2,2,0,6,6,0,2,2,0,0.25,0.25,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
B,2,3,7,6,FIXED_C4,evolution,100,2,2,0,0,0,0,8,8,0,2,2,0,6,6,0,2,2,0,0.25,0.25,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
B,2,3,7,6,FIXED_C2,evolution,500,2,2,0,0,0,0,8,8,0,2,2,0,6,6,0,2,2,0,0.25,0.25,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
B,2,3,7,6,FIXED_C4,evolution,500,2,2,0,0,0,0,8,8,0,2,2,0,6,6,0,2,2,0,0.25,0.25,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
B,2,3,7,6,FIXED_C2,evolution,1000,2,2,0,0,0,0,8,8,0,2,2,0,6,6,0,2,2,0,0.25,0.25,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
B,2,3,7,6,FIXED_C4,evolution,1000,2,2,0,0,0,0,8,8,0,2,2,0,6,6,0,2,2,0,0.25,0.25,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
A,2,1,6,7,FIXED_C2,evolution,1,2,2,0,0,0,0,9,9,0,9,9,0,0,0,0,2,2,0,0.222222222222222,0.222222222222222,0,-1.00000066666667,-1.00000066666667,0,32.3333333333333,32.3333333333333,0
A,2,1,6,7,FIXED_C4,evolution,1,2,2,0,0,0,0,9,9,0,9,9,0,0,0,0,2,2,0,0.222222222222222,0.222222222222222,0,-1.00000066666667,-1.00000066666667,0,32.3333333333333,32.3333333333333,0
A,2,1,6,7,FIXED_C2,evolution,5,1,1,0,0,0,0,8,8,0,8,8,0,0,0,0,1,1,0,0.125,0.125,0,18.3333331333333,18.3333331333333,0,28.3333333333333,28.3333333333333,0
A,2,1,6,7,FIXED_C4,evolution,5,1,2,-1,0,0,0,8,9,-1,8,9,-1,0,0,0,1,2,-1,0.125,0.222222222222222,-0.097222222222222,18.3333331333333,-5.00000066666667,23.3333338,28.3333333333333,28.3333333333333,0
A,2,1,6,7,FIXED_C2,evolution,10,0,0,0,0,0,0,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,23.3333333333333,23.3333333333333,0,23.3333333333333,23.3333333333333,0
A,2,1,6,7,FIXED_C4,evolution,10,0,0,0,0,0,0,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,23.3333333333333,23.3333333333333,0,23.3333333333333,23.3333333333333,0
A,2,1,6,7,FIXED_C2,evolution,20,4,2,2,3,4,-1,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,13.3333333333333,13.3333333333333,0,13.3333333333333,13.3333333333333,0
A,2,1,6,7,FIXED_C4,evolution,20,4,4,0,3,3,0,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,13.3333333333333,13.3333333333333,0,13.3333333333333,13.3333333333333,0
A,2,1,6,7,FIXED_C2,evolution,50,4,2,2,2,4,-2,7,8,-1,7,8,-1,0,0,0,0,1,-1,0,0.125,-0.125,16.6666663333333,6.66666643333333,9.99999989999997,16.6666663333333,16.6666663333333,0
A,2,1,6,7,FIXED_C4,evolution,50,4,3,1,2,0,2,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,16.6666663333333,16.6666663333333,0,16.6666663333333,16.6666663333333,0
A,2,1,6,7,FIXED_C2,evolution,100,3,2,1,0,1,-1,10,10,0,3,3,0,7,7,0,3,3,0,0.3,0.3,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
A,2,1,6,7,FIXED_C4,evolution,100,3,3,0,0,0,0,10,10,0,3,3,0,7,7,0,3,3,0,0.3,0.3,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
A,2,1,6,7,FIXED_C2,evolution,500,3,2,1,0,1,-1,10,10,0,3,3,0,7,7,0,3,3,0,0.3,0.3,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
A,2,1,6,7,FIXED_C4,evolution,500,3,3,0,0,0,0,10,10,0,3,3,0,7,7,0,3,3,0,0.3,0.3,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
A,2,1,6,7,FIXED_C2,evolution,1000,3,2,1,0,1,-1,10,10,0,3,3,0,7,7,0,3,3,0,0.3,0.3,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
A,2,1,6,7,FIXED_C4,evolution,1000,3,3,0,0,0,0,10,10,0,3,3,0,7,7,0,3,3,0,0.3,0.3,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
A,2,2,7,6,FIXED_C2,evolution,1,3,2,1,0,1,-1,9,9,0,9,9,0,0,0,0,3,3,0,0.333333333333333,0.333333333333333,0,-1.00000066666667,-1.00000066666667,0,32.3333333333333,32.3333333333333,0
A,2,2,7,6,FIXED_C4,evolution,1,3,4,-1,0,0,0,9,10,-1,9,10,-1,0,0,0,3,4,-1,0.333333333333333,0.4,-0.066666666666667,-1.00000066666667,-1.00000066666667,0,32.3333333333333,32.3333333333333,0
