acquisition_id,trace,policy,round,K,arrival_count,miss_count,DMR_percent,queue_mean_ms,service_mean_ms,start_lag_mean_ms,front_end_mean_ms,local_mean_ms
primary_01,B,FIXED_C4,1,7,6300,3120,49.5238095238095,14.5407206993651,15.0477399904762,2.65312434428571,13.7315087196826,45.9730937538095
primary_01,B,FIXED_C4,1,6,5400,1738,32.1851851851852,4.20678418055556,14.0971104811111,0.568065356666667,12.1312209548148,31.0031809731482
primary_02,A,FIXED_C2,1,6,5400,1896,35.1111111111111,11.3941949988889,8.69485069222222,1.42329772907408,12.2698151801851,33.7821586003704
primary_02,A,FIXED_C2,1,7,6300,2766,43.9047619047619,9.98371159317459,8.55223776698413,0.727723052063492,12.8453003679365,32.1089727801588
primary_03,A,K_LOOKUP_C2_C4,1,6,5400,2009,37.2037037037037,15.5380871044444,8.7506937537037,2.58831627166666,12.395192947037,39.2722900768519
primary_03,A,K_LOOKUP_C2_C4,1,7,6300,2855,45.3174603174603,5.58150341269841,15.0327364063492,0.990004967619045,13.1985465798413,34.802791366508
primary_04,B,FIXED_C2,1,7,6300,3953,62.7460317460317,56.5868530934923,8.78515180825397,1.97348512238095,13.4772466392063,80.8227366633335
primary_04,B,FIXED_C2,1,6,5400,1752,32.4444444444444,7.40105430685186,8.64784130555556,0.571008423703704,11.9578388807407,28.5777429168519
primary_05,B,K_LOOKUP_C2_C4,1,7,6300,3148,49.968253968254,13.0042244725397,15.1572705006349,2.04769695333333,13.7549660693651,43.964157995873
primary_05,B,K_LOOKUP_C2_C4,1,6,5400,1743,32.2777777777778,7.33195380685185,8.62325751981482,0.565775783518519,12.0989885764814,28.6199756866666
primary_06,A,FIXED_C4,1,6,5400,1875,34.7222222222222,7.09955659666665,14.2276678488889,1.86481554444445,12.5235261496296,35.7155661396297
primary_06,A,FIXED_C4,1,7,6300,2863,45.4444444444444,5.43658181777778,14.9108730204762,0.953662601111111,13.2722347604762,34.5733521998412
primary_07,B,FIXED_C2,2,7,6300,4554,72.2857142857143,163.173720180635,8.99332423333333,2.87764672634921,13.8077662226984,188.852457363016
primary_07,B,FIXED_C2,2,6,5400,1878,34.7777777777778,11.7059428159259,8.64491251777778,0.566986589814815,11.9946677872222,32.9125097107407
primary_08,B,K_LOOKUP_C2_C4,2,7,6300,3273,51.9523809523809,17.5708333252381,15.2506579842857,3.62372562777778,14.0741911509524,50.5194080882539
primary_08,B,K_LOOKUP_C2_C4,2,6,5400,1748,32.3703703703704,7.3259305262963,8.65037023388888,0.567859380185185,12.0846110338889,28.6287711742592
primary_09,A,FIXED_C4,2,6,5400,1888,34.962962962963,6.27069143018518,14.3110567444444,2.01339327537037,12.6421904179629,35.2373318679629
primary_09,A,FIXED_C4,2,7,6300,2841,45.0952380952381,5.4358745484127,14.8900723793651,0.978218973650794,13.2612524568254,34.565418358254
primary_10,B,FIXED_C4,2,7,6300,3083,48.9365079365079,10.8442477439682,15.0421450850794,1.96886444238095,13.780058136508,41.6353154079365
primary_10,B,FIXED_C4,2,6,5400,1761,32.6111111111111,4.23435703203704,14.1069665994444,0.579649591851852,12.139363287037,31.0603365103703
primary_11,A,FIXED_C2,2,6,5400,1934,35.8148148148148,12.2711170462963,8.68996353592592,1.62917262166667,12.2837574318519,34.8740106357407
primary_11,A,FIXED_C2,2,7,6300,2735,43.4126984126984,9.67685152952381,8.50549569793651,0.701545416666667,12.9384381385714,31.8223307826984
primary_12,A,K_LOOKUP_C2_C4,2,6,5400,2009,37.2037037037037,15.4282569209259,8.74074745351852,2.41383138037037,12.3488004338889,38.9316361887037
primary_12,A,K_LOOKUP_C2_C4,2,7,6300,2833,44.968253968254,5.61744545507937,15.051886617619,0.956266861111111,12.9973469652381,34.6229458990476
primary_13,A,K_LOOKUP_C2_C4,3,6,5400,1925,35.6481481481481,12.2187526087037,8.70085074111111,1.57095871962963,12.4069745833333,34.8975366527778
primary_13,A,K_LOOKUP_C2_C4,3,7,6300,2863,45.4444444444444,5.46663018873015,14.9242798753969,0.916528293333334,13.3034905055556,34.6109288630159
primary_14,B,FIXED_C2,3,7,6300,4520,71.7460317460317,126.786892066984,8.96463729174603,1.98749023650794,13.7952042307937,151.534223826032
primary_14,B,FIXED_C2,3,6,5400,1913,35.4259259259259,11.9736798792593,8.68646202314815,0.602514990555556,12.0980135640741,33.360670457037
primary_15,B,K_LOOKUP_C2_C4,3,7,6300,3178,50.4444444444444,12.6517427455556,15.2779171509524,2.2104671131746,13.8119844673016,43.9521114769841
primary_15,B,K_LOOKUP_C2_C4,3,6,5400,1754,32.4814814814815,7.39557020814815,8.67556983777778,0.565332687777778,12.0735107540741,28.7099834877778
primary_16,A,FIXED_C4,3,6,5400,1966,36.4074074074074,9.0924681948148,14.4276722094445,5.74758933814817,12.8514561233333,42.1191858657407
primary_16,A,FIXED_C4,3,7,6300,2830,44.9206349206349,5.62371617777778,15.0551339296826,0.964663165396826,13.0255897101587,34.6691029830159
primary_17,B,FIXED_C4,3,7,6300,3241,51.4444444444444,16.1156803511111,15.3046613009524,3.13949205476191,13.9534281826985,48.5132618895238
primary_17,B,FIXED_C4,3,6,5400,1777,32.9074074074074,4.38130640777778,14.2431568909259,0.590602794444444,12.0564268775926,31.2714929707408
