trace,policy,round,K,earlier_phase,later_phase,DMR_percent_earlier,DMR_percent_later,delta_DMR_percent,queue_mean_ms_earlier,queue_mean_ms_later,delta_queue_mean_ms,local_p95_ms_earlier,local_p95_ms_later,delta_local_p95_ms,time_mean_unfinished_backlog_earlier,time_mean_unfinished_backlog_later,delta_time_mean_unfinished_backlog
A,FIXED_C2,1,6,0,2,38.6666666666667,31.5555555555556,-7.1111111111111,15.4791112262963,7.30927877148148,-8.16983245481482,142.27380995,38.5673118,-103.70649815,7.03072180666667,5.13078290106667,-1.8999389056
A,FIXED_C2,1,7,1,3,45.015873015873,42.7936507936508,-2.2222222222222,10.2391636869841,9.72825949936508,-0.510904187619019,46.60471805,44.73325875,-1.87145930000001,6.83065829893333,6.6533749268,-0.17728337213333
A,FIXED_C2,2,6,0,2,39.1111111111111,32.5185185185185,-6.5925925925926,17.1875856688889,7.3546484237037,-9.8329372451852,150.59203985,38.4512287,-112.14081115,7.41193000593333,5.1428483844,-2.26908162153333
A,FIXED_C2,2,7,1,3,43.3333333333333,43.4920634920635,0.158730158730201,9.73927187015873,9.61443118888889,-0.124840681269839,44.8808081,44.86058675,-0.0202213499999999,6.6808852592,6.68126160866667,0.000376349466669978
A,FIXED_C2,3,6,0,2,40.4074074074074,32.8888888888889,-7.5185185185185,21.4531517888889,7.42880446333333,-14.0243473255556,203.5052374,38.5699901,-164.9352473,8.4858565574,5.17570305086667,-3.31015350653333
A,FIXED_C2,3,7,1,3,43.1428571428571,43.5555555555556,0.412698412698496,9.60310567206349,9.77191179809524,0.16880612603175,44.8656705,44.9945194,0.128848900000001,6.69405629486667,6.706306862,0.0122505671333295
A,FIXED_C2,4,6,0,2,39.5185185185185,32.7777777777778,-6.7407407407407,17.0672285792593,7.40226483333333,-9.66496374592597,149.7503257,38.59079275,-111.15953295,7.4535270996,5.18727990006667,-2.26624719953333
A,FIXED_C2,4,7,1,3,44.2539682539683,42.8888888888889,-1.3650793650794,9.92726119174603,9.57383543904762,-0.35342575269841,45.48161775,44.77244145,-0.709176299999996,6.7670765286,6.65249043226667,-0.11458609633333
A,FIXED_C2,5,6,0,2,40.7407407407407,32.2592592592593,-8.4814814814814,18.8050482451852,7.21962018407407,-11.5854280611111,154.7268975,38.39377245,-116.33312505,7.7711170106,5.141855129,-2.6292618816
A,FIXED_C2,5,7,1,3,43.8095238095238,45.5555555555556,1.7460317460318,9.69053832253968,9.96749044444445,0.27695212190477,45.60670625,47.5440968,1.93739055,6.74836040033333,6.9115238194,0.16316341906667
A,FIXED_C4,1,6,0,2,37.1481481481481,32.2962962962963,-4.85185185185181,10.032679227037,4.1664339662963,-5.8662452607407,117.544171049999,38.7285186,-78.815652449999,7.27778322366667,5.57945490746667,-1.6983283162
A,FIXED_C4,1,7,1,3,45.6825396825397,45.2063492063492,-0.476190476190496,5.45892434603175,5.41423928952381,-0.04468505650794,45.4415193,45.1038616,-0.337657700000001,7.2784080168,7.2405630166,-0.0378450001999999
A,FIXED_C4,2,6,0,2,37.0740740740741,32.8518518518519,-4.2222222222222,8.24194384407407,4.2994390162963,-3.94250482777777,94.72051375,38.88660205,-55.8339117,7.0558798822,5.63131669826667,-1.42456318393333
A,FIXED_C4,2,7,1,3,45.2698412698413,44.9206349206349,-0.349206349206398,5.42100346634921,5.45074563047619,0.0297421641269802,45.27323105,44.7746437,-0.498587350000001,7.27888811066667,7.23592007753333,-0.0429680331333397
A,FIXED_C4,3,6,0,2,39.8148148148148,33,-6.8148148148148,13.7702120785185,4.41472431111111,-9.35548776740739,248.04847445,38.9635888,-209.08488565,9.547259077,5.6169045474,-3.9303545296
A,FIXED_C4,3,7,1,3,44.5079365079365,45.3333333333333,0.825396825396801,5.57844300253968,5.66898935301587,0.0905463504761901,45.13888715,45.46555755,0.326670399999998,7.26352859133333,7.29516863286667,0.0316400415333398
A,FIXED_C4,4,6,0,2,38.4074074074074,33.3333333333333,-5.0740740740741,11.5155835488889,4.39155413518518,-7.12402941370372,137.94851185,39.0187768,-98.92973505,7.6960739434,5.6400262518,-2.0560476916
A,FIXED_C4,4,7,1,3,45.4920634920635,45.1428571428571,-0.349206349206398,5.59842051365079,5.66250024031746,0.0640797266666695,45.68604305,45.6519771,-0.0340659499999987,7.31413991193333,7.289165978,-0.0249739339333299
A,FIXED_C4,5,6,0,2,36.1851851851852,32.2222222222222,-3.962962962963,7.84568621925926,4.36620437,-3.47948184925926,65.0224134999997,38.9497643,-26.0726491999997,6.6389735274,5.6326928516,-1.0062806758
