trace,K,round,fixed,delta_DMR_percent,delta_queue_mean_ms,delta_service_mean_ms,delta_local_mean_ms
A,6,1,FIXED_C2,2.09259259259259,4.14389210555554,0.0558430614814807,5.49013147648145
A,6,1,FIXED_C4,2.48148148148148,8.43853050777778,-5.4769740951852,3.5567239372222
A,6,2,FIXED_C2,1.38888888888889,3.15713987462965,0.0507839175925966,4.05762555296295
A,6,2,FIXED_C4,2.24074074074074,9.15756549074077,-5.57030929092593,3.69430432074075
A,6,3,FIXED_C2,-1,-2.22222551740742,-0.0186473490740742,-3.0515394025926
A,6,3,FIXED_C4,-0.75925925925926,3.12628441388889,-5.72682146833334,-7.22164921296295
A,6,4,FIXED_C2,0.722222222222229,2.74469535796295,0.0140102255555572,3.26189209314815
A,6,4,FIXED_C4,1,7.02587322222223,-5.68281369925927,1.33388452203705
A,6,5,FIXED_C2,-0.796296296296298,-0.741592261296274,0.0132936049999994,-0.842188570740703
A,6,5,FIXED_C4,1.5,6.16479665870373,-5.57626942722221,0.938928747407395
A,7,1,FIXED_C2,1.41269841269841,-4.40220818047618,6.48049863936508,2.6938185863492
A,7,1,FIXED_C4,-0.126984126984127,0.144921594920631,0.121863385873,0.229439166666708
A,7,2,FIXED_C2,1.55555555555556,-4.05940607444444,6.54639091968249,2.8006151163492
A,7,2,FIXED_C4,-0.126984126984127,0.181570906666665,0.161814238253898,0.0575275407936502
A,7,3,FIXED_C2,2.09523809523809,-4.22087854634921,6.41916658063495,2.69942089952385
A,7,3,FIXED_C4,0.523809523809526,-0.157085989047621,-0.130854054285701,-0.0581741199999968
A,7,4,FIXED_C2,2.06349206349206,-4.22731928539683,6.49976426063494,2.8493310695238
A,7,4,FIXED_C4,0.317460317460316,-0.107231346984125,-0.1240435426984,0.0247199755555059
A,7,5,FIXED_C2,0.587301587301589,-4.26474985444445,6.43930993682544,2.14974591650795
A,7,5,FIXED_C4,-0.492063492063487,0.0390145915873008,0.0211153460317988,-0.106165687777803
B,6,1,FIXED_C2,-0.166666666666664,-0.069100500000002,-0.0245837857407398,0.0422327698147527
B,6,1,FIXED_C4,0.0925925925925952,3.1251696262963,-5.47385296129628,-2.3832052864815
B,6,2,FIXED_C2,-2.4074074074074,-4.38001228962964,0.00545771611110801,-4.28373853648145
B,6,2,FIXED_C4,-0.24074074074074,3.09157349425926,-5.45659636555557,-2.4315653361111
B,6,3,FIXED_C2,-2.94444444444444,-4.57810967111111,-0.0108921853703698,-4.65068696925924
B,6,3,FIXED_C4,-0.425925925925924,3.01426380037037,-5.56758705314812,-2.561509482963
B,6,4,FIXED_C2,-2.24074074074074,-5.67433416277775,0.170180861111112,-4.50951233685185
B,6,4,FIXED_C4,0.666666666666671,2.36591720814815,-5.32961719962963,-1.17058046537035
B,6,5,FIXED_C2,-0.296296296296298,-0.530083453148141,0.00277144370370941,-0.370446800185196
B,6,5,FIXED_C4,0.0555555555555571,3.06967961648149,-5.50184458833331,-2.4853615524074
B,7,1,FIXED_C2,-12.7777777777778,-43.5826286209526,6.37211869238093,-36.8585786674605
B,7,1,FIXED_C4,0.444444444444443,-1.53649622682538,0.109530510158701,-2.00893575793651
B,7,2,FIXED_C2,-20.3333333333333,-145.602886855397,6.25733375095242,-138.333049274762
B,7,2,FIXED_C4,3.01587301587301,6.72658558126988,0.208512899206395,8.88409268031744
B,7,3,FIXED_C2,-21.3015873015873,-114.135149321429,6.31327985920637,-107.582112349048
B,7,3,FIXED_C4,-1,-3.46393760555557,-0.026744149999951,-4.56115041253971
B,7,4,FIXED_C2,-13.8095238095238,-109.035386608889,6.59640481269839,-100.613894783016
B,7,4,FIXED_C4,10.6031746031746,1.70197459412701,0.423991094603196,4.40351266412701
B,7,5,FIXED_C2,-21.8253968253968,-142.739412774127,6.2374342057143,-137.443457435873
B,7,5,FIXED_C4,-1.19047619047619,-7.43862225333334,-0.0345090509524013,-9.12341691746025
