acquisition_id,round,trace,policy,phase,boundary_s,boundary_ns,K_before,K_after,C_before,C_after,logical_boundary_ns,notification_ns,apply_ns,cap_apply_delay_ms,sample_ns,sample_side,C,A,ready_queue,unfinished_backlog,generated_unfinished,due_not_generated,online_active_counter,observed_K,latest_event_seq,latest_event_ns,unfinished_slack_min_ms,unfinished_slack_p10_ms,unfinished_slack_median_ms,unfinished_slack_p90_ms,unfinished_late_count,unfinished_late_fraction,unfinished_urgent_5ms_count,unfinished_urgent_10ms_count,ready_slack_min_ms,ready_slack_p10_ms,ready_slack_median_ms,ready_slack_p90_ms,ready_late_count,ready_late_fraction,ready_urgent_5ms_count,ready_urgent_10ms_count,generated_slack_min_ms,generated_slack_p10_ms,generated_slack_median_ms,generated_slack_p90_ms,generated_late_count,generated_late_fraction,generated_urgent_5ms_count,generated_urgent_10ms_count
primary_04,1,B,FIXED_C2,3,45,85734983847952,7,6,2,2,85734983847952,85734983941261,85734983959242,0.11129,85734983847952,LEFT_LIMIT,2,2,1,3,3,0,2,7,36000,85734979591147,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,1,1,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0
primary_05,1,B,K_LOOKUP_C2_C4,1,15,85768868303206,7,6,4,2,85768868303206,85768868408107,85768868456561,0.153355,85768868303206,LEFT_LIMIT,4,3,0,3,3,0,3,7,12597,85768865529383,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0
primary_05,1,B,K_LOOKUP_C2_C4,2,30,85783868303206,6,7,2,4,85783868303206,85783868398369,85783868426129,0.122923,85783868303206,LEFT_LIMIT,2,2,0,2,2,0,2,6,23400,85783867768920,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
primary_05,1,B,K_LOOKUP_C2_C4,3,45,85798868303206,7,6,4,2,85798868303206,85798868389994,85798868409040,0.105834,85798868303206,LEFT_LIMIT,4,3,0,3,3,0,3,7,36001,85798864141695,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0
primary_06,1,A,FIXED_C4,1,15,85832767672224,6,7,4,4,85832767672224,85832767809591,85832767845036,0.172812,85832767672224,LEFT_LIMIT,4,2,0,2,2,0,2,6,10798,85832764607708,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
primary_06,1,A,FIXED_C4,2,30,85847767672224,7,6,4,4,85847767672224,85847767774224,85847767800299,0.128075,85847767672224,LEFT_LIMIT,4,4,1,5,5,0,4,7,23396,85847765738793,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,5,1,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,1,1,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,5,1,0,0
primary_06,1,A,FIXED_C4,3,45,85862767672224,6,7,4,4,85862767672224,85862767759310,85862767775718,0.103494,85862767672224,LEFT_LIMIT,4,2,0,2,2,0,2,6,34202,85862764727021,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
primary_07,2,B,FIXED_C2,1,15,85896655229147,7,6,2,2,85896655229147,85896655332736,85896655357366,0.128219,85896655229147,LEFT_LIMIT,2,2,55,57,57,0,2,7,12488,85896653723326,-266.666666666667,-233.333333666667,-133.333333666667,-6.66666666666667e-07,57,1,0,0,-233.333333666667,-220.000000466667,-100.000000666667,-6.66666666666667e-07,55,1,0,0,-266.666666666667,-233.333333666667,-133.333333666667,-6.66666666666667e-07,57,1,0,0
primary_07,2,B,FIXED_C2,2,30,85911655229147,6,7,2,2,85911655229147,85911655324947,85911655348067,0.11892,85911655229147,LEFT_LIMIT,2,2,0,2,2,0,2,6,23400,85911649982290,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
primary_07,2,B,FIXED_C2,3,45,85926655229147,7,6,2,2,85926655229147,85926655323018,85926655348213,0.119066,85926655229147,LEFT_LIMIT,2,2,1,3,3,0,2,7,36000,85926652026598,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,1,1,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0
