K,offered_load_fps,run_count,frame_start_lag_mean_ms,frame_start_lag_p95_ms,front_end_mean_ms,front_end_p95_ms,inference_queue_wait_mean_ms,inference_queue_wait_p95_ms,inference_mean_ms,inference_p95_ms,e2e_mean_ms,e2e_p95_ms,e2e_p99_ms,deadline_miss_pct
1,30,5,0.35861583566666666,0.5149165,9.632852412555556,9.71206073,0.17942347466666667,0.25597867,12.095617541555555,14.10170331,22.266509264444444,24.29666357,24.682019864,0.17777777777777778
2,60,5,0.5583925572222223,0.92086354,9.971580631111111,10.42174499,3.0153986605,6.52511153,5.8105562212777775,6.62304271,19.355928070111112,23.33262062,24.176179664,0.3388888888888889
3,90,5,0.7159966035925925,0.87569078,10.296887942481481,10.98356996,4.358202218481481,8.81926972,4.642921793185185,5.03786941,20.01400855774074,24.57366956,25.415719332,0.562962962962963
4,120,5,0.8459570692777778,1.57779639,10.956694404,12.35559781,6.513386474472222,12.82787518,4.6153304336388885,5.036845,22.93136838138889,29.63621736,31.055160604,0.85
5,150,5,0.9679646914,1.72575091,11.162738469244445,13.02327715,8.975442342933333,16.23764735,4.623897458488889,5.08302218,25.730042962066666,33.82236192,104.084340776,4.906666666666666
6,180,5,1.0224259367592592,2.31022238,11.917328987888888,14.73670247,25.777952383537038,87.65415889,4.903103376,6.77511418,43.62081068418519,109.43330299,221.504809594,35.04814814814815
7,210,5,0.9893734525555555,2.5084557,13.446460126984126,17.37664337,4274.372473500397,7194.64576389,5.255237607253968,8.5816802,4294.06354468719,7213.38352883,7337.789498366,100.0
