lower_C,higher_C,valid_pairs,higher_C_improved_count,equal_count,differences_qps_by_rep
1,2,5,1,0,"[-0.3930000000000007, -1.454999999999984, 6.3370000000000175, -0.6260000000000048, -2.219999999999999]"
2,3,5,3,0,"[4.828000000000003, -0.33200000000002206, -3.2040000000000077, 1.281000000000006, 1.2690000000000055]"
3,4,5,4,0,"[-1.8460000000000036, 5.7760000000000105, 6.134999999999991, 2.530000000000001, 1.6820000000000164]"
4,5,5,2,0,"[3.830999999999989, -4.302999999999997, -3.455999999999989, 0.21100000000001273, -1.4410000000000025]"
5,6,5,3,0,"[-3.969999999999999, 3.7489999999999952, 3.1520000000000152, -3.802000000000021, 4.625]"
6,7,5,3,0,"[4.492999999999995, -3.812000000000012, -2.1100000000000136, 3.8380000000000223, 0.24399999999999977]"
