sequence,rep,C,valid,exit_code,retried,started_utc_ns,finished_utc_ns,elapsed_seconds,throughput_qps,latency_min_ms,latency_max_ms,latency_mean_ms,latency_median_ms,latency_p90_ms,latency_p95_ms,latency_p99_ms,enqueue_min_ms,enqueue_max_ms,enqueue_mean_ms,enqueue_median_ms,enqueue_p90_ms,enqueue_p95_ms,enqueue_p99_ms,h2d_min_ms,h2d_max_ms,h2d_mean_ms,h2d_median_ms,h2d_p90_ms,h2d_p95_ms,h2d_p99_ms,gpu_compute_min_ms,gpu_compute_max_ms,gpu_compute_mean_ms,gpu_compute_median_ms,gpu_compute_p90_ms,gpu_compute_p95_ms,gpu_compute_p99_ms,d2h_min_ms,d2h_max_ms,d2h_mean_ms,d2h_median_ms,d2h_p90_ms,d2h_p95_ms,d2h_p99_ms,timing_rows,multi_stream_latency_warning
22,4,4,True,0,False,1789103001942912282,1789103035032933420,33.090024786,245.1,4.24414,7.9668,5.05128,5.10156,5.26367,5.30469,5.37305,2.02051,7.11719,2.23349,2.20508,2.33789,2.54297,2.57617,0.0302734,0.136719,0.0555286,0.0507812,0.0693359,0.0791016,0.101562,4.19434,7.88477,4.98636,5.03711,5.20312,5.24609,5.31641,0.00195312,0.0673828,0.00938976,0.00585938,0.0224609,0.0273438,0.0332031,7360,True
23,4,5,True,0,False,1789103035194418015,1789103068462457248,33.268043121,245.311,4.28027,5.55786,5.06816,5.10742,5.27148,5.33008,5.4043,1.93945,5.83984,2.12376,2.10742,2.19531,2.43701,2.49268,0.03125,0.142578,0.0557643,0.0517578,0.0703125,0.0761719,0.102539,4.22852,5.48145,5.00374,5.04297,5.20898,5.26758,5.3457,0.00195312,0.0644531,0.00864335,0.00585938,0.0185547,0.0251465,0.03125,7367,True
24,4,6,True,0,False,1789103068629131617,1789103102062505941,33.433378555,241.509,4.23633,7.81934,5.17349,5.21094,5.3877,5.45312,5.59473,1.8418,9.2207,2.07765,2.05469,2.18164,2.34204,2.48828,0.0341797,0.143555,0.0578972,0.0527344,0.0742188,0.0864258,0.114746,4.18164,7.73682,5.10579,5.14453,5.31812,5.38477,5.53516,0.00195312,0.0839844,0.00980025,0.00585938,0.0234375,0.0273438,0.03125,7255,True
25,4,7,True,0,False,1789103102223206740,1789103135872211229,33.6490086,245.347,4.26172,8.02344,5.06974,5.11133,5.2793,5.34375,5.43457,1.68359,7.95117,2.05223,1.99609,2.14893,2.33105,4.74219,0.0332031,0.157227,0.0584658,0.0527344,0.0742188,0.0961914,0.107422,4.20898,7.95508,5.00208,5.04492,5.21094,5.27539,5.36816,0.00195312,0.0820312,0.00919322,0.00585938,0.0214844,0.0273438,0.034668,7379,True
26,4,1,True,0,False,1789103136043193771,1789103168639580814,32.596390616,241.915,3.95508,8.93555,4.11835,4.10156,4.25,4.29492,4.3479,1.60547,8.19141,2.51726,2.4375,2.92188,2.94482,2.96289,0.0292969,0.15625,0.0518184,0.046875,0.0703125,0.0722656,0.118164,3.90527,8.85547,4.06126,4.04932,4.17578,4.21777,4.27148,0.00195312,0.034668,0.00526523,0.00537109,0.00610352,0.00683594,0.0161133,7260,False
27,4,2,True,0,False,1789103168799748357,1789103201577417322,32.777672724,241.289,4.26367,10.5684,5.03431,5.14648,5.3125,5.34766,5.41016,2.14258,12.7285,2.60637,2.53516,2.9082,2.92773,3.00488,0.0332031,0.158691,0.055162,0.0498047,0.0722656,0.078125,0.107422,4.21289,10.5,4.96938,5.08105,5.25,5.28516,5.34668,0.00195312,0.0625,0.00977882,0.0065918,0.0234375,0.0273438,0.0341797,7243,True
28,4,3,True,0,False,1789103201742983612,1789103234691304667,32.948325333,242.57,4.20117,5.52881,5.06549,5.13672,5.31201,5.354,5.42578,1.99609,6.01953,2.42367,2.39453,2.68555,2.75342,2.8252,0.0234375,0.302734,0.0586658,0.0517578,0.0820312,0.101562,0.142578,4.1582,5.47217,4.99739,5.06641,5.24512,5.28516,5.36328,0.00195312,0.0722656,0.00943185,0.00585938,0.0219727,0.0273438,0.0351562,7285,True
29,5,5,True,0,False,1789103234852252055,1789103268133415788,33.281167751,241.145,4.3374,6.20874,5.17162,5.21289,5.38086,5.44141,5.53711,1.92334,6.1228,2.15094,2.13086,2.23926,2.43066,2.49023,0.0366211,0.138672,0.0573239,0.0527344,0.0722656,0.0793457,0.108398,4.28125,6.10669,5.10496,5.14697,5.31445,5.37695,5.47266,0.00195312,0.078125,0.00934209,0.00585938,0.0214844,0.0273438,0.0327148,7244,True
30,5,6,True,0,False,1789103268289943112,1789103301790109133,33.500169548,245.77,4.23047,6.24219,5.06442,5.10156,5.27148,5.34961,5.47656,1.86426,5.66895,2.06153,2.04492,2.1543,2.33789,2.42773,0.0332031,0.65625,0.0582529,0.0527344,0.0732422,0.09375,0.106445,4.17383,6.16797,4.99666,5.03516,5.20508,5.28516,5.41016,0.00195312,0.0625,0.00952317,0.00585938,0.0224609,0.0273438,0.0351562,7390,True
31,5,7,True,0,False,1789103301957141401,1789103335566707445,33.609569775,246.014,4.2207,11.5488,5.05998,5.09961,5.27539,5.34375,5.45117,1.73535,11.4546,2.06596,2.00195,2.16016,2.33789,4.81445,0.03125,0.161133,0.0576479,0.0527344,0.0722656,0.0927734,0.105469,4.16992,11.4458,4.99338,5.03516,5.20801,5.27734,5.38477,0.00195312,0.0585938,0.00895585,0.00585938,0.0214844,0.027832,0.0332031,7395,True
32,5,1,True,0,False,1789103335729023754,1789103368320818394,32.59179839,241.855,3.94336,11.9492,4.11693,4.09961,4.25391,4.29688,4.35376,1.58789,11.5645,2.52582,2.44922,2.93066,2.95117,2.96875,0.0263672,0.348145,0.0480244,0.0422363,0.0664062,0.0683594,0.121094,3.90625,11.875,4.0639,4.05078,4.18359,4.22656,4.28125,0.00195312,0.03125,0.00501533,0.00488281,0.00585938,0.00683594,0.015625,7257,False
33,5,2,True,0,False,1789103368483419192,1789103401243469957,32.760054275,239.635,4.24805,9.38477,5.05138,5.14844,5.32715,5.36279,5.42969,1.85742,12.9343,2.62856,2.57617,2.88745,2.97363,3.00488,0.0305176,0.160156,0.0538829,0.0488281,0.0722656,0.0761719,0.112793,4.18164,9.33203,4.98789,5.08325,5.26367,5.30078,5.36914,0.00195312,0.0742188,0.00961375,0.00585938,0.0224609,0.0273438,0.0332031,7195,True
34,5,3,True,0,False,1789103401407113986,1789103434311169267,32.904059022,240.904,4.28906,10.3867,5.11251,5.19043,5.34375,5.38135,5.44238,1.74219,10.2949,2.44456,2.41602,2.65479,2.76172,2.80078,0.0371094,0.166016,0.0610015,0.0546875,0.0791016,0.107422,0.138672,4.24512,10.2773,5.04193,5.11914,5.27148,5.30859,5.375,0.00195312,0.0605469,0.00959848,0.00585938,0.0229492,0.0273438,0.0332031,7233,True
35,5,4,True,0,False,1789103434469290837,1789103467575976214,33.106689182,242.586,4.24023,8.89453,5.12349,5.17969,5.34961,5.39941,5.47168,2.04883,6.43066,2.25748,2.23242,2.37988,2.55176,2.625,0.0292969,2.42578,0.0569852,0.0517578,0.0712891,0.0761719,0.108398,4.1875,6.4375,5.05675,5.11328,5.28467,5.33594,5.40649,0.00195312,0.0791016,0.0097454,0.00585938,0.0224609,0.0273438,0.0332031,7284,True
