streams,run_count,mean_elapsed_s,mean_aggregate_fps,std_aggregate_fps,cv_aggregate_fps_percent,mean_per_stream_fps,scaling_vs_1stream
1,3,4.430692,2031.291,4.14399263995486,0.2040078275320897,2031.291,1.0
4,3,9.924436333333333,3627.527,25.209771101697786,0.6949575041535951,906.8816666666667,1.7858233999953725
8,3,19.830075333333333,3630.85,2.655875750105755,0.07314749301419103,453.85633333333334,1.7874593054367887
