K,offered_load_fps,run_count,deadline_ms,deadline_miss_pct,e2e_mean_ms,e2e_p95_ms,ready_wait_mean_ms,front_end_mean_ms,inference_mean_ms,peak_backlog_mean,final_arrival_backlog_mean,time_weighted_backlog_mean
1,30,5,33.333333333333336,0.13333333333333333,21.111409720561724,23.08966213309759,0.1526758074477483,9.493186049219124,11.177081723218484,2.4,1,0.6300640371555696
2,60,5,33.333333333333336,0.21666666666666667,19.521417237504163,23.583023638275336,3.1051279212754,9.968553967284201,6.020697863555648,7.2,2,1.1643439165098948
3,90,5,33.333333333333336,0.44074074074074077,19.638511150852906,24.494842114690982,4.305817526221222,10.111066935890886,4.660700425253944,15.6,3,1.7581708041927133
4,120,5,33.333333333333336,0.7972222222222223,22.323643426821945,29.152528402810276,6.573453019918512,10.429475738721017,4.660628320498997,21.6,4,2.6661996486448687
5,150,5,33.333333333333336,4.997777777777777,25.371261797895162,33.33623259750311,9.15479450522374,10.754739031839401,4.653784356826105,33.4,5,3.7878613302530244
6,180,5,33.333333333333336,32.17777777777778,38.877978864218946,144.74453843686194,21.32256008221015,11.732628606183425,4.910337983319618,45.6,7,6.972630274332905
7,210,5,33.333333333333336,100.0,4500.395128480436,7465.566705883721,4480.560383042493,13.359206432734993,5.280293369323368,1600.6,1600.6,851.6638999893473
