K,row_type,run_id,e2e_mean_ms,e2e_p95_ms,e2e_p99_ms,deadline_miss_pct,frame_start_lag_mean_ms,front_end_mean_ms,inference_queue_wait_mean_ms,inference_mean_ms,inference_queue_peak
1,run,run01,22.31035636888889,24.41852175,24.84586436,0.16666666666666666,0.39223432722222223,9.601230348333333,0.17569783277777778,12.141193860555555,2.0
1,run,run02,22.54407650388889,24.27790845,24.61184861,0.16666666666666666,0.33133811,9.672895504444444,0.212046745,12.327796144444445,2.0
1,run,run03,21.928746144444446,24.22124105,24.59126372,0.16666666666666666,0.3584286477777778,9.626563742222222,0.14297783555555554,11.800775918888888,2.0
1,run,run04,22.318541957222223,24.31483655,24.65898682,0.16666666666666666,0.27036142333333335,9.623671708888889,0.1721351227777778,12.252373702222222,2.0
1,run,run05,22.230825347777778,24.25081005,24.70213581,0.2222222222222222,0.44071667,9.639900758888889,0.19425983722222223,11.955948081666667,2.0
1,mean,,22.266509264444444,24.29666357,24.682019864,0.17777777777777776,0.3586158356666667,9.632852412555556,0.17942347466666667,12.095617541555557,2.0
1,sample_std,,0.22194076306499275,0.07635857774465829,0.10116925648456193,0.024845199749997663,0.06403846622510195,0.02634822590852862,0.025882815303206033,0.21621501964615414,0.0
1,min,,21.928746144444446,24.22124105,24.59126372,0.16666666666666666,0.27036142333333335,9.601230348333333,0.14297783555555554,11.800775918888888,2.0
1,max,,22.54407650388889,24.41852175,24.84586436,0.2222222222222222,0.44071667,9.672895504444444,0.212046745,12.327796144444445,2.0
2,run,run01,19.19849543861111,22.9584059,23.79224518,0.3333333333333333,0.5559356783333333,10.080956000277778,2.8836589591666666,5.677944800833333,5.0
2,run,run02,19.451681051666668,23.45971755,24.34309784,0.3333333333333333,0.5490857794444445,9.978888030277778,3.0687169680555555,5.854990273888889,5.0
2,run,run03,19.339473938055555,23.41751115,24.4696153,0.3888888888888889,0.6145099541666666,9.888485903333333,3.009306083333333,5.827171997222222,7.0
2,run,run04,19.47215739416667,23.5830886,24.3586124,0.2777777777777778,0.4761550175,9.965237901666667,3.1355672755555557,5.8951971994444445,6.0
2,run,run05,19.317832528055554,23.2443799,23.9173276,0.3611111111111111,0.5962763566666667,9.94433532,2.979744016388889,5.797476835,5.0
2,mean,,19.355928070111112,23.332620619999997,24.176179664,0.3388888888888889,0.5583925572222223,9.971580631111111,3.0153986605,5.8105562212777775,5.6
2,sample_std,,0.11088838024609893,0.24182499975973537,0.30069001154001784,0.04120110270608701,0.05347899074919728,0.0701848282069128,0.09479854958750264,0.08241878336336589,0.8944271909999159
2,min,,19.19849543861111,22.9584059,23.79224518,0.2777777777777778,0.4761550175,9.888485903333333,2.8836589591666666,5.677944800833333,5.0
2,max,,19.47215739416667,23.5830886,24.4696153,0.3888888888888889,0.6145099541666666,10.080956000277778,3.1355672755555557,5.8951971994444445,7.0
3,run,run01,20.080518037592594,24.51995835,25.34075456,0.6111111111111112,0.7204056451851852,10.334685963518519,4.360820687037037,4.664605741851852,14.0
3,run,run02,20.147765487962964,24.6770005,25.34024998,0.5740740740740741,0.7712541381481481,10.358720172037037,4.388346310185185,4.629444867592593,14.0
3,run,run03,19.770231445,24.5224895,25.38372714,0.5,0.6858683131481481,10.166389508518519,4.286632192777778,4.631341430555556,12.0
3,run,run04,20.035848873333332,24.4941309,25.40011549,0.5740740740740741,0.6592899212962963,10.263143725555556,4.458631969814815,4.654783256666667,15.0
3,run,run05,20.035678944814816,24.65476855,25.61374949,0.5555555555555556,0.7431650001851852,10.361500342777777,4.296579932592593,4.634433669259259,13.0
3,mean,,20.01400855774074,24.57366956,25.415719332000002,0.562962962962963,0.7159966035925927,10.296887942481481,4.358202218481481,4.642921793185185,13.6
3,sample_std,,0.14377787820973417,0.08527165472208084,0.1137961596934872,0.04057204129667898,0.0445373950980912,0.0830590011993066,0.07057129779962536,0.01580085848573604,1.140175425099138
3,min,,19.770231445,24.4941309,25.34024998,0.5,0.6592899212962963,10.166389508518519,4.286632192777778,4.629444867592593,12.0
3,max,,20.147765487962964,24.6770005,25.61374949,0.6111111111111112,0.7712541381481481,10.361500342777777,4.458631969814815,4.664605741851852,15.0
4,run,run01,22.496271774305555,29.0524599,30.06114048,0.8055555555555556,0.7721187701388889,10.56330647,6.529868333333333,4.630978200833333,22.0
4,run,run02,22.549520569027777,29.0988663,30.06661512,0.8333333333333334,0.81840727,10.572429544583333,6.55655781875,4.602125935694445,20.0
4,run,run03,22.644959812083332,29.3647505,30.25726732,0.7638888888888888,0.7231391311111112,10.583907874722222,6.699154135833333,4.638758670416666,21.0
4,run,run04,23.727158165,31.150409,32.253725,0.8472222222222222,0.9262326361111111,12.32659929763889,5.891190619444444,4.583135611805556,23.0
4,run,run05,23.238931586527777,29.5146011,32.6370551,1.0,0.9898875390277778,10.737228833055555,6.890161465,4.6216537494444445,24.0
4,mean,,22.931368381388886,29.63621736,31.055160604,0.85,0.8459570692777778,10.956694404,6.513386474472222,4.615330433638889,22.0
4,sample_std,,0.535028780236908,0.867579971416081,1.27875708026779,0.08968824606090522,0.11006302574928338,0.7691209104646712,0.3760758288386796,0.02260854118640119,1.5811388300841898
4,min,,22.496271774305555,29.0524599,30.06114048,0.7638888888888888,0.7231391311111112,10.56330647,5.891190619444444,4.583135611805556,20.0
4,max,,23.727158165,31.150409,32.6370551,1.0,0.9898875390277778,12.32659929763889,6.890161465,4.638758670416666,24.0
