K,offered_load_fps,run_count,candidate_deadline_ms,e2e_mean_ms,e2e_p95_ms,e2e_p99_ms,deadline_miss_pct,e2e_p95_exceeding_deadline_runs,deadline_miss_pct_sample_std,deadline_miss_pct_min,deadline_miss_pct_max,observed_region
1,30,5,33.333333333333336,22.266509264444444,24.29666357,24.682019864,0.17777777777777776,0,0.024845199749997663,0.16666666666666666,0.2222222222222222,stable (finite-run deadline behavior)
2,60,5,33.333333333333336,19.355928070111112,23.332620619999997,24.176179664,0.3388888888888889,0,0.04120110270608701,0.2777777777777778,0.3888888888888889,stable (finite-run deadline behavior)
3,90,5,33.333333333333336,20.01400855774074,24.57366956,25.415719332000002,0.562962962962963,0,0.04057204129667898,0.5,0.6111111111111112,stable (finite-run deadline behavior)
4,120,5,33.333333333333336,22.931368381388886,29.63621736,31.055160604,0.85,0,0.08968824606090522,0.7638888888888888,1.0,"stable, shrinking deadline margin"
5,150,5,33.333333333333336,25.730042962066666,33.82236192,104.084340776,4.906666666666666,1,1.2940652758928375,4.088888888888889,7.166666666666667,transition / deadline knee
6,180,5,33.333333333333336,43.62081068418518,109.43330299000002,221.50480959400002,35.048148148148144,5,12.093683306831128,26.64814814814815,56.388888888888886,deadline-overloaded / variable near-capacity queue; not persistent overload
7,210,5,33.333333333333336,4294.063544687191,7213.383528830001,7337.789498365999,100.0,5,0.0,100.0,100.0,persistent overload / accumulating backlog
