K,metric,baseline_mean_of_run_statistics,breakdown_mean_of_run_statistics,absolute_difference,relative_difference_pct,absolute_difference_unit
1,e2e_mean_ms,21.111409720561724,22.266509264444444,1.15509954388272,5.47144676348968,ms
1,e2e_p95_ms,23.08966213309759,24.29666357,1.2070014369024094,5.227453870675085,ms
1,deadline_miss_pct,0.13333333333333336,0.17777777777777776,0.0444444444444444,33.333333333333286,percentage points
2,e2e_mean_ms,19.521417237504163,19.355928070111112,-0.16548916739305142,-0.847731316736148,ms
2,e2e_p95_ms,23.583023638275336,23.332620619999997,-0.25040301827533895,-1.0617935262081233,ms
2,deadline_miss_pct,0.21666666666666665,0.3388888888888889,0.12222222222222226,56.41025641025644,percentage points
3,e2e_mean_ms,19.638511150852906,20.01400855774074,0.37549740688783473,1.9120462035205086,ms
3,e2e_p95_ms,24.494842114690982,24.57366956,0.07882744530901675,0.32181242459096865,ms
3,deadline_miss_pct,0.44074074074074077,0.562962962962963,0.12222222222222223,27.73109243697479,percentage points
4,e2e_mean_ms,22.32364342682195,22.931368381388886,0.6077249545669368,2.7223376710844285,ms
4,e2e_p95_ms,29.152528402810276,29.63621736,0.4836889571897238,1.6591664040471243,ms
4,deadline_miss_pct,0.7972222222222223,0.85,0.0527777777777777,6.620209059233439,percentage points
5,e2e_mean_ms,25.371261797895166,25.730042962066666,0.35878116417149997,1.414124244310407,ms
5,e2e_p95_ms,33.33623259750311,33.82236192,0.4861293224968861,1.458261130963243,ms
5,deadline_miss_pct,4.997777777777777,4.906666666666666,-0.09111111111111114,-1.82303245887061,percentage points
6,e2e_mean_ms,38.877978864218946,43.62081068418518,4.742831819966234,12.199275678734583,ms
6,e2e_p95_ms,144.74453843686197,109.43330299000002,-35.31123544686196,-24.395556356183228,ms
6,deadline_miss_pct,32.17777777777778,35.048148148148144,2.8703703703703667,8.920349907918958,percentage points
7,e2e_mean_ms,4500.395128480436,4294.063544687191,-206.33158379324504,-4.58474373699967,ms
7,e2e_p95_ms,7465.566705883721,7213.383528830001,-252.1831770537201,-3.37795089092126,ms
7,deadline_miss_pct,100.0,100.0,0.0,0.0,percentage points
