operating_point,K,admission_fps_per_stream,aggregate_demand_fps,frequency_MHz,C,attempted_repetitions,valid_repetitions,invalid_repetitions,integrity_status,stability,aggregate_completed_fps,min_per_stream_completed_fps,mean_per_stream_completed_fps,backlog_slope_g_B,avg_power_W,active_energy_J,energy_per_frame_J,mean_active_concurrency,actual_freq_mean_MHz,OC3_delta,temperature_C,backlog_at_active_end,peak_active_concurrency,OC3_total,OC3_by_repeat,clean_runs,protection_limited_runs,hardware_status,frontend_limited_runs,frontend_status,per_stream_completed_fps
A,6,30,180,1260,1,3,3,0,VALID,UNSTABLE,175.61111111111111,29.255555555555556,29.26851851851852,4.2249847980520085,40.15940201921299,2409.564121152779,,0.9943966654999985,1260.0,0,62.29568450942411,263.3333333333333,1,0,"[0, 0, 0]",3,0,CLEAN,0,NORMAL,"[29.272222222222222, 29.272222222222222, 29.266666666666666, 29.26111111111111, 29.272222222222222, 29.266666666666666]"
A,6,30,180,1260,2,3,3,0,VALID,STABLE,179.96666666666667,29.983333333333334,29.994444444444444,0.0022719587409509166,41.42404892731544,2485.4429356389264,0.23017623037960053,1.7526514181500055,1260.0,0,65.68676314269209,2,2,0,"[0, 0, 0]",3,0,CLEAN,0,NORMAL,"[29.98888888888889, 29.98888888888889, 29.994444444444444, 29.994444444444444, 30.0, 30.0]"
A,6,30,180,1260,4,3,3,0,VALID,STABLE,179.94444444444443,29.983333333333334,29.99074074074074,0.0002056524428686249,41.82785996744276,2509.6715980465656,0.2324488851194945,2.934434292155555,1260.0,0,67.7236118512902,3.3333333333333335,4,0,"[0, 0, 0]",3,0,CLEAN,0,NORMAL,"[30.0, 29.98888888888889, 29.994444444444444, 29.98888888888889, 29.983333333333334, 29.98888888888889]"
B,7,27,189,1260,1,3,3,0,VALID,UNSTABLE,165.60555555555555,23.65,23.65793650793651,23.58606598592809,38.55909464969717,2313.5456789818304,,0.9942496445944459,1260.0,0,65.77660817446562,1403.6666666666667,1,0,"[0, 0, 0]",3,0,CLEAN,0,NORMAL,"[23.66111111111111, 23.66111111111111, 23.655555555555555, 23.655555555555555, 23.655555555555555, 23.655555555555555, 23.66111111111111]"
B,7,27,189,1260,2,3,3,0,VALID,STABLE,188.7888888888889,26.966666666666665,26.969841269841268,0.0134305623894953,43.07857176703949,2584.7143060223693,0.22818374537860783,1.9557562940833353,1260.0,0,64.37702038043479,12.666666666666666,2,0,"[0, 0, 0]",3,0,CLEAN,0,NORMAL,"[26.97222222222222, 26.966666666666665, 26.97222222222222, 26.966666666666665, 26.97222222222222, 26.97222222222222, 26.966666666666665]"
B,7,27,189,1260,4,3,3,0,VALID,STABLE,188.90555555555554,26.983333333333334,26.986507936507937,0.003200937629843877,43.266530393253205,2595.9918235951923,0.22903806339102173,3.428668695733337,1260.0,0,66.53437499194847,5.666666666666667,4,0,"[0, 0, 0]",3,0,CLEAN,0,NORMAL,"[26.994444444444444, 26.983333333333334, 26.994444444444444, 26.983333333333334, 26.983333333333334, 26.983333333333334, 26.983333333333334]"
C,7,30,210,1575,1,3,3,0,VALID,UNSTABLE,185.58888888888887,26.505555555555556,26.512698412698413,24.42718124316341,46.706320052360994,2802.3792031416597,,0.9944602712722225,1575.0,0,67.94057017158515,1464.6666666666667,1,0,"[0, 0, 0]",3,0,CLEAN,0,NORMAL,"[26.516666666666666, 26.516666666666666, 26.511111111111113, 26.51111111111111, 26.505555555555556, 26.51111111111111, 26.516666666666666]"
C,7,30,210,1575,2,3,3,0,VALID,STABLE,209.90555555555557,29.977777777777778,29.986507936507937,-0.0032060056185783527,52.419234406315255,3145.154064378915,0.24972765338103672,1.9237569107722172,1575.0,48.333333333333336,70.80759011372785,5.666666666666667,2,145,"[33, 43, 69]",0,3,PROTECTION_LIMITED,0,NORMAL,"[29.98888888888889, 29.98888888888889, 29.98888888888889, 29.983333333333334, 29.983333333333334, 29.98888888888889, 29.983333333333334]"
C,7,30,210,1575,4,3,3,0,VALID,STABLE,209.95,29.983333333333334,29.992857142857144,0.0005987715649280646,52.43079036886589,3145.8474221319534,0.24972988982551028,3.2428721440888855,1575.0,20,68.9153084057971,3,4,60,"[14, 22, 24]",0,3,PROTECTION_LIMITED,0,NORMAL,"[30.0, 29.994444444444444, 29.994444444444444, 30.0, 29.994444444444444, 29.983333333333334, 29.983333333333334]"
