C,K,run_id,local_latency_mean_ms,start_lag_mean_ms,front_end_mean_ms,queue_wait_mean_ms,inference_mean_ms,start_lag_share_pct,front_end_share_pct,queue_wait_share_pct,inference_share_pct
2,1,run01,21.565291764444446,0.3696885138888889,9.662438538888889,0.1580828088888889,11.375081902777778,1.714275503095252,44.805508056328435,0.733042755069636,52.74717368550667
2,1,run02,21.976149075555554,0.304813315,9.647706147222221,0.22926904388888888,11.794360569444445,1.3870187809157566,43.90080406741293,1.0432630535069893,53.66891409816433
2,1,run03,21.447596228888887,0.33036749388888886,9.671172212222222,0.1913503738888889,11.25470614888889,1.5403474140561246,45.09210313832566,0.8921763159227564,52.47537313169547
2,1,run04,21.784581162777776,0.3024440394444444,9.663342098888888,0.13206024333333333,11.686734781111111,1.3883399326548238,44.358631578375984,0.6062096964204116,53.646818792548785
2,1,run05,21.264189339444446,0.26152971444444445,9.616032281666667,0.1279584338888889,11.258668909444445,1.229906817840991,45.22172055639672,0.6017555235530646,52.94661710220923
2,2,run01,21.90135791861111,0.5000792344444445,10.1758962,0.1767430088888889,11.048639475277778,2.2833252454154556,46.462398531703975,0.8069956645870713,50.4472805582935
2,2,run02,21.723909103055554,0.4588762327777778,10.080170171944445,0.23762694,10.947235758333333,2.1123096704231514,46.401272092077704,1.09384981714261,50.39256842035655
2,2,run03,21.527278271944443,0.4967577136111111,9.965017029166667,0.19205895222222222,10.873444576944445,2.3075732442150554,46.29018542559389,0.892165511106549,50.51007581908452
2,2,run04,21.84242879416667,0.48815696861111113,10.066530089444445,0.14892087166666668,11.138820864444444,2.23490241497997,46.087045466907306,0.6817963014554412,50.99625581665728
2,2,run05,21.7952810975,0.5457200488888889,9.991276447777778,0.1791254511111111,11.079159149722223,2.5038449673928964,45.84146633889395,0.8218542826302776,50.832834411082885
2,3,run01,21.51144819074074,0.7317280912962963,10.352685856851853,2.7939834353703703,7.633050807222222,3.401575220822451,48.126401184407484,12.988355830794301,35.483667763975774
2,3,run02,21.563908325925926,0.8037653848148149,10.342770756666667,2.751143526296296,7.666228658148148,3.727364133933278,47.96334041279394,12.758093220924344,35.55120223234844
2,3,run03,21.420559691111112,0.8255209822222223,10.230513407037037,2.7793149455555555,7.5852103562962965,3.85387214025406,47.76025255438304,12.974987514956894,35.41088779040601
2,3,run04,20.623160094444444,0.7395482094444444,10.05053638574074,2.6735968585185184,7.1594786407407405,3.5860081871917737,48.73422084546682,12.964050350550998,34.7157206167904
2,3,run05,20.58939972851852,0.720012725,10.212107449814814,2.5360566379629628,7.1212229157407405,3.497006879723188,49.598859531926784,12.317292739963921,34.5868408483861
2,4,run01,23.61168832013889,1.0112423481944444,10.299526493333333,4.076948951666667,8.223970526944445,4.28280406925385,43.62045760424788,17.266655803640074,34.8300825228582
2,4,run02,23.712737576666665,0.9936946245833334,10.54730899013889,4.067804155416667,8.103929806527777,4.19055210884267,44.479507927070564,17.15451091323756,34.17542905084921
2,4,run03,23.20921158263889,0.6979431138888889,10.472247216388888,3.906044341111111,8.13297691125,3.007181486556695,45.1210812530246,16.829715766962703,35.042021493456
2,4,run04,22.080388096666667,0.6944363501388889,10.108524714722222,3.446615458888889,7.830811572916667,3.1450368856683433,45.78055725500695,15.6093970984559,35.46500876086881
