C,K,metric,n_runs,mean,sample_sd,median,min,max,run01,run02,run03,run04,run05
2,1,local_latency_mean_ms,5,21.607561514222223,0.2794963421111516,21.565291764444446,21.264189339444446,21.976149075555554,21.565291764444446,21.976149075555554,21.447596228888887,21.784581162777776,21.264189339444446
2,1,local_latency_median_ms,5,21.6526224,0.29932450331108007,21.6006015,21.3595945,22.024829,21.6006015,22.024829,21.3595945,21.894878,21.383209
2,1,local_latency_p95_ms,5,23.53873855,0.24005735984586593,23.5776931,23.1801992,23.8068285,23.5776931,23.8068285,23.44777235,23.6811996,23.1801992
2,1,local_latency_p99_ms,5,23.896351324,0.10257646349274754,23.89486047,23.7473945,24.02624496,23.89486047,24.02624496,23.7473945,23.94413684,23.86911985
2,1,start_lag_mean_ms,5,0.31376861533333333,0.039811757098149624,0.304813315,0.26152971444444445,0.3696885138888889,0.3696885138888889,0.304813315,0.33036749388888886,0.3024440394444444,0.26152971444444445
2,1,front_end_mean_ms,5,9.652138255777778,0.021892911999759405,9.662438538888889,9.616032281666667,9.671172212222222,9.662438538888889,9.647706147222221,9.671172212222222,9.663342098888888,9.616032281666667
2,1,queue_wait_mean_ms,5,0.16774418077777778,0.04269704992110462,0.1580828088888889,0.1279584338888889,0.22926904388888888,0.1580828088888889,0.22926904388888888,0.1913503738888889,0.13206024333333333,0.1279584338888889
2,1,queue_wait_p95_ms,5,0.24297443,0.011622887148079856,0.24053375,0.23190075,0.26005405,0.24053375,0.26005405,0.24873215,0.23190075,0.23365145
2,1,inference_mean_ms,5,11.473910462333334,0.25106224483046236,11.375081902777778,11.25470614888889,11.794360569444445,11.375081902777778,11.794360569444445,11.25470614888889,11.686734781111111,11.258668909444445
2,1,inference_p95_ms,5,13.3184602,0.23087031909128417,13.30105945,12.9680466,13.5423607,13.30105945,13.51212355,13.2687107,13.5423607,12.9680466
2,1,deadline_miss_pct,5,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2,1,peak_waiting_queue,5,1,0.0,1,1,1,1,1,1,1,1
2,1,time_weighted_waiting_queue,5,0.005037078985424417,0.0012820634368781553,0.004746367709316158,0.0038427817144786832,0.006884348540096527,0.004746367709316158,0.006884348540096527,0.005746416415017692,0.003965480548213023,0.0038427817144786832
2,1,max_active_inferences,5,2,0.0,2,2,2,2,2,2,2,2
2,1,service_overlap_pair_count,5,2.8,0.4472135954999579,3,2,3,3,3,2,3,3
2,1,service_overlap_time_ms,5,32.1918216,2.2187540647791058,33.212521,29.236824,34.672389,29.236824,34.672389,30.574213,33.263161,33.212521
2,1,start_lag_p95_ms,5,0.49731473,0.08234828273001962,0.5180691,0.35483875,0.55459195,0.552314,0.55459195,0.5180691,0.35483875,0.50675985
2,1,front_end_p95_ms,5,9.83415746,0.06889483825526571,9.82289425,9.732337900000001,9.90237135,9.818961,9.894222800000001,9.732337900000001,9.82289425,9.90237135
2,1,queue_wait_p99_ms,5,0.261829716,0.006617123899004771,0.26085887,0.25296566,0.27108483,0.26433389,0.27108483,0.26085887,0.25296566,0.25990533
2,1,inference_p99_ms,5,13.768236448,0.26530445411611986,13.649341,13.546279980000001,14.217029960000001,13.640429,14.217029960000001,13.546279980000001,13.7881023,13.649341
2,1,time_weighted_active_offered,5,0.34421731387000004,0.007531867344913875,0.34125245708333335,0.3376411844666667,0.35383081708333336,0.34125245708333335,0.35383081708333336,0.3376411844666667,0.35060204343333334,0.33776006728333335
2,1,active_0_offered_pct,5,65.63192164899999,0.7507858207881715,65.92348233166666,64.67470560666666,66.286838575,65.92348233166666,64.67470560666666,66.286838575,64.99523425833333,66.27934747333333
2,1,active_1_offered_pct,5,34.314425315,0.7483954767733988,34.02778962833333,33.662204403333334,35.26750707833333,34.02778962833333,35.26750707833333,33.662204403333334,34.94932714,33.665298325
2,1,active_2_offered_pct,5,0.053653036,0.0036979234412985074,0.055354201666666665,0.04872804,0.057787315,0.04872804,0.057787315,0.050957021666666664,0.05543860166666666,0.055354201666666665
2,1,time_weighted_waiting_offered,5,0.0050323254233333335,0.0012809114976331383,0.004742484266666667,0.0038387530166666666,0.006878071316666666,0.004742484266666667,0.006878071316666666,0.005740511216666667,0.0039618073,0.0038387530166666666
2,1,waiting_positive_offered_pct,5,0.5032325423333317,0.128091149763312,0.474248426666668,0.3838753016666696,0.6878071316666623,0.474248426666668,0.6878071316666623,0.5740511216666633,0.3961807299999953,0.3838753016666696
2,1,workers_actually_used,5,2,0.0,2,2,2,2,2,2,2,2
2,1,submitted_overlap_time_ms,5,10.1947168,2.9005392625381234,11.919176,6.472814,12.801226,12.10906,11.919176,12.801226,6.472814,7.671308
2,1,completion_elapsed_s,5,59.9885508574,0.000782464274372964,59.988477178,59.987370634,59.989463854,59.987370634,59.988439376,59.989463854,59.989003245,59.988477178
2,1,drain_after_offered_end_s,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,wall_clock_duration_s,5,61.9577782962,0.15444334961207992,61.94356635,61.747638031,62.167406632,62.167406632,62.024291088,61.90598938,61.747638031,61.94356635
2,2,local_latency_mean_ms,5,21.758051037055555,0.1444509314363066,21.7952810975,21.527278271944443,21.90135791861111,21.90135791861111,21.723909103055554,21.527278271944443,21.84242879416667,21.7952810975
2,2,local_latency_median_ms,5,21.7570243,0.09485147895170137,21.7192465,21.644139,21.8691195,21.8691195,21.644139,21.711086,21.8415305,21.7192465
2,2,local_latency_p95_ms,5,23.08121074,0.10357129431136036,23.07317265,22.96866685,23.20354335,23.20354335,22.96866685,22.9931273,23.16754355,23.07317265
2,2,local_latency_p99_ms,5,23.697129644,0.15604481681980437,23.70324698,23.46763784,23.90707632,23.68759131,23.46763784,23.70324698,23.72009577,23.90707632
2,2,start_lag_mean_ms,5,0.4979180396666667,0.03126735677349867,0.4967577136111111,0.4588762327777778,0.5457200488888889,0.5000792344444445,0.4588762327777778,0.4967577136111111,0.48815696861111113,0.5457200488888889
2,2,front_end_mean_ms,5,10.055777987666668,0.08297133769638944,10.066530089444445,9.965017029166667,10.1758962,10.1758962,10.080170171944445,9.965017029166667,10.066530089444445,9.991276447777778
2,2,queue_wait_mean_ms,5,0.18689504477777777,0.03242629864338648,0.1791254511111111,0.14892087166666668,0.23762694,0.1767430088888889,0.23762694,0.19205895222222222,0.14892087166666668,0.1791254511111111
2,2,queue_wait_p95_ms,5,0.24454289,0.004704156969691809,0.24447925,0.2387194,0.2508844,0.24447925,0.2508844,0.2387194,0.2469879,0.2416435
2,2,inference_mean_ms,5,11.017459964944445,0.10627710286000959,11.048639475277778,10.873444576944445,11.138820864444444,11.048639475277778,10.947235758333333,10.873444576944445,11.138820864444444,11.079159149722223
2,2,inference_p95_ms,5,12.26071994,0.16235804562668513,12.2443272,12.07484575,12.44134675,12.2443272,12.1341311,12.07484575,12.4089489,12.44134675
2,2,deadline_miss_pct,5,0.29444444444444445,0.024845199749997653,0.2777777777777778,0.2777777777777778,0.3333333333333333,0.2777777777777778,0.2777777777777778,0.3333333333333333,0.2777777777777778,0.3055555555555556
2,2,peak_waiting_queue,5,5,1.224744871391589,5,3,6,5,6,6,3,5
2,2,time_weighted_waiting_queue,5,0.01122880292637624,0.0019505465506484607,0.01076810951284067,0.008952639592094592,0.014281494944946196,0.010593096153400034,0.014281494944946196,0.0115486744285997,0.008952639592094592,0.01076810951284067
2,2,max_active_inferences,5,2,0.0,2,2,2,2,2,2,2,2
2,2,service_overlap_pair_count,5,1803.8,1.3038404810405297,1804,1802,1805,1802,1805,1805,1803,1804
2,2,service_overlap_time_ms,5,18867.2805906,264.43401623753033,19006.754482,18482.128906,19083.826079,19006.754482,18702.138208,18482.128906,19083.826079,19061.555278
2,2,start_lag_p95_ms,5,0.91692973,0.0653135786136256,0.90544305,0.8623570500000001,1.0240784,0.8678515,0.9249186500000001,0.8623570500000001,0.90544305,1.0240784
2,2,front_end_p95_ms,5,10.60162464,0.0824889976534554,10.650600800000001,10.4773456,10.67045385,10.6528999,10.650600800000001,10.67045385,10.4773456,10.55682305
2,2,queue_wait_p99_ms,5,0.283684912,0.01874691801373415,0.27790502,0.26661742,0.30807731,0.26734162,0.29848319,0.30807731,0.27790502,0.26661742
2,2,inference_p99_ms,5,12.8198191,0.32122667915305575,12.73659941,12.54144057,13.36563578,12.64572778,12.54144057,12.73659941,12.80969196,13.36563578
2,2,time_weighted_active_offered,5,0.6610475978966667,0.006376626171600606,0.6629183685166666,0.6524066746166667,0.6683292518666667,0.6629183685166666,0.6568341455,0.6524066746166667,0.6683292518666667,0.6647495489833334
2,2,active_0_offered_pct,5,65.34070786133333,0.22901860102806795,65.386087285,64.97345161166666,65.562880715,65.386087285,65.48681579666666,65.562880715,64.97345161166666,65.29430389833334
2,2,active_1_offered_pct,5,3.213824487666667,0.29454980344174625,3.22017159,2.9359885783333333,3.6335711083333333,2.9359885783333333,3.3429538566666666,3.6335711083333333,3.22017159,2.936437305
2,2,active_2_offered_pct,5,31.445467651,0.4407233603958854,31.677924136666668,30.803548176666666,31.806376798333332,31.677924136666668,31.170230346666667,30.803548176666666,31.806376798333332,31.769258796666666
2,2,time_weighted_waiting_offered,5,0.011213702686666667,0.0019455779186031885,0.010747527066666667,0.0089352523,0.0142576164,0.010604580533333333,0.0142576164,0.011523537133333333,0.0089352523,0.010747527066666667
2,2,waiting_positive_offered_pct,5,0.8813563689999993,0.11940460629495492,0.8917354416666634,0.7523416650000003,1.058069838333331,0.9129934466666656,1.058069838333331,0.7523416650000003,0.791641453333336,0.8917354416666634
2,2,workers_actually_used,5,2,0.0,2,2,2,2,2,2,2,2
2,2,submitted_overlap_time_ms,5,7983.504374,593.4958149179507,8006.629958,7098.52144,8570.206581,7772.409544,7098.52144,8469.754347,8570.206581,8006.629958
2,2,completion_elapsed_s,5,59.990601886,0.0012064007021248505,59.990664786,59.989205598,59.991879138,59.989572815,59.990664786,59.989205598,59.991687093,59.991879138
2,2,drain_after_offered_end_s,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,wall_clock_duration_s,5,61.981358443,0.06136980288603591,61.957149228,61.92842186,62.084975096,61.957149228,62.084975096,61.950949212,61.985296819,61.92842186
2,2,queue_depth_wait_pearson,5,0.29850359930016573,0.14727850565158035,0.2516230230988741,0.13397898724237756,0.4813689020704938,0.20402908236732345,0.42151800172175974,0.4813689020704938,0.13397898724237756,0.2516230230988741
2,3,local_latency_mean_ms,5,21.14169520614815,0.4915932123669393,21.420559691111112,20.58939972851852,21.563908325925926,21.51144819074074,21.563908325925926,21.420559691111112,20.623160094444444,20.58939972851852
2,3,local_latency_median_ms,5,19.649023500000002,0.4891581495938966,19.88071,19.1099465,20.0979235,20.0979235,20.0262065,19.88071,19.1099465,19.130331
2,3,local_latency_p95_ms,5,24.33908375,0.6771581123042578,24.61022005,23.56837865,25.04738915,25.04738915,24.80180855,24.61022005,23.66762235,23.56837865
2,3,local_latency_p99_ms,5,25.059670392,0.6805464972763355,25.44073145,24.18990368,25.6542833,25.6542833,25.55063762,25.44073145,24.46279591,24.18990368
2,3,start_lag_mean_ms,5,0.7641150785555556,0.04727657290446854,0.7395482094444444,0.720012725,0.8255209822222223,0.7317280912962963,0.8037653848148149,0.8255209822222223,0.7395482094444444,0.720012725
2,3,front_end_mean_ms,5,10.237722771222222,0.1224729080611336,10.230513407037037,10.05053638574074,10.352685856851853,10.352685856851853,10.342770756666667,10.230513407037037,10.05053638574074,10.212107449814814
2,3,queue_wait_mean_ms,5,2.7068190807407406,0.1061619747365691,2.751143526296296,2.5360566379629628,2.7939834353703703,2.7939834353703703,2.751143526296296,2.7793149455555555,2.6735968585185184,2.5360566379629628
