C,K,run_id,frames,local_latency_mean_ms,local_latency_median_ms,local_latency_p95_ms,local_latency_p99_ms,start_lag_mean_ms,front_end_mean_ms,queue_wait_mean_ms,queue_wait_p95_ms,inference_mean_ms,inference_p95_ms,deadline_miss_pct,peak_waiting_queue,time_weighted_waiting_queue,max_active_inferences,service_overlap_pair_count,service_overlap_time_ms,start_lag_p95_ms,front_end_p95_ms,queue_wait_p99_ms,inference_p99_ms,time_weighted_active_offered,active_0_offered_pct,active_1_offered_pct,active_2_offered_pct,time_weighted_waiting_offered,waiting_positive_offered_pct,workers_actually_used,submitted_overlap_time_ms,completion_elapsed_s,drain_after_offered_end_s,wall_clock_duration_s,queue_depth_wait_pearson
2,1,run01,1800,21.565291764444446,21.6006015,23.5776931,23.89486047,0.3696885138888889,9.662438538888889,0.1580828088888889,0.24053375,11.375081902777778,13.30105945,0.16666666666666666,1,0.004746367709316158,2,3,29.236824,0.552314,9.818961,0.26433389,13.640429,0.34125245708333335,65.92348233166666,34.02778962833333,0.04872804,0.004742484266666667,0.474248426666668,2,12.10906,59.987370634,0.0,62.167406632,
2,1,run02,1800,21.976149075555554,22.024829,23.8068285,24.02624496,0.304813315,9.647706147222221,0.22926904388888888,0.26005405,11.794360569444445,13.51212355,0.16666666666666666,1,0.006884348540096527,2,3,34.672389,0.55459195,9.894222800000001,0.27108483,14.217029960000001,0.35383081708333336,64.67470560666666,35.26750707833333,0.057787315,0.006878071316666666,0.6878071316666623,2,11.919176,59.988439376,0.0,62.024291088,
2,1,run03,1800,21.447596228888887,21.3595945,23.44777235,23.7473945,0.33036749388888886,9.671172212222222,0.1913503738888889,0.24873215,11.25470614888889,13.2687107,0.16666666666666666,1,0.005746416415017692,2,2,30.574213,0.5180691,9.732337900000001,0.26085887,13.546279980000001,0.3376411844666667,66.286838575,33.662204403333334,0.050957021666666664,0.005740511216666667,0.5740511216666633,2,12.801226,59.989463854,0.0,61.90598938,
2,1,run04,1800,21.784581162777776,21.894878,23.6811996,23.94413684,0.3024440394444444,9.663342098888888,0.13206024333333333,0.23190075,11.686734781111111,13.5423607,0.16666666666666666,1,0.003965480548213023,2,3,33.263161,0.35483875,9.82289425,0.25296566,13.7881023,0.35060204343333334,64.99523425833333,34.94932714,0.05543860166666666,0.0039618073,0.3961807299999953,2,6.472814,59.989003245,0.0,61.747638031,
2,1,run05,1800,21.264189339444446,21.383209,23.1801992,23.86911985,0.26152971444444445,9.616032281666667,0.1279584338888889,0.23365145,11.258668909444445,12.9680466,0.16666666666666666,1,0.0038427817144786832,2,3,33.212521,0.50675985,9.90237135,0.25990533,13.649341,0.33776006728333335,66.27934747333333,33.665298325,0.055354201666666665,0.0038387530166666666,0.3838753016666696,2,7.671308,59.988477178,0.0,61.94356635,
2,2,run01,3600,21.90135791861111,21.8691195,23.20354335,23.68759131,0.5000792344444445,10.1758962,0.1767430088888889,0.24447925,11.048639475277778,12.2443272,0.2777777777777778,5,0.010593096153400034,2,1802,19006.754482,0.8678515,10.6528999,0.26734162,12.64572778,0.6629183685166666,65.386087285,2.9359885783333333,31.677924136666668,0.010604580533333333,0.9129934466666656,2,7772.409544,59.989572815,0.0,61.957149228,0.20402908236732345
2,2,run02,3600,21.723909103055554,21.644139,22.96866685,23.46763784,0.4588762327777778,10.080170171944445,0.23762694,0.2508844,10.947235758333333,12.1341311,0.2777777777777778,6,0.014281494944946196,2,1805,18702.138208,0.9249186500000001,10.650600800000001,0.29848319,12.54144057,0.6568341455,65.48681579666666,3.3429538566666666,31.170230346666667,0.0142576164,1.058069838333331,2,7098.52144,59.990664786,0.0,62.084975096,0.42151800172175974
2,2,run03,3600,21.527278271944443,21.711086,22.9931273,23.70324698,0.4967577136111111,9.965017029166667,0.19205895222222222,0.2387194,10.873444576944445,12.07484575,0.3333333333333333,6,0.0115486744285997,2,1805,18482.128906,0.8623570500000001,10.67045385,0.30807731,12.73659941,0.6524066746166667,65.562880715,3.6335711083333333,30.803548176666666,0.011523537133333333,0.7523416650000003,2,8469.754347,59.989205598,0.0,61.950949212,0.4813689020704938
2,2,run04,3600,21.84242879416667,21.8415305,23.16754355,23.72009577,0.48815696861111113,10.066530089444445,0.14892087166666668,0.2469879,11.138820864444444,12.4089489,0.2777777777777778,3,0.008952639592094592,2,1803,19083.826079,0.90544305,10.4773456,0.27790502,12.80969196,0.6683292518666667,64.97345161166666,3.22017159,31.806376798333332,0.0089352523,0.791641453333336,2,8570.206581,59.991687093,0.0,61.985296819,0.13397898724237756
2,2,run05,3600,21.7952810975,21.7192465,23.07317265,23.90707632,0.5457200488888889,9.991276447777778,0.1791254511111111,0.2416435,11.079159149722223,12.44134675,0.3055555555555556,5,0.01076810951284067,2,1804,19061.555278,1.0240784,10.55682305,0.26661742,13.36563578,0.6647495489833334,65.29430389833334,2.936437305,31.769258796666666,0.010747527066666667,0.8917354416666634,2,8006.629958,59.991879138,0.0,61.92842186,0.2516230230988741
2,3,run01,5400,21.51144819074074,20.0979235,25.04738915,25.6542833,0.7317280912962963,10.352685856851853,2.7939834353703703,8.74179985,7.633050807222222,9.7750117,0.5,11,0.25205720349309174,2,3609,15999.157125,0.97836035,11.051340099999999,9.247279599999999,10.103372279999999,0.68697457265,57.96780461,15.366933515,26.665261875,0.25145850918333335,23.70304067833333,2,5017.655439,59.994730966,0.0,62.096537845,0.6016379168352891
