C,K,run_id,peak_waiting_queue,time_weighted_waiting_queue,time_weighted_waiting_offered,waiting_positive_offered_pct,queue_wait_mean_ms,queue_wait_p95_ms,queue_wait_p99_ms,max_active_inferences,time_weighted_active_offered,active_0_offered_pct,active_1_offered_pct,active_2_offered_pct,service_overlap_pair_count,service_overlap_time_ms,queue_depth_wait_pearson
2,1,run01,1,0.004746367709316158,0.004742484266666667,0.474248426666668,0.1580828088888889,0.24053375,0.26433389,2,0.34125245708333335,65.92348233166666,34.02778962833333,0.04872804,3,29.236824,
2,1,run02,1,0.006884348540096527,0.006878071316666666,0.6878071316666623,0.22926904388888888,0.26005405,0.27108483,2,0.35383081708333336,64.67470560666666,35.26750707833333,0.057787315,3,34.672389,
2,1,run03,1,0.005746416415017692,0.005740511216666667,0.5740511216666633,0.1913503738888889,0.24873215,0.26085887,2,0.3376411844666667,66.286838575,33.662204403333334,0.050957021666666664,2,30.574213,
2,1,run04,1,0.003965480548213023,0.0039618073,0.3961807299999953,0.13206024333333333,0.23190075,0.25296566,2,0.35060204343333334,64.99523425833333,34.94932714,0.05543860166666666,3,33.263161,
2,1,run05,1,0.0038427817144786832,0.0038387530166666666,0.3838753016666696,0.1279584338888889,0.23365145,0.25990533,2,0.33776006728333335,66.27934747333333,33.665298325,0.055354201666666665,3,33.212521,
2,2,run01,5,0.010593096153400034,0.010604580533333333,0.9129934466666656,0.1767430088888889,0.24447925,0.26734162,2,0.6629183685166666,65.386087285,2.9359885783333333,31.677924136666668,1802,19006.754482,0.20402908236732345
2,2,run02,6,0.014281494944946196,0.0142576164,1.058069838333331,0.23762694,0.2508844,0.29848319,2,0.6568341455,65.48681579666666,3.3429538566666666,31.170230346666667,1805,18702.138208,0.42151800172175974
2,2,run03,6,0.0115486744285997,0.011523537133333333,0.7523416650000003,0.19205895222222222,0.2387194,0.30807731,2,0.6524066746166667,65.562880715,3.6335711083333333,30.803548176666666,1805,18482.128906,0.4813689020704938
2,2,run04,3,0.008952639592094592,0.0089352523,0.791641453333336,0.14892087166666668,0.2469879,0.27790502,2,0.6683292518666667,64.97345161166666,3.22017159,31.806376798333332,1803,19083.826079,0.13397898724237756
2,2,run05,5,0.01076810951284067,0.010747527066666667,0.8917354416666634,0.1791254511111111,0.2416435,0.26661742,2,0.6647495489833334,65.29430389833334,2.936437305,31.769258796666666,1804,19061.555278,0.2516230230988741
2,3,run01,11,0.25205720349309174,0.25145850918333335,23.70304067833333,2.7939834353703703,8.74179985,9.247279599999999,2,0.68697457265,57.96780461,15.366933515,26.665261875,3609,15999.157125,0.6016379168352891
2,3,run02,13,0.2482785756873521,0.24760291736666667,22.830782623333334,2.751143526296296,8.4406636,9.17616452,2,0.6899605792333333,57.94320935166667,15.117523373333333,26.939267275,3610,16163.560365,0.6697713923959384
2,3,run03,14,0.2508926746924754,0.2501383451,22.75228542833333,2.7793149455555555,8.25542745,9.20322338,2,0.6826689320666667,58.24535252,15.242401753333333,26.512245726666666,3610,15907.347436,0.783333612485074
2,3,run04,11,0.24120121021904378,0.24062371726666668,22.54368477333333,2.6735968585185184,8.0402554,8.53116016,2,0.6443530776666667,60.39479463333333,14.775102966666667,24.8301024,3609,14898.06144,0.6501359194565667
2,3,run05,11,0.2287397864996888,0.22824509741666665,21.543102515,2.5360566379629628,7.7920004,8.36758293,2,0.6409100624166667,60.638503665,14.631986428333333,24.729509906666667,3609,14837.705944,0.5931220291880711
2,4,run01,18,0.4906787370440441,0.4892338742,25.009070195000007,4.076948951666667,8.31968535,9.67914432,2,0.9868683906166666,48.2785731,4.7560147383333335,46.96541216166667,5414,28179.247297,0.8554356774695551
2,4,run02,19,0.4895873900886302,0.48813649865,25.23847614,4.067804155416667,8.50161785,9.41500385,2,0.9724639455333334,48.47896946833333,5.79566651,45.725364021666664,5414,27435.218413,0.8703683046242963
2,4,run03,18,0.469507316316009,0.46872532093333336,24.97713240666667,3.906044341111111,8.4012989,9.39496547,2,0.97595722935,48.159257378333336,6.085762308333333,45.754980313333334,5409,27452.988188,0.8272760561437131
2,4,run04,20,0.4144014300684257,0.4135938550666667,23.79661803166667,3.446615458888889,8.2837034,9.23854496,2,0.93969738875,47.746403655,10.537453815,41.71614253,5224,25029.685518,0.8392917501311838
2,4,run05,11,0.4616969582575417,0.4610564554,24.972252485000002,3.8421371283333334,8.32030035,8.9132285,2,0.9811636613333333,48.47346109833333,4.93671167,46.58982723166667,5408,27953.896339,0.7100151446724625
2,5,run01,28,0.866159212179529,0.8638810623333333,44.127434040000004,5.759207082222222,14.420407,16.93455454,2,1.1645219530333333,34.076272395,15.395259906666666,50.52846769833333,7219,30317.080619,0.9459042258560679
2,5,run02,25,0.9421175882779418,0.9400057925833334,46.43721999666667,6.266705283888889,15.1880446,16.513856490000002,2,1.1531582403333334,35.40727463333333,13.8696267,50.723098666666665,7216,30433.8592,0.923624093354585
2,5,run03,27,0.9685553590684695,0.9661050670833333,46.329662545000005,6.4407004472222225,15.18149775,25.15936357,2,1.1571686989166667,35.18247743333333,13.918175241666667,50.899347325,7219,30539.608395,0.9496040156181295
2,5,run04,21,0.7105186863423836,0.7092161970833334,37.147498926666664,4.7281079805555555,14.5876941,16.37488764,2,1.1498308458,34.405279785,16.20635585,49.388364365,6952,29633.018619,0.8945023641878149
2,5,run05,32,1.0146503546872152,1.01227959775,46.83730509,6.7487448472222225,15.37912415,50.1291121,2,1.1587544482833334,35.086637795,13.951279581666666,50.96208262333333,7222,30577.298899,0.9512557145702499
