from_K,to_K,n_runs_per_K,deadline_miss_pct_delta_mean,deadline_miss_pct_lower_min,deadline_miss_pct_lower_max,deadline_miss_pct_upper_min,deadline_miss_pct_upper_max,deadline_miss_pct_increases_by_rep,local_latency_p95_ms_delta_mean,local_latency_p95_ms_lower_min,local_latency_p95_ms_lower_max,local_latency_p95_ms_upper_min,local_latency_p95_ms_upper_max,local_latency_p95_ms_increases_by_rep,local_latency_p99_ms_delta_mean,local_latency_p99_ms_lower_min,local_latency_p99_ms_lower_max,local_latency_p99_ms_upper_min,local_latency_p99_ms_upper_max,local_latency_p99_ms_increases_by_rep,queue_wait_mean_ms_delta_mean,queue_wait_mean_ms_lower_min,queue_wait_mean_ms_lower_max,queue_wait_mean_ms_upper_min,queue_wait_mean_ms_upper_max,queue_wait_mean_ms_increases_by_rep,queue_wait_p95_ms_delta_mean,queue_wait_p95_ms_lower_min,queue_wait_p95_ms_lower_max,queue_wait_p95_ms_upper_min,queue_wait_p95_ms_upper_max,queue_wait_p95_ms_increases_by_rep,peak_waiting_queue_delta_mean,peak_waiting_queue_lower_min,peak_waiting_queue_lower_max,peak_waiting_queue_upper_min,peak_waiting_queue_upper_max,peak_waiting_queue_increases_by_rep,time_weighted_waiting_queue_delta_mean,time_weighted_waiting_queue_lower_min,time_weighted_waiting_queue_lower_max,time_weighted_waiting_queue_upper_min,time_weighted_waiting_queue_upper_max,time_weighted_waiting_queue_increases_by_rep
1,2,5,0.1277777777777778,0.16666666666666666,0.16666666666666666,0.2777777777777778,0.3333333333333333,5,-0.457527810000002,23.1801992,23.8068285,22.96866685,23.20354335,0,-0.19922168000000084,23.7473945,24.02624496,23.46763784,23.90707632,1,0.01915086399999999,0.1279584338888889,0.22926904388888888,0.14892087166666668,0.23762694,5,0.0015684600000000215,0.23190075,0.26005405,0.2387194,0.2508844,3,4,1,1,3,6,5,0.006191723940951822,0.0038427817144786832,0.006884348540096527,0.008952639592094592,0.014281494944946196,5
2,3,5,0.23888888888888887,0.2777777777777778,0.3333333333333333,0.5,0.6111111111111112,5,1.2578730100000008,22.96866685,23.20354335,23.56837865,25.04738915,5,1.3625407480000007,23.46763784,23.90707632,24.18990368,25.6542833,5,2.519924035962963,0.14892087166666668,0.23762694,2.5360566379629628,2.7939834353703703,5,8.009486449999999,0.2387194,0.2508844,7.7920004,8.74179985,5,7,3,6,11,14,5,0.23300508719195412,0.008952639592094592,0.014281494944946196,0.2287397864996888,0.25205720349309174,5
3,4,5,0.11944444444444446,0.5,0.6111111111111112,0.4444444444444444,0.8333333333333334,3,3.4492675499999983,23.56837865,25.04738915,27.62288115,27.89574695,5,4.32727899,24.18990368,25.6542833,28.69011974,29.95406542,5,1.161090926342593,2.5360566379629628,2.7939834353703703,3.446615458888889,4.076948951666667,5,0.11129183000000076,7.7920004,8.74179985,8.2837034,8.50161785,4,5.199999999999999,11,14,11,20,4,0.2209404762365998,0.2287397864996888,0.25205720349309174,0.4144014300684257,0.4906787370440441,5
4,5,5,1.6983333333333333,0.4444444444444444,0.8333333333333334,1.2777777777777777,5.711111111111111,5,4.709620230000002,27.62288115,27.89574695,32.0414102,33.62486625,5,19.569724962,28.69011974,29.95406542,34.9524602,82.30273755,5,2.120783121138889,3.446615458888889,4.076948951666667,4.7281079805555555,6.7487448472222225,5,6.58603235,8.2837034,8.50161785,14.420407,15.37912415,5,9.400000000000002,11,20,21,32,5,0.4352258737561776,0.4144014300684257,0.4906787370440441,0.7105186863423836,1.0146503546872152,5
5,6,5,29.834074074074074,1.2777777777777777,5.711111111111111,31.60185185185185,33.18518518518518,5,6.6669811800000005,32.0414102,33.62486625,38.0881214,42.06513175,5,124.12399212600002,34.9524602,82.30273755,142.1542019,206.62120595,5,3.741857035222222,4.7281079805555555,6.7487448472222225,8.877657854166667,10.680371948333333,5,1.196839240000001,14.420407,15.37912415,16.04881815,16.36524375,5,16.4,21,32,37,51,5,0.8565795310413873,0.7105186863423836,1.0146503546872152,1.6025884928488192,1.9290656181277566,5
6,7,5,44.96402116402117,31.60185185185185,33.18518518518518,60.611111111111114,100.0,5,220.11138837000001,38.0881214,42.06513175,252.39127725,270.643104,5,100.93566591599998,142.1542019,206.62120595,264.45304187,290.12162546,5,105.3330419784127,8.877657854166667,10.680371948333333,65.17272251992064,187.40485430238095,5,217.41179023,16.04881815,16.36524375,226.7984913,243.839611,5,13.799999999999997,37,51,54,60,5,22.467951645250295,1.6025884928488192,1.9290656181277566,13.719457696432466,39.426662643950415,5
